cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
320193,2016-02-03,AAPL,WAGNER SUSAN,,0001209191-16-095503,2016-02-01,M,2008,,5654,D,,,,,,
320193,2016-02-03,AAPL,SUGAR RONALD D,,0001209191-16-095501,2016-02-01,M,2008,,17359,D,,,,,,
320193,2016-02-03,AAPL,LEVINSON ARTHUR D,,0001209191-16-095500,2016-02-01,M,2008,,1135291,D,,,,,,
320193,2016-02-03,AAPL,LEVINSON ARTHUR D,,0001209191-16-095500,2016-02-02,S,2008,95.47,1133283,D,,,,,,
320193,2016-02-03,AAPL,JUNG ANDREA,,0001209191-16-095498,2016-02-01,M,2008,,16603,D,,,,,,
320193,2016-02-03,AAPL,IGER ROBERT A,,0001209191-16-095495,2016-02-01,M,2008,,44120,D,,,,,,
320193,2016-02-03,AAPL,GORE ALBERT JR,,0001209191-16-095494,2016-02-01,M,2008,,442994,D,,,,,,
320193,2016-02-03,AAPL,BELL JAMES A,,0001209191-16-095491,2016-02-01,M,1007,,1538,D,,,,,,
320193,2016-02-17,AAPL,KONDO CHRIS,,0001209191-16-099481,2016-02-15,F,276,93.99,13050,D,,,,,,
320193,2016-02-17,AAPL,KONDO CHRIS,,0001209191-16-099481,2016-02-15,M,675,,13326,D,,,,,,
320193,2016-03-08,AAPL,Maestri Luca,,0001209191-16-107130,2016-03-04,M,33329,,33750,D,,,,,,
320193,2016-03-08,AAPL,Maestri Luca,,0001209191-16-107130,2016-03-04,F,15088,103.01,18662,D,,,,,,
320193,2016-03-17,AAPL,Maestri Luca,,0001209191-16-109249,2016-03-15,S,18241,103.92,421,D,,,,,,
320193,2016-03-23,AAPL,SEWELL D BRUCE,,0001209191-16-110272,2016-03-21,F,256356,105.91,316448,D,,,,,,
320193,2016-03-23,AAPL,SCHILLER PHILIP W,,0001209191-16-110271,2016-03-21,G,268644,0.0,0,D,,,,,,
320193,2016-03-23,AAPL,SCHILLER PHILIP W,,0001209191-16-110271,2016-03-21,M,525000,,525000,D,,,,,,
320193,2016-03-23,AAPL,SCHILLER PHILIP W,,0001209191-16-110271,2016-03-21,F,256356,105.91,268644,D,,,,,,
320193,2016-03-23,AAPL,WILLIAMS JEFFREY E,,0001209191-16-110273,2016-03-21,M,525000,,528079,D,,,,,,
320193,2016-03-23,AAPL,WILLIAMS JEFFREY E,,0001209191-16-110273,2016-03-22,S,268644,106.91,3079,D,,,,,,
320193,2016-03-23,AAPL,SEWELL D BRUCE,,0001209191-16-110272,2016-03-21,M,525000,,572804,D,,,,,,
320193,2016-03-23,AAPL,WILLIAMS JEFFREY E,,0001209191-16-110273,2016-03-21,F,256356,105.91,271723,D,,,,,,
320193,2016-04-01,AAPL,SCHILLER PHILIP W,,0001209191-16-111818,2016-03-30,S,268644,110.01,49575,I,,,,,,
320193,2016-04-05,AAPL,Cue Eduardo H,,0001209191-16-113265,2016-04-01,G,27612,0.0,0,D,,,,,,
320193,2016-04-05,AAPL,Riccio Daniel J.,,0001209191-16-113268,2016-04-01,F,25444,109.99,68367,D,,,,,,
320193,2016-04-05,AAPL,Cue Eduardo H,,0001209191-16-113265,2016-04-01,F,25444,109.99,27612,D,,,,,,
320193,2016-04-05,AAPL,Cue Eduardo H,,0001209191-16-113265,2016-04-01,M,53056,,53056,D,,,,,,
320193,2016-04-05,AAPL,FEDERIGHI CRAIG,,0001209191-16-113266,2016-04-01,F,25444,109.99,467339,D,,,,,,
320193,2016-04-05,AAPL,SCHILLER PHILIP W,,0001209191-16-113269,2016-04-04,S,26284,111.68,49575,I,,,,,,
320193,2016-04-05,AAPL,Riccio Daniel J.,,0001209191-16-113268,2016-04-01,M,53056,,93811,D,,,,,,
320193,2016-04-05,AAPL,FEDERIGHI CRAIG,,0001209191-16-113266,2016-04-01,M,53055,,492783,D,,,,,,
320193,2016-04-05,AAPL,SEWELL D BRUCE,,0001209191-16-113271,2016-04-01,F,26772,109.99,342732,D,,,,,,
320193,2016-04-05,AAPL,SCHILLER PHILIP W,,0001209191-16-113269,2016-04-01,G,26284,0.0,0,D,,,,,,
320193,2016-04-05,AAPL,SCHILLER PHILIP W,,0001209191-16-113269,2016-04-01,F,26772,109.99,26284,D,,,,,,
320193,2016-04-05,AAPL,SEWELL D BRUCE,,0001209191-16-113271,2016-04-01,M,53056,,369504,D,,,,,,
320193,2016-04-05,AAPL,WILLIAMS JEFFREY E,,0001209191-16-113272,2016-04-04,S,26284,111.43,3079,D,,,,,,
320193,2016-04-05,AAPL,WILLIAMS JEFFREY E,,0001209191-16-113272,2016-04-01,F,26772,109.99,29363,D,,,,,,
320193,2016-04-05,AAPL,WILLIAMS JEFFREY E,,0001209191-16-113272,2016-04-01,M,53056,,56135,D,,,,,,
320193,2016-04-05,AAPL,SCHILLER PHILIP W,,0001209191-16-113269,2016-04-01,M,53056,,53056,D,,,,,,
320193,2016-04-19,AAPL,Maestri Luca,,0001209191-16-114936,2016-04-15,F,6289,109.85,6690,D,,,,,,
320193,2016-04-19,AAPL,KONDO CHRIS,,0001209191-16-114935,2016-04-15,F,1724,109.85,16130,D,,,,,,
320193,2016-04-19,AAPL,KONDO CHRIS,,0001209191-16-114935,2016-04-15,M,4804,,17854,D,,,,,,
320193,2016-04-19,AAPL,Srouji Johny,,0001209191-16-114938,2016-04-15,M,42738,,144830,D,,,,,,
320193,2016-04-19,AAPL,Maestri Luca,,0001209191-16-114936,2016-04-15,M,12558,,12979,D,,,,,,
320193,2016-04-19,AAPL,Srouji Johny,,0001209191-16-114938,2016-04-15,F,20370,109.85,124460,D,,,,,,
320193,2016-05-03,AAPL,AHRENDTS ANGELA J,,0001209191-16-117168,2016-05-01,M,153235,,248277,D,,,,,,
320193,2016-05-03,AAPL,AHRENDTS ANGELA J,,0001209191-16-117168,2016-05-01,F,75306,93.74,172971,D,,,,,,
320193,2016-05-25,AAPL,SEWELL D BRUCE,,0001209191-16-123335,2016-05-23,S,103300,96.78,239432,D,,,,,,
320193,2016-05-31,AAPL,Srouji Johny,,0001209191-16-124457,2016-05-26,S,8000,99.75,116460,D,,,,,,
320193,2016-05-31,AAPL,AHRENDTS ANGELA J,,0001209191-16-124453,2016-05-27,S,25000,100.0,122971,D,,,,,,
320193,2016-05-31,AAPL,AHRENDTS ANGELA J,,0001209191-16-124453,2016-05-26,S,25000,100.0,147971,D,,,,,,
320193,2016-06-01,AAPL,Riccio Daniel J.,,0001209191-16-124774,2016-05-27,S,40755,100.0,27612,D,,,,,,
320193,2016-06-01,AAPL,Maestri Luca,,0001209191-16-124773,2016-05-29,M,9551,,16241,D,,,,,,
320193,2016-06-01,AAPL,Maestri Luca,,0001209191-16-124773,2016-05-29,F,4799,100.35,11442,D,,,,,,
320193,2016-06-01,AAPL,Cue Eduardo H,,0001209191-16-124771,2016-05-27,S,50000,99.44,24000,I,,,,,,
320193,2016-06-02,AAPL,AHRENDTS ANGELA J,,0001209191-16-125278,2016-05-31,S,25000,100.0,97971,D,,,,,,
320193,2016-06-16,AAPL,AHRENDTS ANGELA J,,0001209191-16-128301,2016-06-14,F,32813,97.46,130839,D,,,,,,
320193,2016-06-16,AAPL,AHRENDTS ANGELA J,,0001209191-16-128301,2016-06-14,M,65681,,163652,D,,,,,,
320193,2016-07-20,AAPL,AHRENDTS ANGELA J,,0001628280-16-017677,2016-07-19,S,10797,100.0,95042,D,,,,,,
320193,2016-07-20,AAPL,AHRENDTS ANGELA J,,0001628280-16-017677,2016-07-18,S,25000,100.0,105839,D,,,,,,
320193,2016-08-05,AAPL,KONDO CHRIS,,0001628280-16-018636,2016-08-02,S,9829,104.87,6347,D,,,,,,
