cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1675149,2016-10-24,AA WI,ALCOA INC.,,0001675149-16-000043,2016-10-20,J,146159428.0,0.0,36311767.0,D,,,,,,
1675149,2016-11-16,AA,Collins Robert Sean,,0001675149-16-000071,2016-11-14,S,4012.0,29.551,28034.0,D,,,,,,
1675149,2016-11-16,AA,Collins Robert Sean,,0001675149-16-000071,2016-11-14,M,18164.0,22.78,46198.0,D,,,,,,
1675149,2016-12-05,AA,Sitherwood Suzanne,,0001675149-16-000104,2016-12-01,A,2078.0,0.0,2078.0,D,,,,,,
1675149,2016-12-05,AA,ZEDILLO ERNESTO,,0001675149-16-000106,2016-12-01,A,2078.0,0.0,2078.0,D,,,,,,
1675149,2016-12-05,AA,Williams Steven W,,0001675149-16-000105,2016-12-01,A,2078.0,0.0,2078.0,D,,,,,,
1675149,2016-12-05,AA,Roberts Carol L,,0001675149-16-000103,2016-12-01,A,2078.0,0.0,2078.0,D,,,,,,
1675149,2016-12-05,AA,OWENS JAMES W,,0001675149-16-000102,2016-12-01,A,2078.0,0.0,3189.0,D,,,,,,
1675149,2016-12-05,AA,Nevels James E,,0001675149-16-000101,2016-12-01,A,2078.0,0.0,2111.0,D,,,,,,
1675149,2016-12-05,AA,MORRIS MICHAEL G,,0001675149-16-000100,2016-12-01,A,2078.0,0.0,5424.0,D,,,,,,
1675149,2016-12-05,AA,HUGHES JAMES ALTON,,0001675149-16-000099,2016-12-01,A,2078.0,0.0,2078.0,D,,,,,,
1675149,2016-12-05,AA,FULLER KATHRYN S,,0001675149-16-000098,2016-12-01,A,2078.0,0.0,2078.0,D,,,,,,
1675149,2016-12-05,AA,FLYNN TIMOTHY PATRICK,,0001675149-16-000097,2016-12-01,A,2078.0,0.0,2078.0,D,,,,,,
1675149,2016-12-05,AA,Citrino Mary Anne,,0001675149-16-000096,2016-12-01,A,2078.0,0.0,2078.0,D,,,,,,
1675149,2017-01-19,AA,Fisher Leigh Ann,,0001675149-17-000007,2017-01-17,F,1000.0,32.64,20550.0,D,,,,,,
1675149,2017-01-19,AA,Heeter Jeffrey D.,,0001675149-17-000008,2017-01-17,F,3111.0,32.64,31161.0,D,,,,,,
1675149,2017-01-19,AA,Sigurdsson Tomas Mar,,0001675149-17-000009,2017-01-17,F,3089.0,32.64,46501.0,D,,,,,,
1675149,2017-02-06,AA,Oplinger William F,,0001675149-17-000015,2017-02-02,A,10620.0,0.0,71155.0,D,,,,,,
1675149,2017-02-06,AA,Sigurdsson Tomas Mar,,0001675149-17-000014,2017-02-02,A,2532.0,0.0,56657.0,D,,,,,,
1675149,2017-02-06,AA,Oplinger William F,,0001675149-17-000015,2017-02-02,F,22560.0,37.68,102111.0,D,,,,,,
1675149,2017-02-06,AA,Heeter Jeffrey D.,,0001675149-17-000010,2017-02-02,A,3990.0,0.0,35151.0,D,,,,,,
1675149,2017-02-06,AA,Beerman Molly S.,,0001675149-17-000011,2017-02-02,A,3680.0,0.0,4156.0,D,,,,,,
1675149,2017-02-06,AA,Harvey Roy Christopher,,0001675149-17-000012,2017-02-02,F,4577.0,37.68,79600.0,D,,,,,,
1675149,2017-02-06,AA,Harvey Roy Christopher,,0001675149-17-000012,2017-02-02,A,25652.0,0.0,84177.0,D,,,,,,
1675149,2017-02-06,AA,Fisher Leigh Ann,,0001675149-17-000013,2017-02-02,F,1594.0,37.68,28829.0,D,,,,,,
1675149,2017-02-06,AA,Fisher Leigh Ann,,0001675149-17-000013,2017-02-02,A,3320.0,0.0,30423.0,D,,,,,,
1675149,2017-02-06,AA,Sigurdsson Tomas Mar,,0001675149-17-000014,2017-02-02,F,2954.0,37.68,59059.0,D,,,,,,
1675149,2017-02-10,AA,Heeter Jeffrey D.,,0001675149-17-000017,2017-02-09,S,1164.0,37.52,32339.0,D,,,,,,
1675149,2017-02-15,AA,Arconic Inc.,,0001675149-17-000019,2017-02-14,S,23353000.0,38.03,12958767.0,D,,,,,,
1675149,2017-04-07,AA,Williams Steven W,,0001675149-17-000023,2017-04-05,A,886.0,33.85,2964.0,D,,,,,,
