cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1551152,2016-06-03,ABBV,GONZALEZ RICHARD A,,0001179110-16-025997,2016-06-02,S,1300.0,63.845,365556,D,,,,,,
1551152,2016-06-03,ABBV,GONZALEZ RICHARD A,,0001179110-16-025997,2016-06-02,A,285953.0,35.88,624374,D,,,,,,
1551152,2016-06-03,ABBV,SEVERINO MICHAEL,,0001179110-16-025998,2016-06-02,F,21574.0,62.83,143282,D,,,,,,
1551152,2016-06-28,ABBV,Schumacher Laura J,,0001179110-16-027030,2016-06-24,M,66300.0,28.8628,260438,D,,,,,,
1551152,2016-06-28,ABBV,Schumacher Laura J,,0001179110-16-027030,2016-06-24,S,83893.0,60.0,296351,D,,,,,,
1551152,2016-08-08,ABBV,HURWICH THOMAS A.,,0001179110-16-028396,2016-08-05,G,755.0,0.0,61449,D,,,,,,
1551152,2016-09-09,ABBV,Schumacher Laura J,,0001179110-16-029507,2016-09-07,S,50000.0,65.0,144138,D,,,,,,
1551152,2016-11-18,ABBV,HURWICH THOMAS A.,,0001179110-16-031870,2016-11-16,S,3100.0,62.0,61449,D,,,,,,
1551152,2016-11-18,ABBV,HURWICH THOMAS A.,,0001179110-16-031870,2016-11-16,M,3100.0,28.8628,64549,D,,,,,,
1551152,2016-12-02,ABBV,Schumacher Laura J,,0001179110-16-032341,2016-11-23,G,2979.0,0.0,141159,D,,,,,,
1551152,2016-12-02,ABBV,CHASE WILLIAM J,,0001179110-16-032340,2016-12-02,S,6600.0,59.19,172370,D,,,,,,
1551152,2016-12-02,ABBV,CHASE WILLIAM J,,0001179110-16-032340,2016-12-02,M,6600.0,27.29,178970,D,,,,,,
1551152,2016-12-09,ABBV,GONZALEZ RICHARD A,,0001179110-16-032746,2016-12-07,G,3840.0,0.0,334581,D,,,,,,
1551152,2016-12-09,ABBV,Gosebruch Henry O,,0001179110-16-032747,2016-12-09,F,13871.0,60.9,77179,D,,,,,,
1551152,2017-02-03,ABBV,GONZALEZ RICHARD A,,0001179110-17-001673,2017-02-02,G,8415.0,0.0,326166,D,,,,,,
1551152,2017-02-03,ABBV,SALEKI-GERHARDT AZITA,,0001179110-17-001675,2017-02-02,F,1558.0,60.89,3873,I,,,,,,
1551152,2017-02-03,ABBV,SALEKI-GERHARDT AZITA,,0001179110-17-001675,2017-02-02,M,2400.0,27.29,5431,I,,,,,,
1551152,2017-02-21,ABBV,HURWICH THOMAS A.,,0001179110-17-002810,2017-02-16,A,2526.0,0.0,69587,D,,,,,,
1551152,2017-02-21,ABBV,ALBAN CARLOS,,0001179110-17-002804,2017-02-16,A,13350.0,0.0,192466,D,,,,,,
1551152,2017-02-21,ABBV,CHASE WILLIAM J,,0001179110-17-002805,2017-02-16,A,15945.0,0.0,223755,D,,,,,,
1551152,2017-02-21,ABBV,SEVERINO MICHAEL,,0001179110-17-002816,2017-02-16,A,15375.0,0.0,192830,D,,,,,,
1551152,2017-02-21,ABBV,Schumacher Laura J,,0001179110-17-002814,2017-02-16,A,29139.0,0.0,170298,D,,,,,,
1551152,2017-02-21,ABBV,RICHMOND TIMOTHY J.,,0001179110-17-002811,2017-02-16,A,7080.0,0.0,67431,D,,,,,,
1551152,2017-02-21,ABBV,SALEKI-GERHARDT AZITA,,0001179110-17-002813,2017-02-16,A,7080.0,0.0,107395,D,,,,,,
1551152,2017-02-21,RETA,AbbVie Inc.,,0001179110-17-002818,2017-02-02,C,1505241.0,,1640473,D,,,,,,
1551152,2017-02-21,ABBV,Gosebruch Henry O,,0001179110-17-002807,2017-02-16,A,14035.0,0.0,122410,D,,,,,,
1551152,2017-02-21,ABBV,GONZALEZ RICHARD A,,0001179110-17-002808,2017-02-16,A,42651.0,0.0,463614,D,,,,,,
