cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1559720,2020-12-11,ABNB,Blecharczyk Nathan,,0000899243-20-033674,2020-12-09,F,7388.0,68.0,290677.0,D,,,,,,
1559720,2020-12-11,ABNB,JORDAN JEFFREY D,,0000899243-20-033658,2020-12-09,A,2127.0,0.0,2127.0,D,,,,,,
1559720,2020-12-11,ABNB,AHRENDTS ANGELA J,,0000899243-20-033655,2020-12-09,A,14702.0,0.0,14702.0,D,,,,,,
1559720,2020-12-11,ABNB,Lin Alfred,,0000899243-20-033656,2020-12-09,A,2127.0,0.0,2127.0,D,,,,,,
1559720,2020-12-11,ABNB,Gebbia Joseph,,0000899243-20-033657,2020-12-09,F,7371.0,68.0,290694.0,D,,,,,,
1559720,2020-12-11,ABNB,BALOGH ARISTOTLE N,,0000899243-20-033660,2020-12-09,F,158987.0,68.0,372057.0,D,,,,,,
1559720,2020-12-11,ABNB,BALOGH ARISTOTLE N,,0000899243-20-033660,2020-12-09,A,531044.0,0.0,531044.0,D,,,,,,
1559720,2020-12-11,ABNB,Johnson Belinda J.,,0000899243-20-033663,2020-12-09,F,217376.0,68.0,199418.0,D,,,,,,
1559720,2020-12-11,ABNB,Johnson Belinda J.,,0000899243-20-033663,2020-12-09,A,416794.0,0.0,416794.0,D,,,,,,
1559720,2020-12-11,ABNB,MATHER ANN,,0000899243-20-033673,2020-12-09,A,20074.0,0.0,20074.0,D,,,,,,
1559720,2020-12-11,ABNB,POWELL CATHERINE C,,0000899243-20-033666,2020-12-09,A,80888.0,0.0,156676.0,D,,,,,,
1559720,2020-12-11,ABNB,MATHER ANN,,0000899243-20-033673,2020-12-09,F,8568.0,68.0,11506.0,D,,,,,,
