cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
947484,2015-12-16,ACGL,IORDANOU CONSTANTINE,,0001179110-15-016353,2015-05-14,G,1323,0.0,364025,D,,,,,,
947484,2015-12-16,ACGL,IORDANOU CONSTANTINE,,0001179110-15-016353,2015-05-18,G,200,0.0,363825,D,,,,,,
947484,2015-12-16,ACGL,IORDANOU CONSTANTINE,,0001179110-15-016353,2015-12-15,G,800,0.0,243025,D,,,,,,
947484,2015-12-17,ACGL,PASQUESI JOHN M,,0001179110-15-016441,2015-12-11,G,725,0.0,669381,I,,,,,,
947484,2016-02-11,ACGL,Vollaro John D,,0001179110-16-018974,2016-02-09,M,120000,18.757,120000,D,,,,,,
947484,2016-02-11,ACGL,Vollaro John D,,0001179110-16-018974,2016-02-09,F,33163,67.87,86837,D,,,,,,
947484,2016-02-11,ACGL,Vollaro John D,,0001179110-16-018974,2016-02-09,G,86837,0.0,0,D,,,,,,
947484,2016-02-12,ACGL,IORDANOU CONSTANTINE,,0001179110-16-019054,2016-02-10,M,119927,18.757,362952,D,,,,,,
947484,2016-02-12,ACGL,IORDANOU CONSTANTINE,,0001179110-16-019054,2016-02-10,F,32657,68.88,330295,D,,,,,,
947484,2016-02-16,ACGL,Lyons Mark Donald,,0001179110-16-019258,2016-02-12,F,17065,68.4,218796,D,,,,,,
947484,2016-02-16,ACGL,Lyons Mark Donald,,0001179110-16-019258,2016-02-12,M,11000,19.293,235861,D,,,,,,
947484,2016-02-16,ACGL,Lyons Mark Donald,,0001179110-16-019258,2016-02-12,S,7500,67.3964,211296,D,,,,,,
947484,2016-02-16,ACGL,Lyons Mark Donald,,0001179110-16-019258,2012-02-12,M,8000,23.1,224861,D,,,,,,
947484,2016-02-22,ACGL,GRANDISSON MARC,,0001179110-16-019788,2016-02-18,M,211,18.7567,552362,D,,,,,,
947484,2016-02-22,ACGL,GRANDISSON MARC,,0001179110-16-019788,2016-02-19,M,29789,18.7567,581940,D,,,,,,
947484,2016-02-22,ACGL,GRANDISSON MARC,,0001179110-16-019788,2016-02-19,F,8199,68.63,573952,D,,,,,,
947484,2016-02-22,ACGL,GRANDISSON MARC,,0001179110-16-019788,2016-02-19,S,29789,68.6241,552151,D,,,,,,
947484,2016-02-22,ACGL,GRANDISSON MARC,,0001179110-16-019788,2016-02-18,S,211,68.5,552151,D,,,,,,
947484,2016-02-26,ACGL,Lyons Mark Donald,,0001179110-16-020199,2016-02-25,S,13200,68.9548,198096,D,,,,,,
947484,2016-03-01,ACGL,IORDANOU CONSTANTINE,,0001179110-16-020573,2016-02-18,G,3265,0.0,327030,D,,,,,,
947484,2016-03-02,ACGL,IORDANOU CONSTANTINE,,0001179110-16-020764,2016-03-02,S,40000,68.811,287030,D,,,,,,
947484,2016-03-16,ACGL,Lyons Mark Donald,,0001179110-16-021745,2016-03-15,S,3500,69.9101,194596,D,,,,,,
947484,2016-05-09,ACGL,Posner Brian S,,0001179110-16-024150,2016-05-06,A,1066,,20382,D,,,,,,
947484,2016-05-09,ACGL,PAGLIA LOUIS J,,0001179110-16-024151,2016-05-06,A,1066,,5134,D,,,,,,
947484,2016-05-09,ACGL,Lillikas Yiorgos,,0001179110-16-024149,2016-05-06,A,1066,,17481,D,,,,,,
947484,2016-05-09,ACGL,Sunshine Eugene S,,0001179110-16-024153,2015-05-06,A,1066,,3357,D,,,,,,
947484,2016-05-09,ACGL,PASQUESI JOHN M,,0001179110-16-024154,2016-05-06,A,1066,,1066,D,,,,,,
947484,2016-05-09,ACGL,LEE KEWSONG,,0001179110-16-024204,2016-05-06,A,1066,,244347,D,,,,,,
947484,2016-05-09,ACGL,Doppstadt Eric,,0001179110-16-024160,2015-05-07,A,1066,,13847,D,,,,,,
947484,2016-05-09,ACGL,BUNCE JOHN L JR,,0001179110-16-024176,2016-05-06,A,1066,,685965,D,,,,,,
947484,2016-05-10,ACGL,Mulligan Deanna,,0001179110-16-024262,2016-05-06,A,1777,,10454,D,,,,,,
947484,2016-05-10,ACGL,PETRILLO LOUIS T,,0001179110-16-024232,2016-05-09,F,1166,70.4,58347,D,,,,,,
947484,2016-05-17,ACGL,Lyons Mark Donald,,0001179110-16-024794,2016-05-13,M,5000,25.01,215626,D,,,,,,
947484,2016-05-17,ACGL,PETRILLO LOUIS T,,0001179110-16-024795,2016-05-13,F,2214,71.7,61683,D,,,,,,
947484,2016-05-17,ACGL,Lyons Mark Donald,,0001179110-16-024794,2016-05-13,F,11796,71.7,208830,D,,,,,,
947484,2016-05-17,ACGL,PETRILLO LOUIS T,,0001179110-16-024795,2016-05-13,A,5550,,63897,D,,,,,,
947484,2016-05-17,ACGL,Lyons Mark Donald,,0001179110-16-024794,2016-05-13,A,8080,,202676,D,,,,,,
947484,2016-05-17,ACGL,GRANDISSON MARC,,0001179110-16-024813,2016-05-13,A,11610,,585562,D,,,,,,
947484,2016-05-17,ACGL,IORDANOU CONSTANTINE,,0001179110-16-024815,2016-05-05,G,100,0.0,286930,D,,,,,,
947484,2016-05-17,ACGL,Hutchings W Preston,,0001179110-16-024814,2016-05-13,A,7310,,32881,D,,,,,,
947484,2016-05-17,ACGL,IORDANOU CONSTANTINE,,0001179110-16-024815,2016-05-13,A,46100,,333030,D,,,,,,
947484,2016-05-17,ACGL,McElroy David,,0001179110-16-024812,2016-05-13,A,8130,,92239,D,,,,,,
947484,2016-05-26,ACGL,IORDANOU CONSTANTINE,,0001179110-16-025538,2016-05-24,S,40000,71.5797,293030,D,,,,,,
947484,2016-06-02,ACGL,Lyons Mark Donald,,0001179110-16-025871,2016-05-31,S,7000,71.808,201830,D,,,,,,
947484,2016-06-03,ACGL,Lillikas Yiorgos,,0001179110-16-025943,2016-06-01,S,1570,72.2121,15911,D,,,,,,
947484,2016-06-03,ACGL,Lyons Mark Donald,,0001179110-16-025956,2016-06-02,S,3000,72.5457,198830,D,,,,,,
947484,2016-08-18,ACGL,McElroy David,,0001179110-16-028813,2016-08-17,S,700,79.8643,67580,D,,,,,,
947484,2016-08-18,ACGL,Lyons Mark Donald,,0001179110-16-028814,2016-08-17,S,8500,80.163,195142,D,,,,,,
947484,2016-08-18,ACGL,Lyons Mark Donald,,0001179110-16-028814,2016-08-17,F,8188,,203642,D,,,,,,
947484,2016-08-18,ACGL,Lyons Mark Donald,,0001179110-16-028814,2016-08-17,M,5000,19.293,206830,D,,,,,,
947484,2016-08-24,ACGL,PETRILLO LOUIS T,,0001179110-16-028983,2016-08-22,F,8485,,65948,D,,,,,,
947484,2016-08-24,ACGL,PETRILLO LOUIS T,,0001179110-16-028983,2016-08-23,S,4265,79.2932,57313,D,,,,,,
947484,2016-08-24,ACGL,PETRILLO LOUIS T,,0001179110-16-028983,2016-08-22,S,4370,79.5544,61578,D,,,,,,
947484,2016-08-24,ACGL,PETRILLO LOUIS T,,0001179110-16-028983,2016-08-22,M,12750,19.293,74433,D,,,,,,
947484,2016-08-31,ACGL,IORDANOU CONSTANTINE,,0001179110-16-029144,2016-08-31,G,100,0.0,242930,D,,,,,,
947484,2016-08-31,ACGL,IORDANOU CONSTANTINE,,0001179110-16-029144,2016-08-29,S,50000,79.5031,243030,D,,,,,,
947484,2016-09-01,ACGL,Lyons Mark Donald,,0001179110-16-029186,2016-08-30,S,4812,80.342,190330,D,,,,,,
947484,2016-10-31,ACGL,Lyons Mark Donald,,0001179110-16-031028,2016-10-28,M,9500,33.913,209880,D,,,,,,
947484,2016-10-31,ACGL,Lyons Mark Donald,,0001179110-16-031028,2016-10-28,S,8000,77.2203,194732,D,,,,,,
947484,2016-10-31,ACGL,Lyons Mark Donald,,0001179110-16-031028,2016-10-28,F,21148,,202732,D,,,,,,
947484,2016-11-21,ACGL,Posner Brian S,,0001179110-16-031892,2016-11-18,P,6000,21.8785,6000,D,,,,,,
947484,2016-12-05,ACGL,Lyons Mark Donald,,0001179110-16-032367,2016-12-02,S,6100,83.1353,188632,D,,,,,,
947484,2016-12-14,ACGL,IORDANOU CONSTANTINE,,0001179110-16-032929,2016-12-13,S,50000,87.2391,191522,D,,,,,,
