cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1467373,2016-06-06,ACN,Shook Ellyn,,0001467373-16-000906,2016-06-05,A,206,118.455,40766,D,,,,,,
1467373,2016-06-06,ACN,Sweet Julie Spellman,,0001467373-16-000907,2016-06-05,A,80,118.455,19604,D,,,,,,
1467373,2016-06-06,ACN,CLARK RICHARD P,,0001467373-16-000901,2016-06-05,A,172,118.455,16822,D,,,,,,
1467373,2016-06-06,ACN,van 't Noordende Alexander M,,0001467373-16-000908,2016-06-05,A,239,118.455,161827,D,,,,,,
1467373,2016-06-06,ACN,Sell Robert E,,0001467373-16-000905,2016-06-05,A,152,118.455,42382,D,,,,,,
1467373,2016-06-06,ACN,LONDON DANIEL T,,0001467373-16-000903,2016-06-05,A,208,118.455,27966,D,,,,,,
1467373,2016-06-06,ACN,Lumb Richard,,0001467373-16-000904,2016-06-05,A,193,118.455,130163,D,,,,,,
1467373,2016-06-06,ACN,Jerdee Chad T,,0001467373-16-000902,2016-06-05,A,118,118.455,31033,D,,,,,,
1467373,2016-06-29,ACN,Shook Ellyn,,0001467373-16-000926,2016-06-27,S,2800,109.76,37966,D,,,,,,
1467373,2016-06-29,ACN,van 't Noordende Alexander M,,0001467373-16-000927,2016-06-27,S,7029,109.7935,154798,D,,,,,,
1467373,2016-06-29,ACN,Deblaere Johan,,0001467373-16-000922,2016-06-27,S,1000,110.458,133650,D,,,,,,
1467373,2016-06-29,ACN,Lumb Richard,,0001467373-16-000923,2016-06-27,S,100,110.58,128913,D,,,,,,
1467373,2016-06-29,ACN,Ollagnier Jean-Marc,,0001467373-16-000924,2016-06-27,S,1837,109.6643,71435,D,,,,,,
1467373,2016-06-29,ACN,ROWLAND DAVID,,0001467373-16-000925,2016-06-27,S,1200,110.3667,15645,D,,,,,,
1467373,2016-06-30,ACN,Nanterme Pierre,,0001467373-16-000929,2016-06-29,S,46739,111.3243,207240,D,,,,,,
1467373,2016-07-07,ACN,Sell Robert E,,0001467373-16-000942,2016-07-05,A,160,113.0925,42542,D,,,,,,
1467373,2016-07-07,ACN,van 't Noordende Alexander M,,0001467373-16-000945,2016-07-05,A,252,113.0925,154150,D,,,,,,
