cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
796343,2016-05-31,ADBE,Lewnes Ann,,0000796343-16-000342,2016-05-27,S,4000.0,99.3991,50828.0,D,,,,,,
796343,2016-06-24,ADBE,Lewnes Ann,,0000796343-16-000348,2016-06-24,S,4000.0,92.39,46828.0,D,,,,,,
796343,2016-07-01,ADBE,ROWLEY RICHARD,,0000796343-16-000360,2016-07-01,S,271.0,95.6784,1348.0,D,,,,,,
796343,2016-07-01,ADBE,WARNOCK JOHN E,,0000796343-16-000356,2016-06-30,S,4000.0,95.1512,581115.0,I,,,,,,
796343,2016-07-01,ADBE,Rencher Bradley,,0000796343-16-000362,2016-07-01,S,37562.0,95.4589,47269.0,D,,,,,,
796343,2016-07-01,ADBE,LAMKIN BRYAN,,0000796343-16-000358,2016-07-01,S,9616.0,95.04,23665.0,D,,,,,,
796343,2016-07-11,ADBE,BARNHOLT EDWARD W,,0000796343-16-000366,2016-07-11,M,25000.0,37.09,58124.0,D,,,,,,
796343,2016-07-11,ADBE,BARNHOLT EDWARD W,,0000796343-16-000366,2016-07-11,S,25000.0,97.2453,33124.0,D,,,,,,
796343,2016-07-11,ADBE,ROSENSWEIG DANIEL,,0000796343-16-000364,2016-06-29,S,19300.0,92.9831,19268.0,I,,,,,,
796343,2016-07-21,ADBE,WARNOCK JOHN E,,0000796343-16-000370,2016-07-20,S,2000.0,98.512,579115.0,I,,,,,,
796343,2016-07-21,ADBE,DALEY JAMES E,,0000796343-16-000368,2016-07-20,M,5000.0,33.23,33086.0,D,,,,,,
796343,2016-07-21,ADBE,DALEY JAMES E,,0000796343-16-000368,2016-07-20,S,5000.0,98.5,28086.0,D,,,,,,
796343,2016-08-01,ADBE,Lewnes Ann,,0000796343-16-000372,2016-07-29,S,4000.0,98.4,43099.0,D,,,,,,
796343,2016-08-11,ADBE,Morris Donna,,0000796343-16-000376,2016-08-10,S,10000.0,100.0,64279.0,I,,,,,,
796343,2016-08-11,ADBE,Morris Donna,,0000796343-16-000374,2016-08-10,M,2335.0,34.03,76614.0,I,,,,,,
796343,2016-08-11,ADBE,Morris Donna,,0000796343-16-000374,2016-08-10,S,2335.0,100.0,74279.0,I,,,,,,
796343,2016-08-17,ADBE,GARRETT MARK,,0000796343-16-000378,2016-08-16,F,29351.0,100.6,26899.0,D,,,,,,
796343,2016-08-17,ADBE,GARRETT MARK,,0000796343-16-000378,2016-08-16,M,56250.0,0.0,56250.0,D,,,,,,
796343,2016-08-24,ADBE,DILLON MICHAEL A,,0000796343-16-000380,2016-08-23,M,27500.0,0.0,64123.0,D,,,,,,
796343,2016-08-24,ADBE,DILLON MICHAEL A,,0000796343-16-000380,2016-08-23,F,14349.0,101.14,49774.0,D,,,,,,
796343,2016-08-29,ADBE,DILLON MICHAEL A,,0000796343-16-000384,2016-08-29,S,5450.0,101.85,44324.0,D,,,,,,
796343,2016-08-29,ADBE,Lewnes Ann,,0000796343-16-000382,2016-08-26,S,131.0,101.68,42968.0,D,,,,,,
796343,2016-09-06,ADBE,GARRETT MARK,,0000796343-16-000388,2016-09-06,S,26899.0,103.4727,0.0,D,,,,,,
796343,2016-09-23,ADBE,DALEY JAMES E,,0000796343-16-000393,2016-09-22,M,6276.0,33.23,34362.0,D,,,,,,
796343,2016-09-23,ADBE,DALEY JAMES E,,0000796343-16-000393,2016-09-22,S,6276.0,108.0,28086.0,D,,,,,,
796343,2016-09-27,ADBE,WARNOCK JOHN E,,0000796343-16-000399,2016-09-27,S,5000.0,106.99,571600.0,I,,,,,,
796343,2016-09-27,ADBE,ROSENSWEIG DANIEL,,0000796343-16-000397,2016-09-26,S,13000.0,107.4174,6268.0,I,,,,,,
796343,2016-09-27,ADBE,WARNOCK JOHN E,,0000796343-16-000399,2016-08-01,G,515.0,,576600.0,I,,,,,,
796343,2016-09-27,ADBE,WARNOCK JOHN E,,0000796343-16-000399,2016-07-19,G,2000.0,,577115.0,I,,,,,,
