cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
6281,2016-06-20,ADI,ROCHE VINCENT,,0001225208-16-035247,2016-06-17,M,18265.0,0.0,39281.0,D,,,,,,
6281,2016-06-20,ADI,ROCHE VINCENT,,0001225208-16-035247,2016-06-17,F,6858.0,55.99,32423.0,D,,,,,,
6281,2016-07-15,ADI,Hess Rick D,,0000006281-16-000071,2016-07-15,S,6000.0,60.0329,36495.0,D,,,,,,
6281,2016-08-19,ADI,Zinsner David,,0000006281-16-000074,2016-08-18,S,15000.0,64.329,20897.0,D,,,,,,
6281,2016-08-19,ADI,Zinsner David,,0000006281-16-000074,2016-08-18,M,15000.0,37.52,35897.0,D,,,,,,
6281,2016-08-19,ADI,STATA RAY,,0000006281-16-000075,2016-08-19,S,25000.0,64.05,933709.0,I,,,,,,
6281,2016-08-19,ADI,STATA RAY,,0000006281-16-000075,2016-08-18,S,25000.0,64.0709,958709.0,I,,,,,,
6281,2016-08-19,ADI,HODGSON JOHN C,,0000006281-16-000076,2016-08-18,G,150.0,0.0,300.0,I,,,,,,
6281,2016-08-19,ADI,Wynne Eileen,,0000006281-16-000077,2016-08-18,M,602.0,37.52,1297.0,D,,,,,,
6281,2016-08-19,ADI,Wynne Eileen,,0000006281-16-000077,2016-08-18,S,2504.0,64.253,695.0,D,,,,,,
6281,2016-08-22,ADI,SEIF MARGARET K,,0000006281-16-000078,2016-08-19,M,7232.0,37.52,20516.0,D,,,,,,
6281,2016-08-22,ADI,SEIF MARGARET K,,0000006281-16-000078,2016-08-19,S,7232.0,64.03,13284.0,D,,,,,,
6281,2016-08-23,ADI,STATA RAY,,0000006281-16-000079,2016-08-22,S,25000.0,64.0153,908709.0,I,,,,,,
6281,2016-09-02,ADI,Hess Rick D,,0000006281-16-000080,2016-09-01,S,6000.0,62.63,30495.0,D,,,,,,
6281,2016-09-19,ADI,Hess Rick D,,0000006281-16-000082,2016-09-15,F,9410.0,62.65,41085.0,D,,,,,,
6281,2016-09-19,ADI,Meaney Richard,,0000006281-16-000083,2016-09-16,M,2325.0,0.0,26445.0,D,,,,,,
6281,2016-09-19,ADI,Meaney Richard,,0000006281-16-000083,2016-09-16,F,1961.0,62.05,24484.0,D,,,,,,
6281,2016-09-19,ADI,Hess Rick D,,0000006281-16-000082,2016-09-15,M,20000.0,0.0,50495.0,D,,,,,,
6281,2016-09-21,ADI,STATA RAY,,0000006281-16-000084,2016-09-21,S,25000.0,63.2023,883709.0,I,,,,,,
6281,2016-09-28,ADI,Cotter Martin,,0000006281-16-000088,2016-09-27,M,10000.0,33.41,10064.0,D,,,,,,
6281,2016-09-28,ADI,Cotter Martin,,0000006281-16-000088,2016-09-27,S,10000.0,62.912,64.0,D,,,,,,
6281,2016-09-30,ADI,Real Peter,,0000006281-16-000090,2016-09-29,S,6500.0,64.139,7286.0,D,,,,,,
6281,2016-09-30,ADI,Real Peter,,0000006281-16-000090,2016-09-29,M,6500.0,19.57,13786.0,D,,,,,,
6281,2016-10-03,ADI,CHAMPY JAMES,,0000006281-16-000091,2016-09-29,G,250.0,0.0,21345.0,D,,,,,,
6281,2016-10-05,ADI,HODGSON JOHN C,,0000006281-16-000093,2016-10-04,M,7500.0,29.91,18485.0,D,,,,,,
6281,2016-10-05,ADI,HODGSON JOHN C,,0000006281-16-000093,2016-10-04,S,7500.0,64.419,10985.0,D,,,,,,
6281,2016-11-28,ADI,CHAMPY JAMES,,0000006281-16-000098,2016-11-23,G,3445.0,0.0,17900.0,D,,,,,,
6281,2016-11-29,ADI,HODGSON JOHN C,,0000006281-16-000099,2016-11-28,M,5000.0,19.57,15985.0,D,,,,,,
6281,2016-11-29,ADI,HODGSON JOHN C,,0000006281-16-000099,2016-11-28,S,5000.0,73.949,10985.0,D,,,,,,
