cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1820953,2021-01-15,AFRM,"Khosla Ventures IV, L.P.",,0000899243-21-002203,2021-01-13,P,70493,49.0,6600963,I,,,,,,
1820953,2021-01-15,AFRM,Rabois Keith,,0001209191-21-003765,2021-01-13,P,75000,49.0,75000,I,,,,,,
1820953,2021-01-15,AFRM,Philips Jeremy,,0001209191-21-003764,2021-01-13,P,74243,49.0,558604,I,,,,,,
1820953,2021-01-20,AFRM,Rabois Keith,,0001209191-21-004591,2021-01-15,C,550000,0.0,1486909,I,,,,,,
1820953,2021-01-20,AFRM,"Founders Fund V Management, LLC",,0001209191-21-004575,2021-01-15,P,75000,49.0,75000,I,,,,,,
1820953,2021-01-20,AFRM,"Founders Fund V Management, LLC",,0001209191-21-004575,2021-01-15,C,550000,,1486909,I,,,,,,
1820953,2021-01-28,AFRM,GIC Private Ltd,,0000899243-21-003678,2021-01-13,P,7700,49.0,7700,D,,,,,,
1820953,2021-01-28,AFRM,GIC Private Ltd,,0000899243-21-003678,2021-01-13,S,3800,95.3846,8535,D,,,,,,
1820953,2021-03-03,AFRM,Linford Michael,,0001820953-21-000009,2021-02-01,F,1032,107.61,2301,D,,,,,,
1820953,2021-03-03,AFRM,Caro del Castillo Sharda,,0001820953-21-000010,2021-03-01,F,1247,91.44,21686,D,,,,,,
1820953,2021-03-03,AFRM,BHANDARI SANDEEP,,0001820953-21-000008,2021-03-01,F,1247,91.44,54186,D,,,,,,
1820953,2021-03-03,AFRM,Linford Michael,,0001820953-21-000009,2021-02-01,M,3333,,3333,D,,,,,,
1820953,2021-03-03,AFRM,Linford Michael,,0001820953-21-000009,2021-03-01,F,1044,91.44,4590,D,,,,,,
1820953,2021-03-03,AFRM,Caro del Castillo Sharda,,0001820953-21-000010,2021-03-01,M,3333,,22933,D,,,,,,
1820953,2021-03-03,AFRM,BHANDARI SANDEEP,,0001820953-21-000008,2021-02-01,M,3333,,53333,D,,,,,,
1820953,2021-03-03,AFRM,BHANDARI SANDEEP,,0001820953-21-000008,2021-03-01,M,3333,,55433,D,,,,,,
1820953,2021-03-03,AFRM,Linford Michael,,0001820953-21-000009,2021-03-01,M,3333,,5634,D,,,,,,
1820953,2021-03-03,AFRM,Caro del Castillo Sharda,,0001820953-21-000010,2021-02-01,F,1233,107.61,19600,D,,,,,,
1820953,2021-03-03,AFRM,BHANDARI SANDEEP,,0001820953-21-000008,2021-02-01,F,1233,107.61,52100,D,,,,,,
1820953,2021-03-03,AFRM,Martincevic Silvija,,0001820953-21-000011,2021-03-01,F,1247,91.44,4186,D,,,,,,
1820953,2021-03-03,AFRM,Caro del Castillo Sharda,,0001820953-21-000010,2021-02-01,M,3333,,20833,D,,,,,,
1820953,2021-03-03,AFRM,Jiyane Siphelele,,0001820953-21-000012,2021-01-13,M,14483,,19483,D,,,,,,
1820953,2021-03-03,AFRM,Jiyane Siphelele,,0001820953-21-000012,2021-01-13,F,5729,97.24,13754,D,,,,,,
1820953,2021-03-03,AFRM,Jiyane Siphelele,,0001820953-21-000012,2021-03-01,M,3764,,19895,D,,,,,,
1820953,2021-03-03,AFRM,Jiyane Siphelele,,0001820953-21-000012,2021-02-01,M,3762,,17516,D,,,,,,
