cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1423689,2016-02-04,AGNC,Bell Bernice,,0001665177-16-000002,2016-02-02,S,2385.0,16.96,24649.74,D,,,,,,
1423689,2016-02-18,AGNC,Bell Bernice,,0001665177-16-000003,2016-02-16,S,10.0,17.66,24942.96,D,,,,,,
1423689,2016-02-18,AGNC,Bell Bernice,,0001665177-16-000003,2016-02-17,A,5697.485,,30640.45,D,,,,,,
1423689,2016-02-19,AGNC,Federico Peter J,,0001464523-16-000012,2016-02-17,A,100870.182,,442431.0,D,,,,,,
1423689,2016-02-19,AGNC,Kuehl Christopher,,0001544050-16-000014,2016-02-17,A,100870.182,,434813.0,D,,,,,,
1423689,2016-02-19,AGNC,Kain Gary D,,0001434805-16-000009,2016-02-17,A,122745.484,,1425707.0,D,,,,,,
1423689,2016-02-19,AGNC,Kain Gary D,,0001434805-16-000009,2016-02-19,S,7747.0,17.96,1417960.0,D,,,,,,
1423689,2016-02-24,AGNC,Bell Bernice,,0001665177-16-000004,2016-02-23,S,2061.0,18.0,28579.45,D,,,,,,
1423689,2016-02-24,AGNC,Federico Peter J,,0001464523-16-000015,2016-02-23,S,7050.0,18.0,435381.0,D,,,,,,
1423689,2016-02-24,AGNC,Kuehl Christopher,,0001544050-16-000017,2016-02-23,S,7050.0,18.0,427764.0,D,,,,,,
1423689,2016-03-02,AGNC,Bell Bernice,,0001665177-16-000005,2016-03-01,S,2109.0,18.12,26453.45,D,,,,,,
1423689,2016-03-08,AGNC,Kuehl Christopher,,0001544050-16-000019,2016-03-08,S,8124.0,18.04,419640.0,D,,,,,,
1423689,2016-03-08,AGNC,Federico Peter J,,0001464523-16-000017,2016-03-08,S,8126.0,18.04,427255.0,D,,,,,,
1423689,2016-03-08,AGNC,Bell Bernice,,0001665177-16-000006,2016-03-08,S,822.0,18.07,25630.79,D,,,,,,
1423689,2016-03-11,AGNC,Kuehl Christopher,,0001544050-16-000020,2016-03-10,S,10562.0,18.1282,409078.0,D,,,,,,
1423689,2016-03-11,AGNC,Kain Gary D,,0001434805-16-000011,2016-03-10,S,21103.0,18.1266,1396857.0,D,,,,,,
1423689,2016-03-11,AGNC,Federico Peter J,,0001464523-16-000018,2016-03-10,S,10562.0,18.1253,416693.0,D,,,,,,
1423689,2016-03-11,AGNC,Bell Bernice,,0001665177-16-000007,2016-03-10,S,391.0,18.15,25239.79,D,,,,,,
1423689,2016-03-18,AGNC,Kain Gary D,,0001434805-16-000014,2016-03-15,S,47956.0,18.1238,1348901.0,D,,,,,,
1423689,2016-03-25,AGNC,Kain Gary D,,0001434805-16-000015,2016-03-23,S,46045.0,18.5403,1302856.0,D,,,,,,
1423689,2016-03-25,AGNC,Kain Gary D,,0001434805-16-000015,2016-03-24,A,44302.0,,1357487.0,D,,,,,,
1423689,2016-04-04,AGNC,Kuehl Christopher,,0001544050-16-000022,2016-03-31,S,6177.0,18.42,402879.0,D,,,,,,
1423689,2016-04-04,AGNC,Federico Peter J,,0001464523-16-000020,2016-03-31,S,4477.0,18.42,416216.0,D,,,,,,
