cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
5272,2020-05-08,AIG,JURGENSEN WILLIAM G,,0001225208-20-007280,2020-05-06,P,20000.0,24.0983,35000.0,D,,,,,,
5272,2020-07-30,AIG,Ling Karen,,0001225208-20-010071,2020-07-29,M,4576.0,0.0,10809.0,D,,,,,,
5272,2020-07-30,AIG,Ling Karen,,0001225208-20-010071,2020-07-29,F,2436.0,32.67,8373.0,D,,,,,,
5272,2020-09-08,AIG,Habayeb Elias F.,,0001225208-20-011356,2020-09-04,S,8500.0,29.4024,5745.0,D,,,,,,
5272,2020-09-29,KYN,AMERICAN INTERNATIONAL GROUP INC,,0001209191-20-052407,2020-09-29,J,5108672.0,5149683.16,,I,,,,,,
5272,2020-10-30,KYN,AMERICAN INTERNATIONAL GROUP INC,,0001209191-20-056279,2020-10-28,J,405366.0,25.18,0.0,I,,,,,,
5272,2020-10-30,KMF,AMERICAN INTERNATIONAL GROUP INC,,0001209191-20-056278,2020-10-28,J,498301.0,25.22,0.0,I,,,,,,
5272,2020-11-02,SQZ,AMERICAN INTERNATIONAL GROUP INC,,0001104659-20-120551,2020-10-30,C,1511139.0,,1511139.0,I,,,,,,
5272,2020-11-02,SQZ,AMERICAN INTERNATIONAL GROUP INC,,0001104659-20-120551,2020-10-30,P,625000.0,16.0,625000.0,I,,,,,,
5272,2020-12-16,AIG,Quane Alessandrea C.,,0001225208-20-014751,2020-12-14,S,12750.0,38.6781,44086.0,D,,,,,,
5272,2021-01-05,AIG,Repko John P,,0001225208-21-000240,2021-01-01,M,6395.0,0.0,6395.0,D,,,,,,
5272,2021-01-05,AIG,McElroy David,,0001225208-21-000239,2021-01-01,M,20370.0,0.0,23451.0,D,,,,,,
5272,2021-01-05,AIG,Lyons Mark Donald,,0001225208-21-000238,2021-01-01,M,1708.0,0.0,1708.0,D,,,,,,
5272,2021-01-05,AIG,Hogan Kevin T.,,0001225208-21-000233,2021-01-01,M,27483.0,0.0,191286.0,D,,,,,,
5272,2021-01-05,AIG,Zaffino Peter,,0001225208-21-000234,2021-01-01,M,29200.0,0.0,43149.0,D,,,,,,
5272,2021-01-05,AIG,Quane Alessandrea C.,,0001225208-21-000235,2021-01-01,M,8062.0,0.0,52148.0,D,,,,,,
5272,2021-01-05,AIG,Habayeb Elias F.,,0001225208-21-000236,2021-01-01,M,17405.0,0.0,23150.0,D,,,,,,
5272,2021-01-05,AIG,Mouri Naohiro,,0001225208-21-000237,2021-01-01,M,3206.0,0.0,5079.0,D,,,,,,
5272,2021-01-05,AIG,Fato Luciana,,0001225208-21-000232,2021-01-01,M,14314.0,0.0,21907.0,D,,,,,,
5272,2021-01-05,AIG,DUPERREAULT BRIAN,,0001225208-21-000231,2021-01-01,M,76954.0,0.0,177877.0,D,,,,,,
5272,2021-01-05,AIG,Dachille Douglas A.,,0001225208-21-000230,2021-01-01,M,29200.0,0.0,110781.0,D,,,,,,
5272,2021-01-20,AIG,Dachille Douglas A.,,0001225208-21-000940,2021-01-15,F,10880.0,41.35,99901.0,D,,,,,,
5272,2021-01-20,AIG,Fato Luciana,,0001225208-21-000942,2021-01-15,F,5500.0,41.35,16407.0,D,,,,,,
5272,2021-01-20,AIG,Habayeb Elias F.,,0001225208-21-000943,2021-01-15,F,2179.0,41.35,27321.0,D,,,,,,
5272,2021-01-20,AIG,Hogan Kevin T.,,0001225208-21-000944,2021-01-15,F,10079.0,41.35,181207.0,D,,,,,,
5272,2021-01-20,AIG,McElroy David,,0001225208-21-000946,2021-01-15,F,6625.0,41.35,16826.0,D,,,,,,
5272,2021-01-20,AIG,Lyons Mark Donald,,0001225208-21-000945,2021-01-15,F,684.0,41.35,1024.0,D,,,,,,
5272,2021-01-20,AIG,Quane Alessandrea C.,,0001225208-21-000950,2021-01-15,F,2834.0,41.35,49314.0,D,,,,,,
5272,2021-01-20,AIG,Mouri Naohiro,,0001225208-21-000947,2021-01-15,F,289.0,41.35,5295.0,D,,,,,,
5272,2021-01-20,AIG,Repko John P,,0001225208-21-000948,2021-01-15,F,2229.0,41.35,4166.0,D,,,,,,
5272,2021-01-20,AIG,DUPERREAULT BRIAN,,0001225208-21-000941,2021-01-15,F,30468.0,41.35,147409.0,D,,,,,,
5272,2021-01-20,AIG,Zaffino Peter,,0001225208-21-000949,2021-01-15,F,10437.0,41.35,32712.0,D,,,,,,
5272,2021-02-24,AIG,DUPERREAULT BRIAN,,0001225208-21-003617,2021-02-22,M,140054.0,0.0,287463.0,D,,,,,,
5272,2021-02-24,AIG,Dachille Douglas A.,,0001225208-21-003616,2021-02-22,M,53144.0,0.0,153045.0,D,,,,,,
5272,2021-02-24,AIG,Fato Luciana,,0001225208-21-003618,2021-02-22,M,26051.0,0.0,42458.0,D,,,,,,
5272,2021-02-24,AIG,Habayeb Elias F.,,0001225208-21-003621,2021-02-22,M,7529.0,0.0,28781.0,D,,,,,,
5272,2021-02-24,AIG,Hogan Kevin T.,,0001225208-21-003622,2021-02-22,M,50019.0,0.0,231226.0,D,,,,,,
5272,2021-02-24,AIG,Lyons Mark Donald,,0001225208-21-003623,2021-02-22,M,3108.0,0.0,4132.0,D,,,,,,
5272,2021-02-24,AIG,McElroy David,,0001225208-21-003624,2021-02-22,M,4746.0,0.0,21572.0,D,,,,,,
5272,2021-02-24,AIG,Quane Alessandrea C.,,0001225208-21-003625,2021-02-22,M,14671.0,0.0,63985.0,D,,,,,,
5272,2021-02-24,AIG,Mouri Naohiro,,0001225208-21-003626,2021-02-22,M,5834.0,0.0,9301.0,D,,,,,,
