cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1086222,2018-06-04,AKAM,SALERNO FREDERIC V,,0001086222-18-000147,2018-06-01,M,4830,0.0,72180,D,,,,,,
1086222,2018-06-04,AKAM,Ahola Aaron,,0001086222-18-000142,2018-06-01,M,419,0.0,12632,D,,,,,,
1086222,2018-06-13,AKAM,Wheaton William,,0001086222-18-000160,2018-06-12,S,5000,80.05,22437,D,,,,,,
1086222,2018-07-06,AKAM,Ahola Aaron,,0001086222-18-000166,2018-07-05,S,4500,74.0,8578,D,,,,,,
1086222,2018-07-06,AKAM,SELIGMAN NAOMI O,,0001086222-18-000165,2018-07-05,S,7855,74.0,6023,D,,,,,,
1086222,2018-07-06,AKAM,Karon Adam,,0001086222-18-000164,2018-07-06,S,10000,75.0,13035,D,,,,,,
1086222,2018-07-12,AKAM,Ahola Aaron,,0001086222-18-000170,2018-07-10,S,4543,76.11,4035,D,,,,,,
1086222,2018-07-12,AKAM,SAGAN PAUL,,0001086222-18-000169,2018-07-10,M,39100,38.43,154278,D,,,,,,
1086222,2018-07-12,AKAM,SAGAN PAUL,,0001086222-18-000169,2018-07-10,S,39100,76.09,115178,D,,,,,,
1086222,2018-07-23,AKAM,MILLER JON,,0001086222-18-000173,2018-07-22,M,1833,0.0,14671,D,,,,,,
1086222,2018-07-23,AKAM,Wheaton William,,0001086222-18-000174,2018-07-22,M,461,0.0,22898,D,,,,,,
1086222,2018-07-26,AKAM,Karon Adam,,0001086222-18-000178,2018-07-24,S,784,80.0,12251,D,,,,,,
1086222,2018-07-26,AKAM,Karon Adam,,0001086222-18-000178,2018-07-25,S,4216,80.0,8035,D,,,,,,
1086222,2018-07-26,AKAM,SAGAN PAUL,,0001086222-18-000177,2018-07-24,M,39100,38.43,154278,D,,,,,,
1086222,2018-07-26,AKAM,SAGAN PAUL,,0001086222-18-000177,2018-07-24,S,39100,79.51,115178,D,,,,,,
1086222,2018-07-27,AKAM,Ahola Aaron,,0001086222-18-000180,2018-07-27,M,257,0.0,4292,D,,,,,,
1086222,2018-08-06,AKAM,Blumofe Robert,,0001086222-18-000185,2018-08-02,S,4000,71.2,19951,D,,,,,,
1086222,2018-08-08,AKAM,SELIGMAN NAOMI O,,0001086222-18-000193,2018-08-06,S,6023,74.54,0,D,,,,,,
1086222,2018-08-08,AKAM,SAGAN PAUL,,0001086222-18-000192,2018-08-07,M,39092,38.43,154270,D,,,,,,
