cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
915913,2016-01-05,ALB,KISSAM LUTHER C IV,,0001648210-16-000014,2016-01-01,M,6092.0,0.0,176869,D,,,,,,
915913,2016-01-05,ALB,Juneau Matthew,,0001648210-16-000011,2016-01-01,M,761.0,0.0,12155,D,,,,,,
915913,2016-01-05,ALB,Kelliher Susan M.,,0001648210-16-000010,2016-01-01,F,285.0,56.01,4813,D,,,,,,
915913,2016-01-05,ALB,Kelliher Susan M.,,0001648210-16-000010,2016-01-01,M,761.0,0.0,5098,D,,,,,,
915913,2016-01-05,ALB,Juneau Matthew,,0001648210-16-000011,2016-01-01,F,285.0,56.01,11870,D,,,,,,
915913,2016-01-05,ALB,KISSAM LUTHER C IV,,0001648210-16-000014,2016-01-01,F,2058.0,56.01,174811,D,,,,,,
915913,2016-01-05,ALB,LaBauve Donald J. Jr.,,0001648210-16-000009,2016-01-01,F,86.0,56.01,3182,D,,,,,,
915913,2016-01-05,ALB,NARWOLD KAREN G,,0001648210-16-000012,2016-01-01,M,913.0,0.0,20393,D,,,,,,
915913,2016-01-05,ALB,Tozier Scott,,0001648210-16-000013,2016-01-01,F,457.0,56.01,27188,D,,,,,,
915913,2016-01-05,ALB,Tozier Scott,,0001648210-16-000013,2016-01-01,M,1218.0,0.0,27645,D,,,,,,
915913,2016-01-05,ALB,NARWOLD KAREN G,,0001648210-16-000012,2016-01-01,F,362.0,56.01,20031,D,,,,,,
915913,2016-01-05,ALB,LaBauve Donald J. Jr.,,0001648210-16-000009,2016-01-01,M,228.0,0.0,3268,D,,,,,,
915913,2016-01-07,ALB,Tozier Scott,,0001648210-16-000016,2016-01-06,S,190.0,52.55,26998,D,,,,,,
915913,2016-01-07,ALB,NARWOLD KAREN G,,0001648210-16-000015,2016-01-06,S,138.0,52.57,19893,D,,,,,,
915913,2016-03-01,ALB,KISSAM LUTHER C IV,,0001648210-16-000019,2016-02-26,F,5238.0,56.56,185865,D,,,,,,
915913,2016-03-01,ALB,Tozier Scott,,0001648210-16-000021,2016-02-26,F,1036.0,56.56,29221,D,,,,,,
915913,2016-03-01,ALB,SHERMAN JOHN JR,,0001648210-16-000017,2016-02-29,G,475.0,0.0,3875,D,,,,,,
915913,2016-03-01,ALB,LaBauve Donald J. Jr.,,0001648210-16-000018,2016-02-26,F,230.0,56.56,3564,D,,,,,,
915913,2016-03-01,ALB,Juneau Matthew,,0001648210-16-000022,2016-02-26,M,2445.0,0.0,14315,D,,,,,,
915913,2016-03-01,ALB,Tozier Scott,,0001648210-16-000021,2016-02-26,M,3259.0,0.0,30257,D,,,,,,
915913,2016-03-01,ALB,KISSAM LUTHER C IV,,0001648210-16-000019,2016-02-26,M,16292.0,0.0,191103,D,,,,,,
915913,2016-03-01,ALB,Juneau Matthew,,0001648210-16-000022,2016-02-26,F,781.0,56.56,13534,D,,,,,,
