cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
899051,2017-05-05,ALL,PILCH SAMUEL H,,0001127602-17-017006,2017-05-03,M,3585.0,31.56,35875.0,D,,,,,,
899051,2017-05-05,ALL,PILCH SAMUEL H,,0001127602-17-017006,2017-05-03,S,8582.0,83.88,32290.0,D,,,,,,
899051,2017-05-08,ALL,Shebik Steven E,,0001127602-17-017269,2017-05-04,M,33616.0,31.41,125979.0,D,,,,,,
899051,2017-05-08,ALL,Shebik Steven E,,0001127602-17-017269,2017-05-04,S,33616.0,85.22,92363.0,D,,,,,,
899051,2017-05-08,ALL,Lees Susan L,,0001127602-17-017268,2017-05-04,M,20154.0,33.9,51861.0,D,,,,,,
899051,2017-05-08,ALL,Lees Susan L,,0001127602-17-017268,2017-05-04,S,33806.0,85.31,28607.0,D,,,,,,
899051,2017-05-16,ALL,Winter Matthew E,,0001127602-17-018333,2017-05-15,M,33957.0,31.74,168463.0,D,,,,,,
899051,2017-05-16,ALL,Winter Matthew E,,0001127602-17-018333,2017-05-15,S,33957.0,84.38,134506.0,D,,,,,,
899051,2017-05-30,ALL,Gupta Sanjay,,0001127602-17-019757,2017-05-26,M,3202.0,52.18,52202.0,D,,,,,,
899051,2017-05-30,ALL,Gupta Sanjay,,0001127602-17-019757,2017-05-25,S,16798.0,86.0,49000.0,D,,,,,,
899051,2017-05-30,ALL,Gupta Sanjay,,0001127602-17-019757,2017-05-25,M,16798.0,52.18,65798.0,D,,,,,,
899051,2017-06-01,ALL,WILSON THOMAS J,,0001127602-17-020016,2017-05-23,G,589.0,0.0,145055.686,D,,,,,,
899051,2017-06-06,ALL,Ferren Eric K,,0001127602-17-020656,2017-06-02,M,3595.0,0.0,4070.0,D,,,,,,
899051,2017-06-06,ALL,Ferren Eric K,,0001127602-17-020656,2017-06-02,F,1119.0,86.94,2476.0,D,,,,,,
899051,2017-06-16,ALL,Winter Matthew E,,0001127602-17-021561,2017-06-15,M,48058.0,31.56,182564.0,D,,,,,,
