cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
2488,2016-11-17,AMD,ANDERSON JAMES ROBERT,,0000002488-16-000286,2016-11-15,M,589342,0.0,771152,D,,,,,,
2488,2016-11-17,AMD,ANDERSON JAMES ROBERT,,0000002488-16-000286,2016-11-16,S,312318,7.38,458834,D,,,,,,
2488,2016-11-17,AMD,ANDERSON JAMES ROBERT,,0000002488-16-000286,2016-11-17,S,38500,8.49,420334,D,,,,,,
2488,2016-11-17,AMD,Papermaster Mark D,,0000002488-16-000285,2016-11-15,S,22105,7.0,738933,D,,,,,,
2488,2016-11-17,AMD,SMITH DARLA M,,0000002488-16-000284,2016-11-15,S,14470,6.92,16705,D,,,,,,
2488,2016-11-29,AMD,WOLIN HARRY A,,0000002488-16-000288,2016-11-28,S,18000,8.88,688116,D,,,,,,
2488,2016-12-14,AMD,Claflin Bruce L.,,0000002488-16-000290,2016-12-12,S,20000,10.7564,718902,D,,,,,,
2488,2016-12-21,AMD,Norrod Forrest Eugene,,0000002488-16-000292,2016-12-19,M,50000,1.84,725961,D,,,,,,
2488,2016-12-21,AMD,Norrod Forrest Eugene,,0000002488-16-000292,2016-12-19,S,100000,10.6589,625961,D,,,,,,
2488,2016-12-22,AMD,ANDERSON JAMES ROBERT,,0000002488-16-000294,2016-12-20,S,20000,11.3397,400334,D,,,,,,
2488,2016-12-28,AMD,Norrod Forrest Eugene,,0000002488-16-000304,2016-12-28,S,27828,12.28,666813,D,,,,,,
2488,2016-12-28,AMD,Papermaster Mark D,,0000002488-16-000302,2016-12-26,M,68680,0.0,807613,D,,,,,,
2488,2016-12-28,AMD,Norrod Forrest Eugene,,0000002488-16-000304,2016-12-26,M,68680,0.0,694641,D,,,,,,
2488,2016-12-28,AMD,WOLIN HARRY A,,0000002488-16-000301,2016-12-26,M,44642,0.0,732758,D,,,,,,
2488,2016-12-28,AMD,Papermaster Mark D,,0000002488-16-000302,2016-12-27,S,36356,11.8578,771257,D,,,,,,
2488,2016-12-28,AMD,Su Lisa T,,0000002488-16-000300,2016-12-26,M,206041,0.0,2228267,D,,,,,,
2488,2016-12-28,AMD,WOLIN HARRY A,,0000002488-16-000301,2016-12-27,S,18999,11.8578,713759,D,,,,,,
2488,2016-12-28,AMD,Su Lisa T,,0000002488-16-000300,2016-12-27,S,87683,11.8578,2140584,D,,,,,,
2488,2016-12-28,AMD,KUMAR DEVINDER,,0000002488-16-000299,2016-12-26,M,68680,0.0,786777,D,,,,,,
