cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1037868,2015-12-23,AME,McClain Gretchen W,,0001127602-15-034824,2015-12-23,J,40,55.963,587,D,,,,,,
1037868,2015-12-31,AME,MANDOS ROBERT R,,0001127602-15-035127,2015-12-31,J,807,54.584,21981,D,,,,,,
1037868,2015-12-31,AME,ZAPICO DAVID A,,0001127602-15-035130,2015-12-31,J,1319,54.584,44244,D,,,,,,
1037868,2015-12-31,AME,Oscher Ronald J,,0001127602-15-035129,2015-12-31,J,787,54.584,3252,D,,,,,,
1037868,2015-12-31,AME,Marecic Thomas C,,0001127602-15-035128,2015-12-31,J,280,54.584,6518,D,,,,,,
1037868,2015-12-31,AME,Burke William Joseph,,0001127602-15-035122,2015-12-10,G,100,0.0,49129,D,,,,,,
1037868,2015-12-31,AME,McClain Gretchen W,,0001127602-15-035131,2015-12-31,J,3,54.584,590,D,,,,,,
1037868,2015-12-31,AME,HERMANCE FRANK S,,0001127602-15-035125,2015-12-31,J,4762,54.584,374602,D,,,,,,
1037868,2015-12-31,AME,Hardin John Wesley,,0001127602-15-035124,2015-12-31,J,1240,54.584,17446,D,,,,,,
1037868,2015-12-31,AME,EGINTON WILLIAM D,,0001127602-15-035123,2015-12-31,J,405,54.584,19626,D,,,,,,
1037868,2015-12-31,AME,Burke William Joseph,,0001127602-15-035122,2015-12-31,J,301,54.584,8488,D,,,,,,
1037868,2015-12-31,AME,Jones Timothy N,,0001127602-15-035126,2015-12-31,J,619,54.584,26390,D,,,,,,
1037868,2016-02-04,AME,HERMANCE FRANK S,,0001127602-16-039537,2016-02-03,J,3650,54.584,378252,D,,,,,,
1037868,2016-02-04,AME,Marecic Thomas C,,0001127602-16-039449,2016-02-03,J,347,54.584,6865,D,,,,,,
1037868,2016-02-04,AME,Jones Timothy N,,0001127602-16-039446,2016-02-03,J,527,54.584,26917,D,,,,,,
1037868,2016-02-04,AME,ZAPICO DAVID A,,0001127602-16-039442,2016-02-03,J,1358,54.584,45602,D,,,,,,
1037868,2016-02-04,AME,MANDOS ROBERT R,,0001127602-16-039441,2016-02-03,J,811,54.584,22792,D,,,,,,
1037868,2016-02-04,AME,EGINTON WILLIAM D,,0001127602-16-039435,2016-02-03,J,558,54.584,20184,D,,,,,,
1037868,2016-02-04,AME,Burke William Joseph,,0001127602-16-039432,2016-02-03,J,445,54.584,8933,D,,,,,,
1037868,2016-02-10,AME,KLEIN CHARLES D,,0001127602-16-040402,2016-02-10,M,8820,14.5378,153231,D,,,,,,
1037868,2016-02-10,AME,KLEIN CHARLES D,,0001127602-16-040402,2016-02-10,S,16402,45.8984,144411,D,,,,,,
1037868,2016-02-18,AME,HERMANCE FRANK S,,0001127602-16-042145,2016-02-17,M,38462,14.5378,2138958,D,,,,,,
1037868,2016-02-18,AME,HERMANCE FRANK S,,0001127602-16-042145,2016-02-17,S,24000,46.0098,2114958,D,,,,,,
1037868,2016-02-23,AME,Kohlhagen Steven W,,0001127602-16-042922,2016-02-22,S,1000,46.407,63548,D,,,,,,
1037868,2016-02-25,AME,Kohlhagen Steven W,,0001127602-16-043317,2016-02-24,S,1000,45.07,62548,D,,,,,,
1037868,2016-02-29,AME,Kohlhagen Steven W,,0001127602-16-043853,2016-02-26,S,1000,46.435,61548,D,,,,,,
1037868,2016-03-02,AME,Kohlhagen Steven W,,0001127602-16-044509,2016-03-01,S,1000,46.771,60548,D,,,,,,
1037868,2016-03-03,AME,Kohlhagen Steven W,,0001127602-16-044802,2016-03-02,S,1000,47.66,59548,D,,,,,,
1037868,2016-03-07,AME,Kohlhagen Steven W,,0001127602-16-045237,2016-03-04,S,1000,48.36,58548,D,,,,,,
1037868,2016-03-08,AME,Kohlhagen Steven W,,0001127602-16-045487,2016-03-07,S,1000,48.15,57548,D,,,,,,
1037868,2016-03-10,AME,Kohlhagen Steven W,,0001127602-16-045921,2016-03-09,S,1000,47.817,56548,D,,,,,,
1037868,2016-03-14,AME,Kohlhagen Steven W,,0001127602-16-046233,2016-03-11,S,1500,47.77,55048,D,,,,,,
1037868,2016-03-15,AME,Hardin John Wesley,,0001127602-16-046339,2016-03-15,J,291,0.0,46701,D,,,,,,
1037868,2016-03-15,AME,WILLIAMS DENNIS K,,0001127602-16-046327,2016-03-14,M,8820,14.5378,29057,D,,,,,,
1037868,2016-03-15,AME,WILLIAMS DENNIS K,,0001127602-16-046327,2016-03-14,S,8820,48.4638,20237,D,,,,,,
1037868,2016-03-23,AME,McClain Gretchen W,,0001127602-16-047237,2016-03-23,J,196,46.05,786,D,,,,,,
1037868,2016-04-06,AME,KLEIN CHARLES D,,0001127602-16-048935,2016-04-05,G,20000,0.0,124411,D,,,,,,
