cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
318154,2017-06-02,AMGN,BALTIMORE DAVID,,0001127602-17-020401,2017-05-31,S,3700.0,153.93,31159.0,D,,,,,,
318154,2017-08-01,AMGN,Meline David W,,0001127602-17-024641,2017-08-01,F,7562.0,174.51,47920.0,D,,,,,,
318154,2017-08-02,AMGN,Santos Esteban,,0001127602-17-024815,2017-08-02,F,639.0,174.13,31478.0,D,,,,,,
318154,2017-08-04,AMGN,Graham Jonathan P,,0001127602-17-025060,2017-08-04,F,6747.0,174.18,44165.0,D,,,,,,
318154,2017-10-10,AMGN,Harper Sean E,,0001127602-17-029692,2017-10-09,S,1525.0,185.95,59156.0,D,,,,,,
318154,2017-11-08,AMGN,de Carbonnel Francois,,0001127602-17-031636,2017-11-08,S,4000.0,173.6055,15528.0,D,,,,,,
318154,2017-11-14,AMGN,Harper Sean E,,0001127602-17-032117,2017-11-13,S,1525.0,171.58,57631.0,D,,,,,,
318154,2017-12-12,AMGN,Harper Sean E,,0001127602-17-034510,2017-12-12,S,1525.0,176.83,56106.0,D,,,,,,
318154,2018-01-17,AMGN,Harper Sean E,,0001127602-18-001997,2018-01-16,S,1525.0,185.62,54673.0,D,,,,,,
318154,2018-01-30,AMGN,Piacquad David,,0001127602-18-003054,2018-01-30,F,153.0,198.0,33443.0,D,,,,,,
318154,2018-01-30,AMGN,Meline David W,,0001127602-18-003051,2018-01-30,F,496.0,198.0,47795.0,D,,,,,,
318154,2018-02-01,AMGN,Santos Esteban,,0001127602-18-003456,2018-01-31,F,141.0,191.27,31453.0,D,,,,,,
318154,2018-02-01,AMGN,Patton Cynthia M,,0001127602-18-003455,2018-01-30,F,109.0,198.0,21245.0,D,,,,,,
318154,2018-02-01,AMGN,HOOPER ANTHONY C,,0001127602-18-003452,2018-01-30,F,575.0,198.0,203134.0,D,,,,,,
318154,2018-02-01,AMGN,Patton Cynthia M,,0001127602-18-003455,2018-01-31,F,132.0,191.27,21113.0,D,,,,,,
318154,2018-02-01,AMGN,Santos Esteban,,0001127602-18-003456,2018-01-30,F,133.0,198.0,31594.0,D,,,,,,
