cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
820027,2019-05-22,AMP,Sharpe Robert Francis JR,,0001179110-19-006488,2019-05-20,G,500.0,0.0,9680.0,D,,,,,,
820027,2019-06-11,AMP,Kupper Randy,,0001179110-19-007471,2019-06-07,S,5160.0,150.3753,23656.0,D,,,,,,
820027,2019-07-09,AMP,Woerner John Robert,,0001179110-19-008557,2019-07-05,M,718.1454,,33984.1454,D,,,,,,
820027,2019-07-09,AMP,Woerner John Robert,,0001179110-19-008557,2019-07-05,F,311.1454,150.12,33673.0,D,,,,,,
820027,2019-07-09,AMP,TRUSCOTT WILLIAM F,,0001179110-19-008556,2019-07-05,M,1494.7381,,17105.7381,D,,,,,,
820027,2019-07-09,AMP,TRUSCOTT WILLIAM F,,0001179110-19-008556,2019-07-05,F,639.7381,150.12,15611.0,D,,,,,,
820027,2019-09-25,AMP,Sharpe Robert Francis JR,,0001179110-19-010620,2019-09-23,G,500.0,0.0,9180.0,D,,,,,,
820027,2019-10-31,AMP,Woerner John Robert,,0001179110-19-011333,2019-10-29,S,6477.0,154.1346,27196.0,D,,,,,,
820027,2019-11-05,AMP,Sharpe Robert Francis JR,,0001179110-19-011432,2019-10-31,G,500.0,0.0,8680.0,D,,,,,,
820027,2019-11-06,AMP,TRUSCOTT WILLIAM F,,0001179110-19-011494,2019-11-05,G,6370.0,0.0,45863.0,I,,,,,,
820027,2019-11-12,AMP,THISSEN KAREN WILSON,,0001179110-19-011632,2019-11-08,M,3884.0,107.61,14599.0,D,,,,,,
820027,2019-11-12,AMP,THISSEN KAREN WILSON,,0001179110-19-011632,2019-11-08,F,6968.0,157.74,11930.0,D,,,,,,
820027,2019-11-12,AMP,THISSEN KAREN WILSON,,0001179110-19-011632,2019-11-08,S,303.0,158.67,11627.0,D,,,,,,
820027,2019-11-26,AMP,Sharpe Robert Francis JR,,0001179110-19-012071,2019-11-25,G,500.0,0.0,8180.0,D,,,,,,
820027,2019-12-20,AMP,Sweeney Joseph Edward,,0001179110-19-013072,2019-12-18,S,8100.0,167.497,19669.0,D,,,,,,
820027,2020-01-28,AMP,TRUSCOTT WILLIAM F,,0001179110-20-000839,2020-01-26,F,559.0,167.57,13602.0,D,,,,,,
820027,2020-01-28,AMP,Hutt John R.,,0001179110-20-000844,2020-01-26,F,40.0,167.57,1401.0,D,,,,,,
820027,2020-01-28,AMP,Woerner John Robert,,0001179110-20-000841,2020-01-26,F,375.0,167.57,26821.0,D,,,,,,
820027,2020-01-28,AMP,THISSEN KAREN WILSON,,0001179110-20-000840,2020-01-26,F,180.0,167.57,11447.0,D,,,,,,
820027,2020-01-28,AMP,Berman Walter Stanley,,0001179110-20-000836,2020-01-26,F,829.0,167.57,42567.0,D,,,,,,
820027,2020-01-28,AMP,Sweeney Joseph Edward,,0001179110-20-000838,2020-01-26,F,350.0,167.57,19319.0,D,,,,,,
820027,2020-01-28,AMP,Kupper Randy,,0001179110-20-000837,2020-01-26,F,237.0,167.57,23419.0,D,,,,,,
820027,2020-01-28,AMP,CRACCHIOLO JAMES M,,0001179110-20-000835,2020-01-26,F,2901.0,167.57,290674.0,D,,,,,,
820027,2020-01-28,AMP,MOORE COLIN,,0001179110-20-000843,2020-01-26,F,491.0,167.57,55956.0,D,,,,,,
820027,2020-02-04,AMP,Woerner John Robert,,0001179110-20-001013,2020-01-31,A,3445.0,0.0,30266.0,D,,,,,,
820027,2020-02-04,AMP,CRACCHIOLO JAMES M,,0001179110-20-001014,2020-01-31,A,20512.0,0.0,311186.0,D,,,,,,
820027,2020-02-04,AMP,Woerner John Robert,,0001179110-20-001013,2020-01-31,F,17937.0,170.51,34419.0,D,,,,,,
820027,2020-02-04,AMP,Woerner John Robert,,0001179110-20-001013,2020-01-31,M,25535.0,87.79,52356.0,D,,,,,,
820027,2020-02-04,AMP,CRACCHIOLO JAMES M,,0001179110-20-001014,2020-02-01,F,5722.0,165.41,305464.0,D,,,,,,
820027,2020-02-04,AMP,TRUSCOTT WILLIAM F,,0001179110-20-001016,2020-02-01,F,912.0,165.41,16976.0,D,,,,,,
820027,2020-02-04,AMP,Berman Walter Stanley,,0001179110-20-001015,2020-02-01,F,1358.0,165.41,49195.0,D,,,,,,
820027,2020-02-04,AMP,Berman Walter Stanley,,0001179110-20-001015,2020-01-31,A,7986.0,0.0,50553.0,D,,,,,,
820027,2020-02-04,AMP,Woerner John Robert,,0001179110-20-001013,2020-01-31,S,7598.0,166.152,26821.0,D,,,,,,
