cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1053507,2016-07-12,AMT,Marshall Steven C.,,0001338678-16-000077,2016-07-08,M,50000,44.92,139689,D,,,,,,
1053507,2016-07-12,AMT,Marshall Steven C.,,0001338678-16-000077,2016-07-08,S,50000,112.81,89689,D,,,,,,
1053507,2016-07-12,AMT,Marshall Steven C.,,0001338678-16-000077,2016-07-11,M,50000,44.92,139689,D,,,,,,
1053507,2016-07-12,AMT,Marshall Steven C.,,0001338678-16-000077,2016-07-11,S,25000,113.68,114689,D,,,,,,
1053507,2016-07-13,AMT,Marshall Steven C.,,0001338678-16-000078,2016-07-12,M,50000,44.92,139689,D,,,,,,
1053507,2016-07-13,AMT,Marshall Steven C.,,0001338678-16-000078,2016-07-12,S,25000,115.0,114689,D,,,,,,
1053507,2016-07-15,AMT,DiSanto Edmund,,0001338678-16-000079,2016-07-14,M,11087,28.39,140749,D,,,,,,
1053507,2016-07-15,AMT,DiSanto Edmund,,0001338678-16-000079,2016-07-14,S,11087,116.71,129662,D,,,,,,
1053507,2016-07-19,AMT,TAICLET JAMES D JR,,0001338678-16-000080,2016-07-18,M,40625,37.7,271697,D,,,,,,
1053507,2016-07-19,AMT,TAICLET JAMES D JR,,0001338678-16-000080,2016-07-18,S,38925,116.66,232772,D,,,,,,
1053507,2016-08-09,AMT,KATZ CAROLYN,,0001338678-16-000081,2016-08-08,S,10000,116.25,16584,D,,,,,,
1053507,2016-08-17,AMT,TAICLET JAMES D JR,,0001338678-16-000082,2016-08-15,M,40625,37.7,271697,D,,,,,,
1053507,2016-08-17,AMT,TAICLET JAMES D JR,,0001338678-16-000082,2016-08-15,S,40625,116.65,231072,D,,,,,,
1053507,2016-08-19,AMT,REEVE PAMELA D A,,0001338678-16-000083,2016-08-17,M,10000,37.52,21437,D,,,,,,
1053507,2016-08-19,AMT,REEVE PAMELA D A,,0001338678-16-000083,2016-08-17,S,10000,113.38,11437,D,,,,,,
1053507,2016-09-08,AMT,THOMPSON SAMME L,,0001338678-16-000085,2016-09-06,S,1430,116.0,18265,D,,,,,,
1053507,2016-09-08,AMT,KATZ CAROLYN,,0001338678-16-000084,2016-09-06,S,2100,115.92,14484,D,,,,,,
1053507,2016-09-20,AMT,TAICLET JAMES D JR,,0001338678-16-000086,2016-08-22,G,4555,0.0,226517,D,,,,,,
1053507,2016-09-20,AMT,TAICLET JAMES D JR,,0001338678-16-000086,2016-09-19,M,40625,37.7,267142,D,,,,,,
1053507,2016-09-20,AMT,TAICLET JAMES D JR,,0001338678-16-000086,2016-09-19,S,40625,108.8,226517,D,,,,,,
1053507,2016-10-18,AMT,TAICLET JAMES D JR,,0001338678-16-000087,2016-10-17,M,40625,37.7,267142,D,,,,,,
1053507,2016-10-18,AMT,TAICLET JAMES D JR,,0001338678-16-000087,2016-10-17,S,40625,113.45,226517,D,,,,,,
1053507,2016-10-26,AMT,THOMPSON SAMME L,,0001338678-16-000088,2016-10-24,S,2202,116.13,16063,D,,,,,,
1053507,2016-11-22,AMT,MACNAB CRAIG,,0001338678-16-000089,2016-11-18,M,2000,94.57,4853,D,,,,,,
1053507,2016-12-07,AMT,TAICLET JAMES D JR,,0001338678-16-000090,2016-12-05,M,40000,28.39,266517,D,,,,,,
1053507,2016-12-07,AMT,TAICLET JAMES D JR,,0001338678-16-000090,2016-12-05,S,38753,101.8,227764,D,,,,,,
1053507,2016-12-14,AMT,Sharma Amit,,0001338678-16-000091,2016-12-12,M,88904,44.92,192559,D,,,,,,
1053507,2016-12-14,AMT,Sharma Amit,,0001338678-16-000091,2016-12-12,S,88904,104.0,103655,D,,,,,,
