cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1018724,2019-07-31,AMZN,BEZOS JEFFREY P,,0001018724-19-000079,2019-07-31,S,35887,1889.4509,58315559,D,,,,,,
1018724,2019-07-31,AMZN,BEZOS JEFFREY P,,0001018724-19-000077,2019-07-29,S,15520,1929.8553,58790429,D,,,,,,
1018724,2019-07-31,AMZN,BEZOS JEFFREY P,,0001018724-19-000077,2019-07-30,S,5255,1884.8728,58782656,D,,,,,,
1018724,2019-07-31,AMZN,BEZOS JEFFREY P,,0001018724-19-000077,2019-07-31,S,8861,1884.3943,58456334,D,,,,,,
1018724,2019-07-31,AMZN,BEZOS JEFFREY P,,0001018724-19-000075,2019-07-29,S,2536,1891.2168,59108091,D,,,,,,
1018724,2019-08-05,AMZN,BEZOS JEFFREY P,,0001018724-19-000085,2019-08-02,S,13451,1814.8729,57768262,D,,,,,,
1018724,2019-08-05,AMZN,BEZOS JEFFREY P,,0001018724-19-000083,2019-08-01,S,15000,1871.2,58127479,D,,,,,,
1018724,2019-08-05,AMZN,BEZOS JEFFREY P,,0001018724-19-000083,2019-08-01,G,268,0.0,57819495,D,,,,,,
1018724,2019-08-05,AMZN,BEZOS JEFFREY P,,0001018724-19-000083,2019-08-02,S,8460,1810.8576,57811035,D,,,,,,
1018724,2019-08-19,AMZN,Olsavsky Brian T,,0001127602-19-027018,2019-08-15,S,1765,1783.0,1000,D,,,,,,
1018724,2019-08-19,AMZN,WILKE JEFFREY A,,0000899243-19-022080,2019-08-15,M,2708,0.0,18005,I,,,,,,
1018724,2019-08-19,AMZN,WILKE JEFFREY A,,0000899243-19-022080,2019-08-15,S,200,1780.1276,23169,I,,,,,,
1018724,2019-08-19,AMZN,Jassy Andrew R,,0001127602-19-027022,2019-08-15,M,1139,0.0,93753,D,,,,,,
1018724,2019-08-19,AMZN,Jassy Andrew R,,0001127602-19-027022,2019-08-15,S,200,1768.355,100487,D,,,,,,
1018724,2019-08-19,AMZN,Olsavsky Brian T,,0001127602-19-027018,2019-08-15,M,1480,0.0,2480,D,,,,,,
1018724,2019-08-19,AMZN,Zapolsky David,,0001127602-19-027014,2019-08-15,S,100,1767.303,4362,D,,,,,,
1018724,2019-08-19,AMZN,Reynolds Shelley,,0001127602-19-027009,2019-08-15,M,318,0.0,6307,D,,,,,,
1018724,2019-08-19,AMZN,Reynolds Shelley,,0001127602-19-027009,2019-08-15,S,30,1768.9567,6338,D,,,,,,
