cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1596532,2021-05-24,ANET,Ullal Jayshree,,0001596532-21-000189,2021-05-20,M,2063,0.0,2589,D,,,,,,
1596532,2021-05-24,ANET,McCool John F,,0001596532-21-000186,2021-05-21,S,1511,332.81,265,I,,,,,,
1596532,2021-05-24,ANET,Sadana Anshul,,0001596532-21-000187,2021-05-20,F,2569,335.93,4266,D,,,,,,
1596532,2021-05-24,ANET,McCool John F,,0001596532-21-000186,2021-05-20,S,84,324.48,1776,I,,,,,,
1596532,2021-05-24,ANET,Duda Kenneth,,0001596532-21-000185,2021-05-20,F,1387,335.93,2216,D,,,,,,
1596532,2021-05-24,ANET,McCool John F,,0001596532-21-000186,2021-05-20,M,2250,0.0,2332,I,,,,,,
1596532,2021-05-24,ANET,Ullal Jayshree,,0001596532-21-000189,2021-05-20,F,1773,335.93,2328,D,,,,,,
1596532,2021-05-24,ANET,Sadana Anshul,,0001596532-21-000187,2021-05-20,M,750,0.0,2408,D,,,,,,
1596532,2021-05-24,ANET,Taxay Marc,,0001596532-21-000188,2021-05-20,F,1073,335.93,1085,D,,,,,,
1596532,2021-05-24,ANET,McCool John F,,0001596532-21-000186,2021-05-20,F,1671,335.93,1860,I,,,,,,
1596532,2021-05-24,ANET,Ullal Jayshree,,0001596532-21-000189,2021-05-21,S,180,331.4,2148,D,,,,,,
1596532,2021-05-24,ANET,Duda Kenneth,,0001596532-21-000185,2021-05-20,M,1000,0.0,1811,D,,,,,,
1596532,2021-05-24,ANET,Taxay Marc,,0001596532-21-000188,2021-05-20,M,600,0.0,600,D,,,,,,
1596532,2021-05-24,ANET,Brennan Ita M,,0001596532-21-000184,2021-05-20,M,600,0.0,4711,D,,,,,,
1596532,2021-05-24,ANET,Battles Kelly Bodnar,,0001596532-21-000170,2021-05-20,M,255,0.0,619,D,,,,,,
1596532,2021-05-24,ANET,BECHTOLSHEIM ANDREAS,,0001596532-21-000183,2021-05-20,F,1596,335.93,18645,D,,,,,,
1596532,2021-05-24,ANET,Giancarlo Charles H,,0001596532-21-000171,2021-05-20,M,219,0.0,11755,D,,,,,,
1596532,2021-05-24,ANET,BECHTOLSHEIM ANDREAS,,0001596532-21-000183,2021-05-20,M,2063,0.0,18991,D,,,,,,
1596532,2021-05-24,ANET,MATHER ANN,,0001596532-21-000172,2021-05-20,M,219,0.0,805,D,,,,,,
1596532,2021-05-24,ANET,Battles Kelly Bodnar,,0001596532-21-000170,2021-05-20,S,28,323.08,591,D,,,,,,
1596532,2021-05-24,ANET,TEMPLETON MARK B,,0001596532-21-000174,2021-05-20,M,261,0.0,6286,D,,,,,,
1596532,2021-05-24,ANET,Theodosopoulos Nikos,,0001596532-21-000175,2021-05-20,M,261,0.0,5296,D,,,,,,
1596532,2021-05-24,ANET,MATHER ANN,,0001596532-21-000172,2021-05-20,S,219,324.48,586,D,,,,,,
1596532,2021-05-24,ANET,Scheinman Daniel,,0001596532-21-000173,2021-05-20,M,219,0.0,8922,D,,,,,,
1596532,2021-05-24,ANET,Brennan Ita M,,0001596532-21-000184,2021-05-20,F,1019,335.93,5523,D,,,,,,
1596532,2021-05-27,ANET,Sadana Anshul,,0001596532-21-000191,2021-05-26,M,500,244.2,4766,D,,,,,,
1596532,2021-05-27,ANET,Sadana Anshul,,0001596532-21-000191,2021-05-26,S,831,336.8279,3935,D,,,,,,
1596532,2021-06-01,ANET,Sadana Anshul,,0001596532-21-000193,2021-05-27,M,500,244.2,2921,D,,,,,,
1596532,2021-06-01,ANET,Sadana Anshul,,0001596532-21-000193,2021-05-27,S,500,340.106,2421,D,,,,,,
1596532,2021-06-01,ANET,Sadana Anshul,,0001596532-21-000193,2021-05-28,M,999,244.2,3420,D,,,,,,
1596532,2021-06-01,ANET,Sadana Anshul,,0001596532-21-000193,2021-05-28,S,7857,340.2108,2421,D,,,,,,
1596532,2021-06-03,ANET,Ullal Jayshree,,0001596532-21-000209,2021-06-01,S,542,335.242,2491,D,,,,,,
1596532,2021-06-03,ANET,Taxay Marc,,0001596532-21-000206,2021-06-01,S,485,335.3489,1101,D,,,,,,
1596532,2021-06-03,ANET,Ullal Jayshree,,0001596532-21-000209,2021-06-01,M,333,22.49,991,D,,,,,,
1596532,2021-06-03,ANET,Taxay Marc,,0001596532-21-000206,2021-06-01,M,167,68.34,1252,D,,,,,,
1596532,2021-06-03,ANET,Brennan Ita M,,0001596532-21-000204,2021-06-01,M,2416,56.24,7939,D,,,,,,
1596532,2021-06-03,ANET,Brennan Ita M,,0001596532-21-000204,2021-06-01,S,1728,335.7956,6211,D,,,,,,
1596532,2021-06-03,ANET,MATHER ANN,,0001596532-21-000205,2021-06-01,S,417,338.63,586,D,,,,,,
1596532,2021-06-03,ANET,MATHER ANN,,0001596532-21-000205,2021-06-01,M,417,30.67,1003,D,,,,,,
1596532,2021-06-04,ANET,Duda Kenneth,,0001596532-21-000211,2021-06-02,G,14150,0.0,44050,I,,,,,,
1596532,2021-06-04,ANET,Duda Kenneth,,0001596532-21-000211,2021-06-02,J,21736,0.0,102089,I,,,,,,
1596532,2021-06-07,ANET,Sadana Anshul,,0001596532-21-000213,2021-06-03,M,400,22.49,2821,D,,,,,,
1596532,2021-06-07,ANET,Sadana Anshul,,0001596532-21-000213,2021-06-03,S,4234,340.143,2421,D,,,,,,
1596532,2021-06-08,ANET,Giancarlo Charles H,,0001596532-21-000217,2021-06-04,S,100,345.0,56564,I,,,,,,
1596532,2021-06-08,ANET,Duda Kenneth,,0001596532-21-000216,2021-06-04,S,3035,350.0579,99054,I,,,,,,
1596532,2021-06-09,ANET,Ullal Jayshree,,0001596532-21-000219,2021-06-07,M,1375,95.51,2033,D,,,,,,
1596532,2021-06-09,ANET,Ullal Jayshree,,0001596532-21-000219,2021-06-07,S,1050,350.2007,983,D,,,,,,
1596532,2021-06-14,ANET,Duda Kenneth,,0001596532-21-000221,2021-06-10,M,10000,7.76,12216,D,,,,,,
1596532,2021-06-14,ANET,Duda Kenneth,,0001596532-21-000221,2021-06-10,S,200,359.26,12016,D,,,,,,
1596532,2021-07-06,ANET,MATHER ANN,,0001596532-21-000226,2021-07-01,M,417,30.67,1003,D,,,,,,
1596532,2021-07-06,ANET,Ullal Jayshree,,0001596532-21-000229,2021-07-01,M,333,22.49,991,D,,,,,,
1596532,2021-07-06,ANET,Taxay Marc,,0001596532-21-000228,2021-07-01,S,501,363.39,0,D,,,,,,
1596532,2021-07-06,ANET,MATHER ANN,,0001596532-21-000226,2021-07-01,S,417,363.39,586,D,,,,,,
1596532,2021-07-06,ANET,Ullal Jayshree,,0001596532-21-000229,2021-07-01,S,100,361.65,2933,D,,,,,,
1596532,2021-07-06,ANET,Sadana Anshul,,0001596532-21-000227,2021-07-01,S,300,362.0717,6355,D,,,,,,
1596532,2021-07-06,ANET,Taxay Marc,,0001596532-21-000228,2021-07-01,M,167,68.34,167,D,,,,,,
1596532,2021-07-06,ANET,Sadana Anshul,,0001596532-21-000227,2021-07-01,M,400,22.49,2821,D,,,,,,
1596532,2021-07-08,ANET,Ullal Jayshree,,0001596532-21-000235,2021-07-06,M,1375,95.51,2033,D,,,,,,
1596532,2021-07-08,ANET,Ullal Jayshree,,0001596532-21-000235,2021-07-06,S,70,368.11,1963,D,,,,,,
1596532,2021-07-08,ANET,Giancarlo Charles H,,0001596532-21-000234,2021-07-06,S,400,369.1694,54599,I,,,,,,
1596532,2021-07-08,ANET,Duda Kenneth,,0001596532-21-000233,2021-07-06,S,51,375.0,99003,I,,,,,,
1596532,2021-07-08,ANET,Duda Kenneth,,0001596532-21-000233,2021-07-07,S,2985,375.4408,96018,I,,,,,,
1596532,2021-07-14,ANET,Duda Kenneth,,0001596532-21-000237,2021-07-12,M,10000,7.76,12216,D,,,,,,
1596532,2021-07-14,ANET,Duda Kenneth,,0001596532-21-000237,2021-07-12,S,3550,370.3543,8666,D,,,,,,
1596532,2021-08-04,ANET,Taxay Marc,,0001596532-21-000263,2021-08-02,S,498,381.0,0,D,,,,,,
