cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
315293,2016-02-11,AON,LIEB PETER M,,0001179110-16-019037,2016-02-10,S,7356.0,94.357,27541.26,D,,,,,,
315293,2016-02-11,AON,LIEB PETER M,,0001179110-16-019037,2016-02-10,G,277.0,0.0,27264.26,D,,,,,,
315293,2016-02-11,AON,McGill Stephen P,,0001179110-16-019036,2016-02-09,S,24199.0,92.89,214373.0,D,,,,,,
315293,2016-02-17,AON,McGill Stephen P,,0001179110-16-019492,2016-02-13,F,757.0,93.8,216383.0,D,,,,,,
315293,2016-02-17,AON,Meissner Laurel G.,,0001179110-16-019493,2016-02-14,M,814.0,,9790.0,D,,,,,,
315293,2016-02-17,AON,LIEB PETER M,,0001179110-16-019489,2016-02-14,M,1425.0,,29477.26,D,,,,,,
315293,2016-02-17,AON,McGill Stephen P,,0001179110-16-019492,2016-02-14,F,891.0,93.8,218749.0,D,,,,,,
315293,2016-02-17,AON,McGill Stephen P,,0001179110-16-019492,2016-02-14,M,3257.0,,219640.0,D,,,,,,
315293,2016-02-17,AON,Meissner Laurel G.,,0001179110-16-019493,2016-02-13,M,692.0,,9175.0,D,,,,,,
315293,2016-02-17,AON,McGill Stephen P,,0001179110-16-019492,2016-02-13,M,2767.0,,217140.0,D,,,,,,
315293,2016-02-17,AON,Meissner Laurel G.,,0001179110-16-019493,2016-02-14,F,235.0,93.8,9555.0,D,,,,,,
315293,2016-02-17,AON,LIEB PETER M,,0001179110-16-019489,2016-02-13,M,1107.0,,28371.26,D,,,,,,
315293,2016-02-17,AON,Savacool Kristi A,,0001179110-16-019490,2016-02-13,M,1176.0,,67936.0,D,,,,,,
315293,2016-02-17,AON,Savacool Kristi A,,0001179110-16-019490,2016-02-14,M,1679.0,,69276.0,D,,,,,,
315293,2016-02-17,AON,Meissner Laurel G.,,0001179110-16-019493,2016-02-13,F,199.0,93.8,8976.0,D,,,,,,
315293,2016-02-17,AON,Case Gregory C,,0001179110-16-019487,2016-02-15,M,6038.0,,383818.0,D,,,,,,
315293,2016-02-17,AON,LIEB PETER M,,0001179110-16-019489,2016-02-13,F,319.0,93.8,28052.26,D,,,,,,
