cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1841666,2021-03-12,APA,Ellis Juliet S,,0001357400-21-000048,2021-03-12,P,4545,22.05,8045.0,D,,,,,,
1841666,2021-03-16,APA,Pursell David A,,0001357400-21-000049,2021-03-14,M,4629,0.0,22536.0,D,,,,,,
1841666,2021-03-16,APA,Pursell David A,,0001357400-21-000049,2021-03-14,F,1822,21.23,20714.0,D,,,,,,
1841666,2021-03-16,APA,Pursell David A,,0001357400-21-000049,2021-03-14,D,3086,21.23,20714.0,D,,,,,,
1841666,2021-03-22,APA,Riney Stephen J,,0001357400-21-000051,2021-03-18,S,35000,19.384,106268.0,D,,,,,,
1841666,2021-03-22,APA,Riney Stephen J,,0001357400-21-000051,2021-03-18,I,45000,19.4264,88444.755,I,,,,,,
1841666,2021-03-22,APA,CHRISTMANN JOHN J,,0001357400-21-000050,2021-03-18,I,5000,19.74,135496.859,I,,,,,,
1841666,2021-07-19,APA,Hoyt Rebecca A,,0001357400-21-000088,2021-07-15,M,466,0.0,68526.0,D,,,,,,
1841666,2021-08-12,APA,Joung Chansoo,,0001357400-21-000090,2021-08-10,S,20000,19.0589,25285.0,D,,,,,,
1841666,2022-01-04,APA,LANNIE P ANTHONY,,0001357400-22-000015,2022-01-01,M,3355,0.0,173180.0,D,,,,,,
1841666,2022-01-04,APA,LANNIE P ANTHONY,,0001357400-22-000015,2022-01-01,D,3355,26.89,169825.0,D,,,,,,
1841666,2022-01-04,APA,Pursell David A,,0001357400-22-000014,2022-01-01,M,32711,0.0,53425.0,D,,,,,,
1841666,2022-01-04,APA,Pursell David A,,0001357400-22-000014,2022-01-01,F,12872,26.89,40553.0,D,,,,,,
1841666,2022-01-04,APA,Pursell David A,,0001357400-22-000014,2022-01-01,D,3327,26.89,40553.0,D,,,,,,
1841666,2022-01-04,APA,Hoyt Rebecca A,,0001357400-22-000013,2022-01-01,M,1948,0.0,70474.0,D,,,,,,
1841666,2022-01-04,APA,Hoyt Rebecca A,,0001357400-22-000013,2022-01-01,D,1948,26.89,68526.0,D,,,,,,
