cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
2969,2016-02-01,APD,Ghasemi Seifi,,0001225208-16-025233,2016-02-01,P,30405.0,126.0027,295270.0,D,,,,,,
2969,2016-05-25,APD,Stanley John D.,,0001225208-16-033967,2016-05-24,S,978.0,143.39,20382.0,D,,,,,,
2969,2016-08-02,APD,NOVO GUILLERMO,,0001225208-16-037291,2016-07-29,M,11755.0,81.57,23590.0,D,,,,,,
2969,2016-08-02,APD,NOVO GUILLERMO,,0001225208-16-037291,2016-07-29,F,1476.0,149.51,36342.0,D,,,,,,
2969,2016-08-02,APD,NOVO GUILLERMO,,0001225208-16-037291,2016-07-29,S,7997.0,149.58,15252.0,D,,,,,,
2969,2016-08-05,APD,NOVO GUILLERMO,,0001225208-16-037532,2016-08-04,S,2447.0,148.94,12805.0,D,,,,,,
2969,2016-08-08,APD,Stanley John D.,,0001225208-16-037579,2016-08-05,M,6270.0,83.6,25152.0,D,,,,,,
2969,2016-08-08,APD,Stanley John D.,,0001225208-16-037579,2016-08-05,S,8720.0,150.0,18882.0,D,,,,,,
2969,2016-08-15,APD,Stanley John D.,,0001225208-16-037865,2016-08-12,M,9597.0,83.6,28479.0,D,,,,,,
2969,2016-08-15,APD,Stanley John D.,,0001225208-16-037865,2016-08-12,S,9597.0,150.0,18882.0,D,,,,,,
2969,2016-08-16,APD,Flugel Russell A,,0001225208-16-037896,2016-08-15,S,200.0,151.51,3131.0,D,,,,,,
2969,2016-08-26,APD,Stanley John D.,,0001225208-16-038398,2016-08-25,M,17247.0,86.39,36129.0,D,,,,,,
2969,2016-08-26,APD,Stanley John D.,,0001225208-16-038398,2016-08-25,S,17247.0,155.39,18882.0,D,,,,,,
2969,2016-09-13,APD,NOVO GUILLERMO,,0001225208-16-039261,2016-09-12,F,872.0,150.97,11933.0,D,,,,,,
2969,2016-10-03,VSM,AIR PRODUCTS & CHEMICALS INC /DE/,,0001209191-16-143783,2016-10-01,J,1000.0,0.0,0.0,D,,,,,,
2969,2016-10-17,APD,Flugel Russell A,,0001225208-16-040501,2016-10-14,M,2142.0,62.78,3517.0,D,,,,,,
2969,2016-10-17,APD,Flugel Russell A,,0001225208-16-040501,2016-10-14,F,1373.0,132.65,2144.0,D,,,,,,
2969,2016-10-17,APD,Crocco Michael S,,0001225208-16-040500,2016-10-14,M,4712.0,62.78,30973.0,D,,,,,,
2969,2016-10-17,APD,Crocco Michael S,,0001225208-16-040500,2016-10-14,F,3012.0,132.65,27961.0,D,,,,,,
2969,2016-11-10,APD,PAULL MATTHEW H,,0001225208-16-041438,2016-11-10,J,412.0,0.0,4057.0,D,,,,,,
2969,2016-12-05,APD,Painter Corning F.,,0001225208-16-042653,2016-12-01,A,3697.0,0.0,29684.55,D,,,,,,
2969,2016-12-05,APD,Painter Corning F.,,0001225208-16-042653,2016-12-05,J,12.78,0.0,29697.33,D,,,,,,
2969,2016-12-05,APD,Grant Jennifer,,0001225208-16-042652,2016-12-01,A,1848.0,0.0,6495.0,D,,,,,,
2969,2016-12-05,APD,Grant Jennifer,,0001225208-16-042652,2016-12-05,J,8.89,0.0,306.89,I,,,,,,
2969,2016-12-05,APD,Ghasemi Seifi,,0001225208-16-042651,2016-12-01,A,24178.0,0.0,339043.0,D,,,,,,
2969,2016-12-05,APD,Ghasemi Seifi,,0001225208-16-042651,2016-12-05,J,41.91,0.0,95.32,I,,,,,,
2969,2016-12-05,APD,Flugel Russell A,,0001225208-16-042650,2016-12-01,A,640.0,0.0,2784.0,D,,,,,,
2969,2016-12-05,APD,Flugel Russell A,,0001225208-16-042650,2016-12-05,J,42.65,0.0,685.34,I,,,,,,
2969,2016-12-05,APD,Crocco Michael S,,0001225208-16-042649,2016-12-01,A,4266.0,0.0,32227.0,D,,,,,,
2969,2016-12-05,APD,Crocco Michael S,,0001225208-16-042649,2016-12-01,J,76.88,0.0,3333.3,I,,,,,,
2969,2016-12-06,APD,Painter Corning F.,,0001225208-16-042774,2016-12-05,A,3168.0,0.0,32852.55,D,,,,,,
2969,2016-12-06,APD,Painter Corning F.,,0001225208-16-042774,2016-12-05,F,848.0,147.33,32017.33,D,,,,,,
2969,2016-12-06,APD,Grant Jennifer,,0001225208-16-042773,2016-12-05,A,1505.0,0.0,8000.0,D,,,,,,
2969,2016-12-06,APD,Grant Jennifer,,0001225208-16-042773,2016-12-05,F,478.0,144.26,7522.0,D,,,,,,
2969,2016-12-06,APD,Flugel Russell A,,0001225208-16-042772,2016-12-05,F,102.0,146.81,2682.0,D,,,,,,
2969,2016-12-06,APD,Crocco Michael S,,0001225208-16-042771,2016-12-05,A,3168.0,0.0,35395.0,D,,,,,,
2969,2016-12-06,APD,Crocco Michael S,,0001225208-16-042771,2016-12-05,F,707.0,147.33,34688.0,D,,,,,,
2969,2017-02-03,APD,Grant Jennifer,,0001225208-17-002317,2017-02-01,F,195.0,139.12,7327.0,D,,,,,,
2969,2017-09-28,APD,Painter Corning F.,,0001225208-17-015358,2017-09-27,F,1518.0,150.76,29501.33,D,,,,,,
2969,2017-10-02,APD,Flugel Russell A,,0001225208-17-015505,2017-09-29,M,2356.0,92.3,5038.0,D,,,,,,
2969,2017-10-02,APD,Painter Corning F.,,0001225208-17-015507,2017-09-29,F,5247.0,151.22,31108.33,D,,,,,,
2969,2017-10-02,APD,Painter Corning F.,,0001225208-17-015507,2017-09-29,M,6854.0,92.3,36355.33,D,,,,,,
2969,2017-10-02,APD,Flugel Russell A,,0001225208-17-015505,2017-09-29,F,1731.0,151.22,3307.0,D,,,,,,
2969,2017-10-02,APD,Crocco Michael S,,0001225208-17-015497,2017-09-29,F,4004.0,151.22,35148.0,D,,,,,,
2969,2017-10-02,APD,Crocco Michael S,,0001225208-17-015497,2017-09-29,M,5462.0,92.3,39152.0,D,,,,,,
2969,2017-12-04,APD,Grant Jennifer,,0001225208-17-018063,2017-12-01,A,1605.0,0.0,8932.0,D,,,,,,
2969,2017-12-04,APD,Grant Jennifer,,0001225208-17-018063,2017-12-04,A,2434.0,0.0,11366.0,D,,,,,,
2969,2017-12-04,APD,Grant Jennifer,,0001225208-17-018063,2017-12-04,F,1128.0,162.21,10238.0,D,,,,,,
2969,2017-12-04,APD,Flugel Russell A,,0001225208-17-018060,2017-12-01,A,1547.0,161.64,4854.0,D,,,,,,
2969,2017-12-04,APD,Flugel Russell A,,0001225208-17-018060,2017-12-04,A,540.0,0.0,5950.0,D,,,,,,
2969,2017-12-04,APD,Flugel Russell A,,0001225208-17-018060,2017-12-04,F,172.0,162.21,5778.0,D,,,,,,
2969,2017-12-04,APD,Serhan Samir,,0001225208-17-018088,2017-12-01,A,2469.0,0.0,8515.0,D,,,,,,
2969,2017-12-04,APD,Major Sean D,,0001225208-17-018065,2017-12-01,A,2469.0,0.0,5989.0,D,,,,,,
2969,2017-12-04,APD,Crocco Michael S,,0001225208-17-018050,2017-12-04,F,2262.0,162.21,41990.0,D,,,,,,
2969,2017-12-04,APD,Crocco Michael S,,0001225208-17-018050,2017-12-04,A,4906.0,0.0,44252.0,D,,,,,,
2969,2017-12-04,APD,Ghasemi Seifi,,0001225208-17-018058,2017-12-04,A,28617.0,0.0,388652.0,D,,,,,,
2969,2017-12-04,APD,Ghasemi Seifi,,0001225208-17-018058,2017-12-01,A,20992.0,0.0,360035.0,D,,,,,,
2969,2017-12-04,APD,Painter Corning F.,,0001225208-17-018054,2017-12-01,A,3210.0,0.0,34318.33,D,,,,,,
2969,2017-12-04,APD,Painter Corning F.,,0001225208-17-018054,2017-12-04,A,5315.0,0.0,39633.33,D,,,,,,
2969,2017-12-04,APD,Painter Corning F.,,0001225208-17-018054,2017-12-04,F,2450.0,162.21,37183.33,D,,,,,,
2969,2017-12-04,APD,Crocco Michael S,,0001225208-17-018050,2017-12-01,A,4198.0,0.0,39346.0,D,,,,,,
2969,2017-12-06,APD,Painter Corning F.,,0001225208-17-018314,2017-12-06,F,1070.0,162.4,36113.33,D,,,,,,
2969,2017-12-06,APD,Crocco Michael S,,0001225208-17-018306,2017-12-04,F,1070.0,162.4,43182.0,D,,,,,,
2969,2017-12-06,APD,Grant Jennifer,,0001225208-17-018281,2017-12-04,F,548.0,163.16,10818.0,D,,,,,,
2969,2018-10-02,APD,Flugel Russell A,,0001225208-18-014054,2018-10-01,F,3640.0,169.43,8701.0,D,,,,,,
2969,2018-10-02,APD,Flugel Russell A,,0001225208-18-014054,2018-10-01,M,6563.0,62.47,12341.0,D,,,,,,
2969,2018-10-02,APD,Flugel Russell A,,0001225208-18-014054,2018-10-02,J,110.177,0.0,795.517,I,,,,,,
2969,2018-10-02,APD,Crocco Michael S,,0001225208-18-014030,2018-10-01,M,7954.0,62.47,48874.0,D,,,,,,
2969,2018-10-02,APD,Crocco Michael S,,0001225208-18-014030,2018-10-02,J,209.493,0.0,3542.793,I,,,,,,
2969,2018-10-02,APD,Crocco Michael S,,0001225208-18-014030,2018-10-01,F,4363.0,169.43,44511.0,D,,,,,,
2969,2018-10-09,APD,Flugel Russell A,,0001225208-18-014490,2017-12-05,F,100.0,163.16,5678.0,D,,,,,,
2969,2018-11-13,APD,Ghasemi Seifi,,0001225208-18-015397,2018-11-12,P,20000.0,160.11,408652.0,D,,,,,,
2969,2018-11-13,APD,Ghasemi Seifi,,0001225208-18-015397,2018-11-12,J,106.016,0.0,201.336,I,,,,,,
2969,2018-11-14,APD,Cogut Charles I,,0001225208-18-015503,2018-11-13,P,100.0,159.7237,1100.0,D,,,,,,
2969,2018-12-04,APD,Ghasemi Seifi,,0001225208-18-016127,2018-12-03,A,25131.0,0.0,433783.0,D,,,,,,
2969,2018-12-04,APD,Crocco Michael S,,0001225208-18-016124,2018-12-03,A,4272.0,0.0,48783.0,D,,,,,,
2969,2018-12-04,APD,Crocco Michael S,,0001225208-18-016124,2018-12-03,F,906.0,166.62,47877.0,D,,,,,,
2969,2018-12-04,APD,Flugel Russell A,,0001225208-18-016121,2018-12-03,A,829.0,0.0,9430.0,D,,,,,,
2969,2018-12-04,APD,Flugel Russell A,,0001225208-18-016121,2018-12-03,F,73.0,164.88,9357.0,D,,,,,,
2969,2018-12-04,APD,Serhan Samir,,0001225208-18-016119,2018-12-03,A,9424.0,0.0,17939.0,D,,,,,,
2969,2018-12-04,APD,Serhan Samir,,0001225208-18-016119,2018-12-04,J,103.18,0.0,109.0,I,,,,,,
2969,2018-12-04,APD,Major Sean D,,0001225208-18-016117,2018-12-03,A,2513.0,0.0,8502.0,D,,,,,,
2969,2018-12-04,APD,Major Sean D,,0001225208-18-016117,2018-12-04,J,73.0,0.0,73.0,I,,,,,,
2969,2019-05-02,APD,Major Sean D,,0001225208-19-007532,2019-05-01,F,1270.0,204.55,7232.0,D,,,,,,
2969,2019-05-22,APD,Flugel Russell A,,0001225208-19-008350,2019-05-21,S,2970.0,207.0133,6387.0,D,,,,,,
2969,2019-07-26,APD,Ghasemi Seifi,,0001225208-19-010527,2019-07-26,P,20000.0,227.16,453783.0,D,,,,,,
2969,2019-12-03,APD,Flugel Russell A,,0001225208-19-015186,2019-11-29,M,3647.0,78.06,10034.0,D,,,,,,
2969,2019-12-03,APD,Flugel Russell A,,0001225208-19-015186,2019-11-29,F,2145.0,236.33,7889.0,D,,,,,,
2969,2019-12-03,APD,Flugel Russell A,,0001225208-19-015186,2019-12-02,A,1651.0,0.0,9540.0,D,,,,,,
2969,2019-12-03,APD,Ghasemi Seifi,,0001225208-19-015227,2019-12-02,A,62379.0,0.0,516162.0,D,,,,,,
2969,2019-12-03,APD,Ghasemi Seifi,,0001225208-19-015227,2019-12-02,J,86.0,0.0,287.336,I,,,,,,
