cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
820313,2016-03-08,APH,NORWITT RICHARD ADAM,,0001127602-16-045427,2016-03-04,M,200000,22.975,200992,D,,,,,,
820313,2016-03-08,APH,NORWITT RICHARD ADAM,,0001127602-16-045427,2016-03-04,S,200000,56.282,992,D,,,,,,
820313,2016-03-09,APH,Gillard Patrick,,0001127602-16-045625,2016-03-08,M,6400,39.0,6400,D,,,,,,
820313,2016-03-09,APH,Gillard Patrick,,0001127602-16-045625,2016-03-08,S,6400,55.8548,0,D,,,,,,
820313,2016-03-11,APH,Silverman David M,,0001127602-16-046115,2016-03-11,M,4000,22.975,4000,D,,,,,,
820313,2016-03-11,APH,Silverman David M,,0001127602-16-046115,2016-03-11,S,4000,56.0106,0,D,,,,,,
820313,2016-04-27,APH,BADIE RONALD P,,0001127602-16-050066,2016-04-27,S,20000,57.0512,43720,D,,,,,,
820313,2016-04-27,APH,BADIE RONALD P,,0001127602-16-050066,2016-04-27,M,20000,22.975,63720,D,,,,,,
820313,2016-04-27,APH,Schneider Richard,,0001127602-16-050063,2016-04-26,S,23400,57.082,68274,D,,,,,,
820313,2016-04-27,APH,Schneider Richard,,0001127602-16-050063,2016-04-26,M,28800,21.495,91674,D,,,,,,
820313,2016-04-29,APH,Doherty William J,,0001127602-16-050238,2016-04-26,M,6800,26.74,6800,D,,,,,,
820313,2016-04-29,APH,Doherty William J,,0001127602-16-050238,2016-04-26,S,6800,56.7871,0,D,,,,,,
820313,2016-05-27,APH,Ledford Randall D,,0001127602-16-053728,2016-05-26,A,2415,0.0,2415,D,,,,,,
820313,2016-05-27,APH,LOEFFLER MARTIN H,,0001127602-16-053721,2016-05-26,A,2415,0.0,2415,D,,,,,,
820313,2016-05-27,APH,LORD JOHN R,,0001127602-16-053719,2016-05-26,A,2415,0.0,2415,D,,,,,,
820313,2016-05-27,APH,Clark Stanley L,,0001127602-16-053708,2016-05-26,A,2415,0.0,2415,D,,,,,,
820313,2016-05-27,APH,Falck David P,,0001127602-16-053711,2016-05-26,A,2415,0.0,2415,D,,,,,,
820313,2016-05-27,APH,NORWITT RICHARD ADAM,,0001127602-16-053703,2016-05-25,S,145000,57.6985,992,D,,,,,,
820313,2016-05-27,APH,BADIE RONALD P,,0001127602-16-053706,2016-05-26,A,2415,0.0,2415,D,,,,,,
820313,2016-05-27,APH,NORWITT RICHARD ADAM,,0001127602-16-053703,2016-05-25,M,145000,16.005,145992,D,,,,,,
820313,2016-05-27,APH,JEPSEN EDWARD G,,0001127602-16-053714,2016-05-26,A,2415,0.0,2415,D,,,,,,
820313,2016-05-27,APH,WETMORE EDWARD C,,0001127602-16-053679,2016-05-26,M,90000,21.495,96784,D,,,,,,
820313,2016-05-27,APH,WETMORE EDWARD C,,0001127602-16-053679,2016-05-26,S,90000,57.9975,6784,D,,,,,,
820313,2016-05-31,APH,Schneider Richard,,0001127602-16-053878,2016-05-26,M,25000,26.74,93274,D,,,,,,
820313,2016-05-31,APH,Schneider Richard,,0001127602-16-053878,2016-05-26,S,22400,58.001,70874,D,,,,,,
820313,2016-06-03,APH,Ivas Michael R.,,0001127602-16-054648,2016-06-02,M,27000,22.975,27000,D,,,,,,
820313,2016-06-03,APH,Ivas Michael R.,,0001127602-16-054648,2016-06-02,S,27000,59.0,0,D,,,,,,
820313,2016-06-03,APH,Lampo Craig A,,0001127602-16-054641,2016-06-02,M,30000,22.975,30000,D,,,,,,
820313,2016-06-03,APH,Lampo Craig A,,0001127602-16-054641,2016-06-02,S,25000,59.0191,5000,D,,,,,,
820313,2016-06-08,APH,Treanor John,,0001127602-16-055040,2016-06-07,M,12600,21.495,12600,D,,,,,,
820313,2016-06-08,APH,Treanor John,,0001127602-16-055040,2016-06-07,S,12600,59.2981,0,D,,,,,,
820313,2016-06-10,APH,WALTER LUC,,0001127602-16-055270,2016-06-09,M,27200,26.74,98928,D,,,,,,
820313,2016-06-10,APH,WALTER LUC,,0001127602-16-055270,2016-06-09,S,23200,59.981,75728,D,,,,,,
820313,2016-06-10,APH,Schneider Richard,,0001127602-16-055268,2016-06-09,M,29400,26.74,100274,D,,,,,,
820313,2016-06-10,APH,Schneider Richard,,0001127602-16-055268,2016-06-09,S,24700,60.0254,75574,D,,,,,,
820313,2016-07-25,APH,Gillard Patrick,,0001127602-16-058465,2016-07-22,M,6400,26.74,6400,D,,,,,,
820313,2016-07-25,APH,Gillard Patrick,,0001127602-16-058465,2016-07-22,S,6400,59.0573,0,D,,,,,,
820313,2016-07-26,APH,Booker Martin,,0001127602-16-058649,2016-07-26,M,6400,22.975,6400,D,,,,,,
820313,2016-07-26,APH,Booker Martin,,0001127602-16-058649,2016-07-26,S,6400,59.1061,0,D,,,,,,
820313,2016-07-26,APH,NORWITT RICHARD ADAM,,0001127602-16-058630,2016-07-22,M,137000,16.005,137992,D,,,,,,
820313,2016-07-26,APH,NORWITT RICHARD ADAM,,0001127602-16-058630,2016-07-22,S,137000,59.0003,992,D,,,,,,
820313,2016-08-11,APH,Lampo Craig A,,0001127602-16-060052,2016-08-09,M,30000,16.005,35000,D,,,,,,
820313,2016-08-11,APH,Lampo Craig A,,0001127602-16-060052,2016-08-09,S,22000,60.0695,13000,D,,,,,,
820313,2016-08-12,APH,WALTER LUC,,0001127602-16-060127,2016-08-11,S,35000,60.3823,90528,D,,,,,,
820313,2016-08-12,APH,WALTER LUC,,0001127602-16-060127,2016-08-11,M,45800,26.63,125528,D,,,,,,
820313,2016-08-12,APH,Doherty William J,,0001127602-16-060125,2016-08-10,M,6800,26.74,6800,D,,,,,,
820313,2016-08-12,APH,Doherty William J,,0001127602-16-060125,2016-08-10,S,6800,59.8907,0,D,,,,,,
820313,2016-08-22,APH,Schneider Richard,,0001127602-16-060763,2016-08-18,S,25000,60.5016,75574,D,,,,,,
820313,2016-08-22,APH,Schneider Richard,,0001127602-16-060763,2016-08-18,M,25000,26.63,100574,D,,,,,,
820313,2016-08-22,APH,Lampo Craig A,,0001127602-16-060764,2016-08-19,M,14000,16.005,27000,D,,,,,,
820313,2016-08-22,APH,Lampo Craig A,,0001127602-16-060764,2016-08-19,S,14000,61.0602,13000,D,,,,,,
820313,2016-08-22,APH,Schneider Richard,,0001127602-16-060763,2016-08-19,M,35800,26.63,111374,D,,,,,,
