cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
317788,2015-12-16,APPS,STONE WILLIAM GORDON III,,0001209191-15-085533,2015-12-16,P,100000,1.3538,362080,D,,,,,,
317788,2016-02-04,APPS,GYANI MOHAN S,,0001209191-16-095875,2016-02-03,A,23200,0.0,23200,D,,,,,,
317788,2016-03-16,APPS,STONE WILLIAM GORDON III,,0001144204-16-088371,2016-03-16,P,150000,1.0537,512080,D,,,,,,
317788,2016-03-17,APPS,DEUTSCHMAN ROBERT M,,0001144204-16-088583,2016-03-16,P,45120,1.0643,461176,I,,,,,,
317788,2016-08-03,APPS,Forman Craig I,,0001144204-16-116264,2016-08-01,A,52727,0.0,196508,D,,,,,,
317788,2016-08-03,APPS,DEUTSCHMAN ROBERT M,,0001144204-16-116263,2016-08-01,A,79091,0.0,540267,I,,,,,,
317788,2016-08-03,APPS,GYANI MOHAN S,,0001144204-16-116262,2016-08-01,A,43636,0.0,66836,D,,,,,,
317788,2016-08-03,APPS,SCHAEFFER PAUL M,,0001144204-16-116261,2016-08-01,A,52727,0.0,557616,D,,,,,,
317788,2016-08-03,APPS,Karish Jeff,,0001144204-16-116259,2016-08-01,A,50455,0.0,220344,D,,,,,,
317788,2016-08-03,APPS,Rogers Christopher Thomas,,0001144204-16-116258,2016-08-01,A,52727,0.0,241425,D,,,,,,
317788,2016-11-14,APPS,GARRISON J. BARRETT,,0001209191-16-149859,2016-11-14,P,150000,0.8,150000,D,,,,,,
317788,2016-11-14,APPS,STONE WILLIAM GORDON III,,0001209191-16-149833,2016-11-14,P,150000,0.8599,662080,D,,,,,,
317788,2016-12-09,APPS,DEUTSCHMAN ROBERT M,,0001209191-16-154553,2016-12-07,P,116233,0.61,656500,I,,,,,,
317788,2016-12-09,APPS,DEUTSCHMAN ROBERT M,,0001209191-16-154553,2016-12-08,P,32967,0.62,690267,I,,,,,,
317788,2016-12-13,APPS,GYANI MOHAN S,,0001209191-16-155031,2016-12-12,A,154000,0.6407,177200,D,,,,,,
317788,2017-03-10,APPS,STONE WILLIAM GORDON III,,0001209191-17-019938,2017-03-10,P,101000,0.88,763080,D,,,,,,
317788,2017-08-08,APPS,SCHAEFFER PAUL M,,0001209191-17-048189,2017-08-04,A,48624,0.0,606240,I,,,,,,
317788,2017-08-08,APPS,Rogers Christopher Thomas,,0001209191-17-048187,2017-08-04,A,48624,0.0,290049,D,,,,,,
317788,2017-08-08,APPS,Karish Jeff,,0001209191-17-048185,2017-08-04,A,50917,0.0,271261,D,,,,,,
317788,2017-08-08,APPS,GYANI MOHAN S,,0001209191-17-048183,2017-08-04,A,44037,0.0,221237,D,,,,,,
317788,2017-08-08,APPS,DEUTSCHMAN ROBERT M,,0001209191-17-048181,2017-08-04,A,72936,0.0,763203,I,,,,,,
317788,2017-08-11,APPS,STONE WILLIAM GORDON III,,0001209191-17-048571,2017-08-11,P,126400,1.12,889480,D,,,,,,
317788,2017-11-13,APPS,STONE WILLIAM GORDON III,,0001209191-17-060217,2017-11-13,P,50000,1.5601,939480,D,,,,,,
317788,2018-06-15,APPS,STONE WILLIAM GORDON III,,0001209191-18-037970,2018-06-15,P,70000,1.563,1009480,D,,,,,,
317788,2018-08-02,APPS,Rogers Christopher Thomas,,0001209191-18-045087,2018-07-31,A,48112,0.0,338161,D,,,,,,
317788,2018-08-02,APPS,Karish Jeff,,0001209191-18-045089,2018-07-31,A,45863,0.0,317124,D,,,,,,
317788,2018-08-02,APPS,SCHAEFFER PAUL M,,0001209191-18-045092,2018-07-31,A,46763,0.0,653003,I,,,,,,
317788,2018-08-02,APPS,DEUTSCHMAN ROBERT M,,0001209191-18-045080,2018-07-31,A,72842,0.0,836045,I,,,,,,
317788,2018-08-02,APPS,Chestnutt Roy H,,0001209191-18-045077,2018-07-31,A,46763,0.0,46763,D,,,,,,
317788,2018-08-02,APPS,GYANI MOHAN S,,0001209191-18-045082,2018-07-31,A,46313,0.0,267550,D,,,,,,
317788,2018-09-06,APPS,Chestnutt Roy H,,0001209191-18-049970,2018-09-06,P,20000,1.3202,66763,D,,,,,,
