cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1035443,2019-05-10,ARE,MARCUS JOEL S,,0001035443-19-000137,2019-05-08,S,8500,140.67,500712,D,,,,,,
1035443,2019-05-20,APLT,ALEXANDRIA REAL ESTATE EQUITIES INC,,0001035443-19-000142,2019-05-16,C,2415576,,2415576,I,,,,,,
1035443,2019-05-20,APLT,ALEXANDRIA REAL ESTATE EQUITIES INC,,0001035443-19-000142,2019-05-16,P,975000,10.0,975000,I,,,,,,
1035443,2019-06-28,ARE,Diamond Lawrence J,,0001035443-19-000150,2019-06-26,S,1500,140.0,59795,D,,,,,,
1035443,2019-06-28,ARE,Banks Jennifer,,0001035443-19-000149,2019-06-26,S,2000,139.93,52734,D,,,,,,
1035443,2019-07-01,ARE,Cain James P,,0001035443-19-000154,2019-06-27,S,450,139.82,3506,D,,,,,,
1035443,2019-07-02,ARE,Shigenaga Dean A,,0001035443-19-000178,2019-06-30,F,8926,141.09,128653,D,,,,,,
1035443,2019-07-02,ARE,Ryan Daniel J,,0001035443-19-000177,2019-06-30,F,7562,141.09,112245,D,,,,,,
1035443,2019-07-02,ARE,Richardson Stephen,,0001035443-19-000176,2019-06-30,F,8859,141.09,179906,D,,,,,,
1035443,2019-07-02,ARE,Moglia Peter M,,0001035443-19-000175,2019-06-30,F,8447,141.09,171475,D,,,,,,
1035443,2019-07-02,ARE,Hakman Joseph,,0001035443-19-000174,2019-06-30,F,2941,141.09,22370,D,,,,,,
1035443,2019-07-02,ARE,Binda Marc E,,0001035443-19-000170,2019-06-30,F,4150,141.09,43344,D,,,,,,
1035443,2019-07-02,ARE,Diamond Lawrence J,,0001035443-19-000173,2019-06-30,F,2046,141.09,57749,D,,,,,,
1035443,2019-07-02,ARE,CIRUZZI VINCENT,,0001035443-19-000171,2019-06-30,F,3957,141.09,47292,D,,,,,,
1035443,2019-07-02,ARE,Cunningham John H,,0001035443-19-000172,2019-06-30,F,3918,141.09,48595,D,,,,,,
1035443,2019-07-02,ARE,Banks Jennifer,,0001035443-19-000169,2019-06-30,F,2976,141.09,49758,D,,,,,,
1035443,2019-07-02,ARE,Andrews Thomas J,,0001035443-19-000168,2019-06-30,F,7992,141.09,143441,D,,,,,,
1035443,2019-07-02,ARE,Woronoff Michael A,,0001035443-19-000167,2019-06-28,A,241,0.0,3446,D,,,,,,
1035443,2019-07-02,ARE,Hash Steve,,0001035443-19-000166,2019-06-28,A,195,0.0,10837,D,,,,,,
1035443,2019-07-17,ARE,Hash Steve,,0001035443-19-000184,2019-07-15,A,22,0.0,10859,D,,,,,,
