cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
915912,2016-02-10,AVB,HEALY JOHN J JR,,0001209191-16-097305,2016-02-08,S,1318.0,163.2865,43859.5837,D,,,,,,
915912,2016-02-16,AVB,McLaughlin William M,,0001209191-16-098911,2016-02-14,A,4841.0,0.0,57822.259,D,,,,,,
915912,2016-02-16,AVB,Wilson Stephen W,,0001209191-16-098925,2016-02-11,A,5483.0,0.0,30182.4341,D,,,,,,
915912,2016-02-16,AVB,Wilson Stephen W,,0001209191-16-098925,2016-02-14,A,4306.0,0.0,34488.4341,D,,,,,,
915912,2016-02-16,AVB,Shea Keri A,,0001209191-16-098920,2016-02-11,A,428.0,0.0,6034.0,D,,,,,,
915912,2016-02-16,AVB,SCHULMAN EDWARD M,,0001209191-16-098914,2016-02-11,A,1192.0,0.0,17344.2632,D,,,,,,
915912,2016-02-16,AVB,SCHULMAN EDWARD M,,0001209191-16-098914,2016-02-14,A,5285.0,0.0,22629.2632,D,,,,,,
915912,2016-02-16,AVB,McLaughlin William M,,0001209191-16-098911,2016-02-11,A,4207.0,0.0,52981.259,D,,,,,,
915912,2016-02-16,AVB,HOREY LEO S III,,0001209191-16-098906,2016-02-11,A,554.0,0.0,38634.1986,D,,,,,,
915912,2016-02-16,AVB,Shea Keri A,,0001209191-16-098920,2016-02-14,A,1258.0,0.0,7292.0,D,,,,,,
915912,2016-02-16,AVB,HOREY LEO S III,,0001209191-16-098906,2016-02-14,A,9773.0,0.0,48407.1986,D,,,,,,
915912,2016-02-16,AVB,Breslin Sean J.,,0001209191-16-098899,2016-02-11,A,3826.0,0.0,28421.1533,D,,,,,,
915912,2016-02-16,AVB,Breslin Sean J.,,0001209191-16-098899,2016-02-14,A,6718.0,0.0,35139.1533,D,,,,,,
915912,2016-02-16,AVB,Birenbaum Matthew H.,,0001209191-16-098895,2016-02-11,A,3111.0,0.0,25897.0,D,,,,,,
915912,2016-02-16,AVB,Birenbaum Matthew H.,,0001209191-16-098895,2016-02-14,A,7853.0,0.0,33750.0,D,,,,,,
915912,2016-02-16,AVB,O'Shea Kevin P.,,0001209191-16-098889,2016-02-11,A,2174.0,0.0,12104.0338,D,,,,,,
915912,2016-02-16,AVB,O'Shea Kevin P.,,0001209191-16-098889,2016-02-14,A,5948.0,0.0,18052.0338,D,,,,,,
915912,2016-02-16,AVB,NAUGHTON TIMOTHY J,,0001209191-16-098884,2016-02-14,A,36841.0,0.0,158182.1824,D,,,,,,
915912,2016-03-02,AVB,HAVNER RONALD L JR,,0001209191-16-104796,2016-03-01,A,84.0,0.0,1906.3569,D,,,,,,
915912,2016-03-02,AVB,Brown Terry S.,,0001209191-16-104784,2016-03-01,A,84.0,0.0,1494.4766,D,,,,,,
915912,2016-03-02,AVB,HEALY JOHN J JR,,0001209191-16-104801,2016-03-01,A,84.0,0.0,43943.5837,D,,,,,,
915912,2016-03-03,AVB,SCHULMAN EDWARD M,,0001209191-16-105216,2016-03-01,F,1602.0,177.63,21027.2632,D,,,,,,
915912,2016-03-03,AVB,NAUGHTON TIMOTHY J,,0001209191-16-105189,2016-03-01,F,9364.0,177.63,148818.1824,D,,,,,,
915912,2016-03-03,AVB,O'Shea Kevin P.,,0001209191-16-105193,2016-03-01,F,1741.0,177.63,16311.0338,D,,,,,,
915912,2016-03-03,AVB,Birenbaum Matthew H.,,0001209191-16-105200,2016-03-01,F,2124.0,177.63,31626.0,D,,,,,,
915912,2016-03-03,AVB,Breslin Sean J.,,0001209191-16-105203,2016-03-01,F,2915.0,177.63,32224.1533,D,,,,,,
915912,2016-03-03,AVB,Shea Keri A,,0001209191-16-105222,2016-03-01,F,404.0,177.63,6888.0,D,,,,,,
915912,2016-03-03,AVB,HOREY LEO S III,,0001209191-16-105205,2016-03-01,F,2128.0,177.63,46279.1986,D,,,,,,
915912,2016-03-03,AVB,HOREY LEO S III,,0001209191-16-105205,2016-03-02,F,2240.0,178.53,47117.1986,D,,,,,,
