cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1730168,2018-04-06,AVGO,Hao Kenneth,,0000899243-18-009664,2018-04-04,A,807.0,0.0,76096.0,I,,,,,,
1730168,2018-04-06,AVGO,DILLER JAMES,,0000899243-18-009661,2018-04-04,A,807.0,0.0,24704.0,D,,,,,,
1730168,2018-04-06,AVGO,SAMUELI HENRY,,0000899243-18-009660,2018-04-04,J,53649.0,0.0,254338.0,D,,,,,,
1730168,2018-04-06,AVGO,MARKS PETER J,,0000899243-18-009658,2018-04-04,A,807.0,0.0,33012.0,D,,,,,,
1730168,2018-04-06,AVGO,Low Check Kian,,0000899243-18-009657,2018-04-04,A,807.0,0.0,2101.0,D,,,,,,
1730168,2018-04-06,AVGO,DELLY GAYLA J,,0000899243-18-009656,2018-04-04,A,807.0,0.0,1051.0,D,,,,,,
1730168,2018-04-06,AVGO,HARTENSTEIN EDDY W,,0000899243-18-009655,2018-04-04,A,807.0,0.0,34948.0,D,,,,,,
1730168,2018-04-06,AVGO,MACLEOD DONALD,,0000899243-18-009654,2018-04-04,A,807.0,0.0,54565.0,D,,,,,,
1730168,2018-04-06,AVGO,EGGEBRECHT LEWIS C,,0000899243-18-009652,2018-04-04,A,807.0,0.0,6833.0,D,,,,,,
1730168,2018-04-17,AVGO,"Silver Lake Group, L.L.C.",,0000899243-18-010288,2018-04-13,P,4976.0,245.5,4976.0,I,,,,,,
1730168,2018-04-17,AVGO,SAMUELI HENRY,,0001144204-18-020900,2018-04-13,J,24494.0,248.45,15564.5,I,,,,,,
1730168,2018-04-18,AVGO,Brazeal Mark David,,0001730168-18-000007,2018-04-16,F,2492.0,246.94,22633.0,D,,,,,,
1730168,2018-04-18,AVGO,TAN HOCK E,,0001730168-18-000004,2018-04-16,M,20000.0,38.99,129834.0,D,,,,,,
1730168,2018-04-18,AVGO,TAN HOCK E,,0001730168-18-000004,2018-04-16,S,7050.0,247.081,122784.0,D,,,,,,
1730168,2018-05-17,AVGO,TAN HOCK E,,0001730168-18-000009,2018-05-15,M,20000.0,38.99,129834.0,D,,,,,,
1730168,2018-05-17,AVGO,TAN HOCK E,,0001730168-18-000009,2018-05-15,S,7800.0,241.996,122034.0,D,,,,,,
1730168,2018-05-31,AVGO,Kawwas Charlie B,,0001730168-18-000011,2018-05-29,M,10000.0,71.86,81665.0,D,,,,,,
