cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
8818,2016-01-19,AVY,Bondar Lori J,,0001127602-16-037244,2016-01-15,M,903.0,58.53,1613.0,D,,,,,,
8818,2016-01-19,AVY,Hill Anne,,0001127602-16-037228,2016-01-15,F,957.0,58.53,30558.0,D,,,,,,
8818,2016-01-19,AVY,Hill Anne,,0001127602-16-037228,2016-01-15,M,2299.0,58.53,31515.0,D,,,,,,
8818,2016-01-19,AVY,SCARBOROUGH DEAN A,,0001127602-16-037232,2016-01-15,F,4335.0,58.53,152530.0,D,,,,,,
8818,2016-01-19,AVY,SCARBOROUGH DEAN A,,0001127602-16-037232,2016-01-15,M,11379.0,58.53,156865.0,D,,,,,,
8818,2016-01-19,AVY,GRAVANIS GEORGES,,0001127602-16-037230,2016-01-15,M,1267.0,58.53,1267.0,D,,,,,,
8818,2016-01-19,AVY,Butier Mitchell R,,0001127602-16-037238,2016-01-15,M,2931.0,58.53,49466.0,D,,,,,,
8818,2016-01-19,AVY,Miller Susan C,,0001127602-16-037242,2016-01-15,F,981.0,58.53,1386.0,D,,,,,,
8818,2016-01-19,AVY,Miller Susan C,,0001127602-16-037242,2016-01-15,M,2367.0,58.53,2367.0,D,,,,,,
8818,2016-01-19,AVY,Bondar Lori J,,0001127602-16-037244,2016-01-15,F,396.0,58.53,1217.0,D,,,,,,
8818,2016-01-19,AVY,Butier Mitchell R,,0001127602-16-037238,2016-01-15,F,1177.0,58.53,48289.0,D,,,,,,
8818,2016-02-29,AVY,Miller Susan C,,0001127602-16-043965,2016-02-25,M,2875.0,65.68,4261.0,D,,,,,,
8818,2016-02-29,AVY,BRAMMAN ANNE L,,0001127602-16-043955,2016-02-25,F,655.0,65.68,1108.0,D,,,,,,
8818,2016-02-29,AVY,BRAMMAN ANNE L,,0001127602-16-043955,2016-02-25,M,1763.0,65.68,1763.0,D,,,,,,
8818,2016-02-29,AVY,Hill Anne,,0001127602-16-043963,2016-02-25,F,10810.0,65.68,47847.0,D,,,,,,
8818,2016-02-29,AVY,Hill Anne,,0001127602-16-043963,2016-02-26,F,1587.0,65.68,33192.0,D,,,,,,
8818,2016-02-29,AVY,Hill Anne,,0001127602-16-043963,2016-02-25,M,4221.0,65.68,34779.0,D,,,,,,
8818,2016-02-29,AVY,Bondar Lori J,,0001127602-16-043970,2016-02-25,F,680.0,65.68,2346.0,D,,,,,,
8818,2016-02-29,AVY,Miller Susan C,,0001127602-16-043965,2016-02-25,F,1081.0,65.68,3180.0,D,,,,,,
8818,2016-02-29,AVY,SCARBOROUGH DEAN A,,0001127602-16-043973,2016-02-25,F,7415.0,65.68,159325.0,D,,,,,,
8818,2016-02-29,AVY,SCARBOROUGH DEAN A,,0001127602-16-043973,2016-02-25,M,14210.0,65.68,166740.0,D,,,,,,
8818,2016-02-29,AVY,Butier Mitchell R,,0001127602-16-043976,2016-02-25,F,2801.0,65.68,51004.0,D,,,,,,
8818,2016-02-29,AVY,Butier Mitchell R,,0001127602-16-043976,2016-02-25,M,5516.0,65.68,53805.0,D,,,,,,
8818,2016-02-29,AVY,GRAVANIS GEORGES,,0001127602-16-043981,2016-02-25,M,2572.0,65.68,3789.0,D,,,,,,
8818,2016-02-29,AVY,Sullivan Martha N.,,0001127602-16-043983,2016-02-26,M,70.0,66.55,3096.0,D,,,,,,
8818,2016-02-29,AVY,Bondar Lori J,,0001127602-16-043970,2016-02-25,M,1809.0,65.68,3026.0,D,,,,,,
8818,2016-03-04,AVY,Hill Anne,,0001127602-16-045026,2016-03-03,M,37021.0,30.5,84868.0,D,,,,,,
8818,2016-03-04,AVY,Hill Anne,,0001127602-16-045026,2016-03-03,S,37021.0,67.5,47847.0,D,,,,,,
8818,2016-03-09,AVY,SCARBOROUGH DEAN A,,0001127602-16-045645,2016-03-07,S,30000.0,67.62,203401.0,D,,,,,,
8818,2016-03-09,AVY,SCARBOROUGH DEAN A,,0001127602-16-045645,2016-03-08,S,30000.0,68.18,173401.0,D,,,,,,
8818,2016-03-10,AVY,SCARBOROUGH DEAN A,,0001127602-16-045877,2016-03-09,S,27915.0,69.09,145486.0,D,,,,,,
8818,2016-03-10,AVY,Miller Susan C,,0001127602-16-045879,2016-03-09,M,9545.0,67.795,26063.0,D,,,,,,
8818,2016-03-10,AVY,Miller Susan C,,0001127602-16-045879,2016-03-09,S,9545.0,69.0305,16518.0,D,,,,,,
8818,2016-03-14,AVY,Miller Susan C,,0001127602-16-046212,2016-03-11,S,10000.0,69.67,6518.0,D,,,,,,
8818,2016-04-04,AVY,Miller Susan C,,0001127602-16-048302,2016-04-01,M,2000.0,52.115,8518.0,D,,,,,,
8818,2016-04-04,AVY,Miller Susan C,,0001127602-16-048302,2016-04-01,S,2000.0,71.74,6518.0,D,,,,,,
8818,2016-05-02,AVY,Anderson Anthony,,0001127602-16-050548,2016-04-29,M,1015.0,72.82,4592.0,D,,,,,,
8818,2016-05-02,AVY,SCARBOROUGH DEAN A,,0001127602-16-050417,2016-04-29,S,100000.0,72.54,131066.0,D,,,,,,
8818,2016-05-02,AVY,SCARBOROUGH DEAN A,,0001127602-16-050417,2016-04-29,M,100000.0,67.795,231066.0,D,,,,,,
8818,2016-05-02,AVY,SCARBOROUGH DEAN A,,0001127602-16-050417,2016-04-29,G,14420.0,0.0,131066.0,D,,,,,,
8818,2016-05-02,AVY,Alford Bradley A,,0001127602-16-050442,2016-04-29,M,1015.0,72.82,8079.0,D,,,,,,
8818,2016-05-02,AVY,BARKER PETER K,,0001127602-16-050551,2016-04-29,M,1015.0,72.82,20853.0,D,,,,,,
8818,2016-05-02,AVY,HICKS KEN C,,0001127602-16-050553,2016-04-29,M,1015.0,72.82,16453.0,D,,,,,,
8818,2016-05-02,AVY,PYOTT DAVID E I,,0001127602-16-050560,2016-04-29,M,1015.0,72.82,12453.0,D,,,,,,
8818,2016-05-02,AVY,Siewert Patrick,,0001127602-16-050567,2016-04-29,F,305.0,72.82,17890.0,D,,,,,,
8818,2016-05-02,AVY,Siewert Patrick,,0001127602-16-050567,2016-04-29,M,1015.0,72.82,18195.0,D,,,,,,
8818,2016-05-02,AVY,STEWART JULIA A,,0001127602-16-050569,2016-04-29,M,1015.0,72.82,12532.09,D,,,,,,
8818,2016-05-02,AVY,Sullivan Martha N.,,0001127602-16-050571,2016-04-29,M,1015.0,72.82,4111.0,D,,,,,,
8818,2016-05-03,AVY,Miller Susan C,,0001127602-16-050706,2016-05-02,M,2000.0,52.115,8518.0,D,,,,,,
8818,2016-05-03,AVY,Miller Susan C,,0001127602-16-050706,2016-05-02,S,2000.0,72.65,6518.0,D,,,,,,
8818,2016-05-04,AVY,Butier Mitchell R,,0001127602-16-051146,2016-05-03,S,47206.0,74.07,71747.0,D,,,,,,
8818,2016-05-04,AVY,Butier Mitchell R,,0001127602-16-051146,2016-05-04,G,1000.0,0.0,70747.0,D,,,,,,
8818,2016-05-04,AVY,Butier Mitchell R,,0001127602-16-051146,2016-05-03,M,47206.0,30.5,118953.0,D,,,,,,
8818,2016-06-02,AVY,BRAMMAN ANNE L,,0001127602-16-054404,2016-06-01,M,2164.0,73.96,3272.0,D,,,,,,
8818,2016-06-02,AVY,BRAMMAN ANNE L,,0001127602-16-054404,2016-06-01,F,814.0,73.96,2458.0,D,,,,,,
8818,2016-06-02,AVY,GRAVANIS GEORGES,,0001127602-16-054399,2016-06-01,M,3043.0,73.96,23824.0,D,,,,,,
8818,2016-06-02,AVY,Miller Susan C,,0001127602-16-054392,2016-06-01,M,2000.0,52.115,8518.0,D,,,,,,
8818,2016-06-02,AVY,Miller Susan C,,0001127602-16-054392,2016-06-01,S,2000.0,73.82,6518.0,D,,,,,,
8818,2016-06-09,AVY,Hill Anne,,0001127602-16-055127,2016-06-07,M,30000.0,65.38,77847.0,D,,,,,,
8818,2016-06-09,AVY,HICKS KEN C,,0001127602-16-055129,2016-06-07,M,5000.0,65.72,23058.0,D,,,,,,
8818,2016-06-09,AVY,HICKS KEN C,,0001127602-16-055129,2016-06-07,S,5000.0,76.23,18058.0,D,,,,,,
8818,2016-06-09,AVY,Hill Anne,,0001127602-16-055127,2016-06-07,S,30000.0,76.25,47847.0,D,,,,,,
8818,2016-07-05,AVY,Miller Susan C,,0001127602-16-057253,2016-07-01,S,2000.0,73.31,6518.0,D,,,,,,
8818,2016-07-05,AVY,Miller Susan C,,0001127602-16-057253,2016-07-01,M,2000.0,52.115,8518.0,D,,,,,,
8818,2016-08-01,AVY,GRAVANIS GEORGES,,0001127602-16-059020,2016-07-28,M,5100.0,30.5,28924.0,D,,,,,,
8818,2016-08-01,AVY,GRAVANIS GEORGES,,0001127602-16-059020,2016-07-28,S,5100.0,77.77,23824.0,D,,,,,,
8818,2016-08-02,AVY,Miller Susan C,,0001127602-16-059326,2016-08-01,M,2000.0,52.115,8518.0,D,,,,,,
8818,2016-08-02,AVY,Miller Susan C,,0001127602-16-059326,2016-08-01,S,2000.0,77.94,6518.0,D,,,,,,
8818,2016-08-03,AVY,SCARBOROUGH DEAN A,,0001127602-16-059369,2016-08-02,M,100000.0,52.115,231066.0,D,,,,,,
8818,2016-08-03,AVY,SCARBOROUGH DEAN A,,0001127602-16-059369,2016-08-02,S,100000.0,77.97,131066.0,D,,,,,,
8818,2016-08-04,AVY,SCARBOROUGH DEAN A,,0001127602-16-059460,2016-08-03,M,130000.0,52.115,261066.0,D,,,,,,
8818,2016-08-04,AVY,SCARBOROUGH DEAN A,,0001127602-16-059460,2016-08-03,S,130000.0,77.05,131066.0,D,,,,,,
8818,2016-08-09,AVY,PYOTT DAVID E I,,0001127602-16-059843,2016-08-08,S,2000.0,78.61,14058.0,D,,,,,,
8818,2016-08-09,AVY,PYOTT DAVID E I,,0001127602-16-059843,2016-08-08,M,2000.0,67.795,16058.0,D,,,,,,
8818,2016-08-10,AVY,SCARBOROUGH DEAN A,,0001127602-16-060013,2016-08-08,M,25000.0,31.665,156066.0,D,,,,,,
8818,2016-08-10,AVY,SCARBOROUGH DEAN A,,0001127602-16-060013,2016-08-08,S,25000.0,78.36,131066.0,D,,,,,,
8818,2016-08-10,AVY,SCARBOROUGH DEAN A,,0001127602-16-060013,2016-08-09,M,25000.0,31.665,156066.0,D,,,,,,
8818,2016-08-10,AVY,SCARBOROUGH DEAN A,,0001127602-16-060013,2016-08-09,S,25000.0,78.64,131066.0,D,,,,,,
8818,2016-08-12,AVY,SCARBOROUGH DEAN A,,0001127602-16-060135,2016-08-10,M,25000.0,31.665,156066.0,D,,,,,,
8818,2016-08-12,AVY,SCARBOROUGH DEAN A,,0001127602-16-060135,2016-08-10,S,25000.0,78.77,131066.0,D,,,,,,
8818,2016-08-12,AVY,SCARBOROUGH DEAN A,,0001127602-16-060135,2016-08-11,M,25000.0,31.665,156066.0,D,,,,,,
8818,2016-08-12,AVY,SCARBOROUGH DEAN A,,0001127602-16-060135,2016-08-11,S,25000.0,78.24,131066.0,D,,,,,,
8818,2016-08-15,AVY,Hill Anne,,0001127602-16-060232,2016-08-12,S,11567.0,78.1,36280.0,D,,,,,,
8818,2016-08-24,AVY,SCARBOROUGH DEAN A,,0001127602-16-061060,2016-08-23,M,25000.0,31.665,156066.0,D,,,,,,
8818,2016-08-24,AVY,SCARBOROUGH DEAN A,,0001127602-16-061060,2016-08-23,S,25000.0,78.12,131066.0,D,,,,,,
8818,2016-08-24,AVY,SCARBOROUGH DEAN A,,0001127602-16-061060,2016-08-22,M,25000.0,31.665,156066.0,D,,,,,,
8818,2016-08-24,AVY,SCARBOROUGH DEAN A,,0001127602-16-061060,2016-08-22,S,25000.0,76.69,131066.0,D,,,,,,
8818,2016-08-26,AVY,SCARBOROUGH DEAN A,,0001127602-16-061245,2016-08-24,M,25000.0,31.665,156066.0,D,,,,,,
8818,2016-08-26,AVY,SCARBOROUGH DEAN A,,0001127602-16-061245,2016-08-24,S,25000.0,77.62,131066.0,D,,,,,,
8818,2016-08-26,AVY,SCARBOROUGH DEAN A,,0001127602-16-061245,2016-08-25,M,25000.0,31.665,156066.0,D,,,,,,
8818,2016-08-26,AVY,SCARBOROUGH DEAN A,,0001127602-16-061245,2016-08-25,S,25000.0,77.88,131066.0,D,,,,,,
8818,2016-09-02,AVY,Miller Susan C,,0001127602-16-061777,2016-09-01,M,2000.0,52.115,8518.0,D,,,,,,
8818,2016-09-02,AVY,Miller Susan C,,0001127602-16-061777,2016-09-01,S,2000.0,77.56,6518.0,D,,,,,,
8818,2016-09-02,AVY,STANDER DEON,,0001127602-16-061775,2016-09-01,M,2700.0,77.37,11299.0,D,,,,,,
8818,2016-09-02,AVY,STANDER DEON,,0001127602-16-061775,2016-09-01,F,1272.0,77.37,10027.0,D,,,,,,
8818,2016-10-04,AVY,Miller Susan C,,0001127602-16-064011,2016-10-03,M,2000.0,52.115,8518.0,D,,,,,,
8818,2016-10-04,AVY,Miller Susan C,,0001127602-16-064011,2016-10-03,S,2000.0,77.36,6518.0,D,,,,,,
8818,2016-11-02,AVY,Miller Susan C,,0001127602-16-065871,2016-11-01,S,2000.0,69.85,6518.0,D,,,,,,
8818,2016-11-02,AVY,Bondar Lori J,,0001127602-16-065915,2016-11-01,P,2000.0,69.72,2000.0,I,,,,,,
8818,2016-11-02,AVY,Miller Susan C,,0001127602-16-065871,2016-11-01,M,2000.0,52.115,8518.0,D,,,,,,
