cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1410636,2016-01-05,AWK,STORY SUSAN N,,0001209191-16-089442,2016-01-01,F,1757,59.75,37780,D,,,,,,
1410636,2016-01-05,AWK,Sullivan Linda G,,0001209191-16-089365,2016-01-01,F,1077,59.75,6025,D,,,,,,
1410636,2016-01-05,AWK,Cameron Sharon,,0001209191-16-089327,2016-01-01,F,447,59.75,8489,D,,,,,,
1410636,2016-01-05,AWK,Degillio Deborah A,,0001209191-16-089259,2016-01-01,F,148,59.75,656,D,,,,,,
1410636,2016-01-05,AWK,Sgro Michael A,,0001209191-16-089181,2016-01-01,F,236,59.75,1644,D,,,,,,
1410636,2016-01-05,AWK,Warnock Loyd A,,0001209191-16-089034,2016-01-01,F,324,59.75,7582,D,,,,,,
1410636,2016-01-05,AWK,Strauss Mark F.,,0001209191-16-088925,2016-01-01,F,389,59.75,27909,D,,,,,,
1410636,2016-01-05,AWK,Lynch Walter,,0001209191-16-088801,2016-01-01,F,1363,59.75,71663,D,,,,,,
1410636,2016-01-05,AWK,Chesla Mark,,0001209191-16-088719,2016-01-01,F,234,59.75,14669,D,,,,,,
1410636,2016-01-25,AWK,Sgro Michael A,,0001209191-16-093484,2016-01-22,A,703,0.0,3208,D,,,,,,
1410636,2016-01-25,AWK,Sgro Michael A,,0001209191-16-093484,2016-01-22,M,861,0.0,2505,D,,,,,,
1410636,2016-01-25,AWK,STORY SUSAN N,,0001209191-16-093486,2016-01-22,F,7554,62.44,49004,D,,,,,,
1410636,2016-01-25,AWK,Chesla Mark,,0001209191-16-093469,2016-01-22,A,1426,0.0,17840,D,,,,,,
1410636,2016-01-25,AWK,Chesla Mark,,0001209191-16-093469,2016-01-22,M,1745,0.0,16414,D,,,,,,
1410636,2016-01-25,AWK,Strauss Mark F.,,0001209191-16-093489,2016-01-22,F,1826,62.44,30996,D,,,,,,
1410636,2016-01-25,AWK,Strauss Mark F.,,0001209191-16-093489,2016-01-22,A,2209,0.0,32822,D,,,,,,
1410636,2016-01-25,AWK,Strauss Mark F.,,0001209191-16-093489,2016-01-22,M,2704,0.0,30613,D,,,,,,
1410636,2016-01-25,AWK,Lynch Walter,,0001209191-16-093482,2016-01-22,F,7325,62.44,82172,D,,,,,,
