cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1069183,2016-02-16,TASR,Womack Marcus,,0001069183-16-000133,2016-02-10,A,6460.0,15.48,85715.0,D,,,,,,
1069183,2016-02-16,TASR,SMITH PATRICK W,,0001069183-16-000132,2016-02-10,A,45462.0,15.48,687794.0,D,,,,,,
1069183,2016-02-16,TASR,Behrendt Daniel Marc,,0001069183-16-000131,2016-02-10,A,11951.0,15.48,73017.0,D,,,,,,
1069183,2016-02-16,TASR,KLINT DOUGLAS E,,0001069183-16-000130,2016-02-10,A,10228.0,15.48,65805.0,D,,,,,,
1069183,2016-02-16,TASR,Larson Luke,,0001069183-16-000129,2016-02-10,A,12112.0,15.48,64166.0,D,,,,,,
1069183,2016-03-01,TASR,Behrendt Daniel Marc,,0001069183-16-000140,2016-02-28,F,3875.0,17.48,69142.0,D,,,,,,
1069183,2016-03-01,TASR,Womack Marcus,,0001069183-16-000142,2016-02-28,F,151.0,17.48,85564.0,D,,,,,,
1069183,2016-03-01,TASR,Larson Luke,,0001069183-16-000141,2016-02-28,F,811.0,17.48,63355.0,D,,,,,,
1069183,2016-03-01,TASR,Isner Joshua,,0001069183-16-000144,2016-02-28,F,755.0,17.48,14610.0,D,,,,,,
1069183,2016-03-01,TASR,KLINT DOUGLAS E,,0001069183-16-000143,2016-02-28,F,3894.0,17.48,61911.0,D,,,,,,
1069183,2016-03-07,TASR,Partovi Hadi,,0001069183-16-000151,2016-03-07,P,50000.0,19.79,217406.0,D,,,,,,
1069183,2016-03-07,TASR,Larson Luke,,0001069183-16-000150,2016-03-07,S,6000.0,20.01,57355.0,D,,,,,,
1069183,2016-03-17,TASR,SMITH PATRICK W,,0001069183-16-000155,2016-03-14,G,90000.0,0.0,597794.0,D,,,,,,
1069183,2016-03-17,TASR,Isner Joshua,,0001069183-16-000153,2016-03-16,S,1780.0,18.8,12830.0,D,,,,,,
1069183,2016-04-08,TASR,Womack Marcus,,0001069183-16-000164,2016-04-07,F,3319.0,18.61,82245.0,D,,,,,,
1069183,2016-05-27,TASR,Taylor Bret Steven,,0001069183-16-000193,2016-05-26,A,3633.0,22.02,13491.0,D,,,,,,
1069183,2016-05-27,TASR,KROLL MARK W,,0001069183-16-000192,2016-05-26,A,3633.0,22.02,48225.0,D,,,,,,
1069183,2016-05-27,TASR,GARNREITER MICHAEL,,0001069183-16-000191,2016-05-26,A,3633.0,22.02,27392.0,D,,,,,,
1069183,2016-05-27,TASR,Martz Judy,,0001069183-16-000190,2016-05-26,A,3633.0,22.02,27392.0,D,,,,,,
1069183,2016-05-27,TASR,Carmona Richard H,,0001069183-16-000189,2016-05-26,A,3633.0,22.02,27392.0,D,,,,,,
1069183,2016-05-27,TASR,Partovi Hadi,,0001069183-16-000188,2016-05-26,A,3633.0,22.02,271039.0,D,,,,,,
1069183,2016-06-03,TASR,Caldwell John S,,0001069183-16-000195,2016-06-03,M,23041.0,4.34,50800.0,D,,,,,,
1069183,2016-08-01,TASR,Larson Luke,,0001069183-16-000203,2016-07-31,F,2404.0,28.96,54951.0,D,,,,,,
1069183,2016-08-01,TASR,Isner Joshua,,0001069183-16-000204,2016-07-31,F,1253.0,28.96,11577.0,D,,,,,,
1069183,2016-10-11,TASR,Womack Marcus,,0001069183-16-000216,2016-10-07,F,3357.0,22.43,78888.0,D,,,,,,
1069183,2016-10-17,TASR,MCBRADY MATTHEW R,,0001069183-16-000225,2016-10-05,A,4310.0,23.2,4310.0,D,,,,,,
1069183,2016-11-18,TASR,Isner Joshua,,0001069183-16-000240,2016-11-16,S,2914.0,27.76,8663.0,D,,,,,,
1069183,2016-11-18,TASR,Larson Luke,,0001069183-16-000238,2016-11-16,S,8367.0,27.68,46584.0,D,,,,,,
1069183,2016-11-18,TASR,Behrendt Daniel Marc,,0001069183-16-000236,2016-11-16,S,9118.0,27.76,60024.0,D,,,,,,
1069183,2017-02-21,TASR,KLINT DOUGLAS E,,0001069183-17-000005,2017-02-18,A,19580.0,26.5,81491.0,D,,,,,,
1069183,2017-02-21,TASR,SMITH PATRICK W,,0001069183-17-000017,2017-01-31,A,28173.0,0.0,658884.0,D,,,,,,
1069183,2017-02-21,TASR,Behrendt Daniel Marc,,0001069183-17-000009,2017-02-18,A,19580.0,26.5,79604.0,D,,,,,,
1069183,2017-02-21,TASR,Isner Joshua,,0001069183-17-000011,2017-01-31,A,36029.0,24.98,44692.0,D,,,,,,
1069183,2017-02-21,TASR,SMITH PATRICK W,,0001069183-17-000007,2017-02-18,A,32917.0,26.5,658884.0,D,,,,,,
1069183,2017-02-21,TASR,Larson Luke,,0001069183-17-000013,2017-01-31,A,68054.0,24.98,114638.0,D,,,,,,
1069183,2017-02-21,TASR,Womack Marcus,,0001069183-17-000015,2017-01-31,A,48038.0,24.98,126926.0,D,,,,,,
1069183,2017-03-02,TASR,SMITH PATRICK W,,0001069183-17-000038,2017-02-28,F,10882.0,25.67,648002.0,D,,,,,,
1069183,2017-03-02,TASR,Larson Luke,,0001069183-17-000036,2017-02-28,F,1491.0,25.67,113147.0,D,,,,,,
1069183,2017-03-02,TASR,Womack Marcus,,0001069183-17-000034,2017-02-28,F,698.0,25.67,126228.0,D,,,,,,
1069183,2017-03-02,TASR,KLINT DOUGLAS E,,0001069183-17-000032,2017-02-28,F,3180.0,25.67,78311.0,D,,,,,,
1069183,2017-03-02,TASR,Isner Joshua,,0001069183-17-000030,2017-02-28,F,612.0,25.67,44080.0,D,,,,,,
1069183,2017-03-02,TASR,Behrendt Daniel Marc,,0001069183-17-000028,2017-02-28,F,3430.0,25.67,76174.0,D,,,,,,
1069183,2017-03-08,TASR,Behrendt Daniel Marc,,0001069183-17-000046,2017-03-07,S,10000.0,22.57,66174.0,D,,,,,,
1069183,2017-03-08,TASR,Womack Marcus,,0001069183-17-000044,2017-03-06,A,18489.0,22.53,144717.0,D,,,,,,
1069183,2017-03-08,TASR,Carmona Richard H,,0001069183-17-000048,2017-03-07,M,19405.0,7.73,46797.0,D,,,,,,
1069183,2017-03-10,TASR,Behrendt Daniel Marc,,0001069183-17-000050,2017-03-09,S,15661.0,22.4,50513.0,D,,,,,,
1069183,2017-03-14,TASR,Isner Joshua,,0001069183-17-000052,2017-03-13,S,1423.0,22.66,42657.0,D,,,,,,
1069183,2017-03-14,TASR,GARNREITER MICHAEL,,0001069183-17-000054,2017-03-07,A,2000.0,22.49,29392.0,D,,,,,,
