cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
4962,2018-11-01,AXP,Squeri Stephen J,,0001127602-18-031631,2018-10-30,A,68250.0,101.19,257020.813,D,,,,,,
4962,2018-11-01,AXP,Squeri Stephen J,,0001127602-18-031631,2018-10-30,F,37504.0,101.19,219516.813,D,,,,,,
4962,2018-11-05,AXP,Squeri Stephen J,,0001127602-18-032106,2018-11-01,S,9560.0,103.78,209956.813,D,,,,,,
4962,2019-01-29,AXP,Squeri Stephen J,,0001127602-19-002941,2019-01-26,F,32533.0,100.77,237795.813,D,,,,,,
4962,2019-01-29,AXP,Pickett Denise,,0001127602-19-002939,2019-01-26,F,4829.0,100.77,10292.269,D,,,,,,
4962,2019-01-29,AXP,Pickett Denise,,0001127602-19-002939,2019-01-26,A,11799.0,100.77,15121.269,D,,,,,,
4962,2019-01-29,AXP,Seeger Laureen,,0001127602-19-002940,2019-01-26,F,14178.0,100.77,50695.184,D,,,,,,
4962,2019-01-29,AXP,Seeger Laureen,,0001127602-19-002940,2019-01-26,A,29381.0,100.77,64873.184,D,,,,,,
4962,2019-01-29,AXP,Williams Anre D,,0001127602-19-002943,2019-01-26,F,9218.0,100.77,53258.661,D,,,,,,
4962,2019-01-29,AXP,Squeri Stephen J,,0001127602-19-002941,2019-01-26,A,68312.0,100.77,270328.813,D,,,,,,
4962,2019-01-29,AXP,Squeri Stephen J,,0001127602-19-002941,2018-11-30,G,5000.0,,202016.813,D,,,,,,
4962,2019-01-29,AXP,Petrino Richard,,0001127602-19-002938,2019-01-26,F,2001.0,100.77,10035.0,D,,,,,,
4962,2019-01-29,AXP,Williams Anre D,,0001127602-19-002943,2019-01-26,A,21668.0,100.77,62476.661,D,,,,,,
4962,2019-01-29,AXP,Rutledge Elizabeth,,0001127602-19-002944,2019-01-26,F,166.0,100.77,43541.854,D,,,,,,
4962,2019-01-29,AXP,Petrino Richard,,0001127602-19-002938,2019-01-26,A,5718.0,100.77,12036.0,D,,,,,,
4962,2019-01-29,AXP,Rutledge Elizabeth,,0001127602-19-002944,2019-01-26,A,421.0,100.77,43707.854,D,,,,,,
4962,2019-01-29,AXP,O'Neill Michael John,,0001127602-19-002936,2019-01-26,A,11018.0,100.77,58508.56,D,,,,,,
4962,2019-01-29,AXP,Buckminster Douglas E.,,0001127602-19-002922,2019-01-26,F,11046.0,100.77,46455.744,D,,,,,,
4962,2019-01-29,AXP,Buckminster Douglas E.,,0001127602-19-002922,2019-01-26,A,23505.0,100.77,57501.744,D,,,,,,
