cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1577552,2026-03-26,BABA,Jiang Fang,isOfficer,0002114927-26-000005,2026-03-25,M,2672,,5536840,D,,,,,,
1577552,2026-03-26,BABA,Xu Hong,isOfficer,0002114529-26-000006,2026-03-25,M,62000,,62000,D,,,,,,
1577552,2026-03-26,BABA,Xu Hong,isOfficer,0002114529-26-000006,2026-03-25,S,54450,16.07,66550,D,,,,,,
1577552,2026-03-26,BABA,Yu Siying,isOfficer,0002114147-26-000005,2026-03-25,M,25336,,599701,D,,,,,,
1577552,2026-03-26,BABA,Yu Siying,isOfficer,0002114147-26-000005,2026-03-25,S,21472,16.06,600503,D,,,,,,
1577552,2026-03-26,BABA,Xu Hong,isOfficer,0002114529-26-000006,2026-03-25,M,62000,,62000,D,non_derivative,Ordinary Shares,,,,
1577552,2026-03-26,BABA,Jiang Fang,isOfficer,0002114927-26-000005,2026-03-25,M,2672,,5536840,D,non_derivative,Ordinary Shares,,,,
1577552,2026-03-26,BABA,Jiang Fang,isOfficer,0002114927-26-000005,2026-03-25,S,16848,16.1,5554653,D,,,,,,
1577552,2026-03-26,BABA,Jiang Fang,isOfficer,0002114927-26-000005,2026-03-25,M,2672,0.0,0,D,derivative,Restricted Share Units,Ordinary Shares,2672.0,,
1577552,2026-03-26,BABA,Xu Hong,isOfficer,0002114529-26-000006,2026-03-25,M,62000,0.0,0,D,derivative,Restricted Share Units,Ordinary Shares,62000.0,,
1577552,2026-03-26,BABA,Xu Hong,isOfficer,0002114529-26-000006,2026-03-25,S,54450,16.07,66550,D,non_derivative,Ordinary Shares,,,,
1577552,2026-03-26,BABA,Yu Siying,isOfficer,0002114147-26-000005,2026-03-25,M,25336,,599701,D,non_derivative,Ordinary Shares,,,,
1577552,2026-03-26,BABA,Yu Siying,isOfficer,0002114147-26-000005,2026-03-25,S,21472,16.06,600503,D,non_derivative,Ordinary Shares,,,,
1577552,2026-03-26,BABA,Yu Siying,isOfficer,0002114147-26-000005,2026-03-25,M,25336,0.0,0,D,derivative,Restricted Share Units,Ordinary Shares,25336.0,,
1577552,2026-03-26,BABA,Jiang Fang,isOfficer,0002114927-26-000005,2026-03-25,S,16848,16.1,5554653,D,non_derivative,Ordinary Shares,,,,
1577552,2026-04-03,BABA,EVANS J. MICHAEL,"isDirector,isOfficer",0001193125-26-141219,2026-04-01,M,12000,0.0,0,D,derivative,Restricted Share Units,Ordinary Shares,12000.0,,
1577552,2026-04-03,BABA,Tsai Joseph C,isDirector,0001193125-26-141217,2026-04-01,M,3333,,814405,D,,,,,,
1577552,2026-04-03,BABA,Wu Yongming,"isDirector,isOfficer",0001193125-26-141211,2026-04-01,M,13333,,973085,D,,,,,,
1577552,2026-04-03,BABA,Tsai Joseph C,isDirector,0001193125-26-141217,2026-04-01,M,3333,0.0,66667,D,derivative,Restricted Share Units,Ordinary Shares,3333.0,,
1577552,2026-04-03,BABA,Wu Yongming,"isDirector,isOfficer",0001193125-26-141211,2026-04-01,M,13333,0.0,266667,D,derivative,Restricted Share Units,Ordinary Shares,13333.0,,
1577552,2026-04-03,BABA,Wu Yongming,"isDirector,isOfficer",0001193125-26-141211,2026-04-01,M,13333,,973085,D,non_derivative,Ordinary Shares,,,,
1577552,2026-04-03,BABA,Wu Maggie Wei,isDirector,0001193125-26-141214,2026-04-01,M,33344,,3646696,D,,,,,,
1577552,2026-04-03,BABA,Tsai Joseph C,isDirector,0001193125-26-141217,2026-04-01,M,3333,,814405,D,non_derivative,Ordinary Shares,,,,
1577552,2026-04-03,BABA,EVANS J. MICHAEL,"isDirector,isOfficer",0001193125-26-141219,2026-04-01,M,12000,,12000,D,non_derivative,Ordinary Shares,,,,
1577552,2026-04-03,BABA,Wu Maggie Wei,isDirector,0001193125-26-141214,2026-04-01,M,33344,0.0,0,D,derivative,Restricted Share Units,Ordinary Shares,33344.0,,
1577552,2026-04-03,BABA,EVANS J. MICHAEL,"isDirector,isOfficer",0001193125-26-141219,2026-04-01,M,12000,,12000,D,,,,,,
1577552,2026-04-03,BABA,Wu Maggie Wei,isDirector,0001193125-26-141214,2026-04-01,M,33344,,3646696,D,non_derivative,Ordinary Shares,,,,
