cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
9389,2017-12-05,BLL,HOOVER R DAVID,,0001127602-17-033890,2017-12-04,G,65210.0,40.65,0.0,I,,,,,,
9389,2017-12-07,BLL,HAYES JOHN A,,0001127602-17-034152,2017-12-06,S,5041.0,40.7418,408450.9482,D,,,,,,
9389,2017-12-07,BLL,HAYES JOHN A,,0001127602-17-034152,2017-12-07,G,13562.0,40.72,147782.0,I,,,,,,
9389,2017-12-07,BLL,HOOVER R DAVID,,0001127602-17-034108,2017-12-06,G,26500.0,40.89,770636.0,I,,,,,,
9389,2017-12-07,BLL,MORRISON SCOTT C,,0001127602-17-034106,2017-12-06,G,2500.0,40.68,389827.8553,D,,,,,,
9389,2017-12-08,BLL,Pauley Lisa Ann,,0001127602-17-034205,2017-12-06,M,5440.0,40.81,114362.6283,D,,,,,,
9389,2017-12-08,BLL,Pauley Lisa Ann,,0001127602-17-034205,2017-12-06,F,1670.0,40.81,112692.6283,D,,,,,,
9389,2017-12-15,BLL,Fisher Daniel William,,0001127602-17-034753,2017-12-14,M,3600.0,22.965,13444.0,D,,,,,,
9389,2017-12-15,BLL,Fisher Daniel William,,0001127602-17-034753,2017-12-14,F,2620.0,38.29,10824.0,D,,,,,,
9389,2017-12-18,BLL,Peterson James N,,0001127602-17-034926,2017-12-15,M,2000.0,39.4,39997.123,D,,,,,,
9389,2017-12-18,BLL,Peterson James N,,0001127602-17-034926,2017-12-15,F,640.0,39.4,39357.123,D,,,,,,
9389,2017-12-20,BLL,HOOVER R DAVID,,0001127602-17-035278,2017-12-18,G,8000.0,39.15,762636.0,I,,,,,,
9389,2017-12-21,BLL,Peterson James N,,0001127602-17-035376,2017-12-20,S,1349.0,38.05,38008.123,D,,,,,,
9389,2017-12-22,BLL,Fisher Daniel William,,0001127602-17-035437,2017-12-19,S,300.0,38.48,10524.0,D,,,,,,
9389,2018-01-03,BLL,HAYES JOHN A,,0001127602-18-000384,2018-01-02,M,15100.0,12.528,407025.0491,D,,,,,,
9389,2018-01-03,BLL,HAYES JOHN A,,0001127602-18-000384,2018-01-02,F,8318.0,38.63,398707.0491,D,,,,,,
9389,2018-01-05,BLL,HAYES JOHN A,,0001127602-18-001271,2018-01-05,S,222.0,38.61,398485.0491,D,,,,,,
9389,2018-01-16,BLL,Fisher Daniel William,,0001127602-18-001811,2018-01-12,F,275.0,37.9,9569.0,D,,,,,,
9389,2018-01-16,BLL,Fisher Daniel William,,0001127602-18-001811,2018-01-12,M,800.0,37.9,10369.0,D,,,,,,
9389,2018-01-17,BLL,MORRISON SCOTT C,,0001127602-18-001909,2018-01-16,M,5267.0,10.02,395319.2432,D,,,,,,
9389,2018-01-17,BLL,MORRISON SCOTT C,,0001127602-18-001909,2018-01-16,F,2676.0,38.39,392643.2432,D,,,,,,
9389,2018-01-19,BLL,MORRISON SCOTT C,,0001127602-18-002171,2018-01-19,S,2591.0,38.6202,390052.2432,D,,,,,,
9389,2018-02-01,BLL,Peterson James N,,0001127602-18-003369,2018-01-31,M,6288.0,38.28,44319.2905,D,,,,,,
9389,2018-02-01,BLL,Peterson James N,,0001127602-18-003369,2018-01-31,F,1915.0,38.28,42404.2905,D,,,,,,
9389,2018-02-01,BLL,MORRISON SCOTT C,,0001127602-18-003324,2018-01-31,M,22676.0,38.28,412728.2432,D,,,,,,
9389,2018-02-01,BLL,BAKER CHARLES E,,0001127602-18-003352,2018-01-31,F,2270.0,38.28,159173.5239,D,,,,,,
