cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
10456,2016-02-02,BXLT,BAXTER INTERNATIONAL INC,,0000899243-16-012534,2016-02-02,J,37573040,,94329679.0,D,,,,,,
10456,2016-02-16,BAX,STORM KORNELIS J.,,0001228779-16-000003,2016-02-11,M,5660,20.96,24851.0,D,,,,,,
10456,2016-02-16,BAX,STORM KORNELIS J.,,0001228779-16-000003,2016-02-11,S,5660,35.98,19191.0,D,,,,,,
10456,2016-02-18,BAX,Vibert Paul,,0001645277-16-000003,2016-02-16,A,355,0.0,48802.0,D,,,,,,
10456,2016-02-18,BAX,Scharf David P.,,0001471608-16-000004,2016-02-16,A,3745,0.0,101776.0,D,,,,,,
10456,2016-02-18,BAX,Scharf David P.,,0001471608-16-000004,2016-02-16,F,5294,37.41,96482.0,D,,,,,,
10456,2016-02-18,BAX,Schabacker Marcus,,0001645282-16-000004,2016-02-16,A,609,0.0,31273.0,D,,,,,,
10456,2016-02-18,BAX,Schabacker Marcus,,0001645282-16-000004,2016-02-16,F,658,37.41,30615.0,D,,,,,,
10456,2016-02-18,BAX,Schaaf Jill M,,0001645280-16-000003,2016-02-16,A,463,0.0,50566.0,D,,,,,,
10456,2016-02-18,BAX,Schaaf Jill M,,0001645280-16-000003,2016-02-16,F,519,37.41,50047.0,D,,,,,,
10456,2016-02-18,BAX,Mason Jeanne K,,0001362109-16-000004,2016-02-16,A,2675,0.0,97704.0,D,,,,,,
10456,2016-02-18,BAX,HELLMAN PETER S,,0001107468-16-000003,2016-02-17,S,5660,38.35,17520.0,D,,,,,,
10456,2016-02-18,BAX,Mason Jeanne K,,0001362109-16-000004,2016-02-16,F,2634,37.41,95070.0,D,,,,,,
10456,2016-02-18,BAX,Lawrence Timothy P,,0001645482-16-000003,2016-02-16,F,497,37.41,35194.0,D,,,,,,
10456,2016-02-18,BAX,Felicelli Robert,,0001645279-16-000017,2016-02-16,A,249,0.0,21585.0,D,,,,,,
10456,2016-02-18,BAX,Felicelli Robert,,0001645279-16-000017,2016-02-16,F,280,37.41,21305.0,D,,,,,,
10456,2016-02-18,BAX,Eyre Brik V,,0001645572-16-000004,2016-02-16,A,441,0.0,40212.0,D,,,,,,
10456,2016-02-18,BAX,Eyre Brik V,,0001645572-16-000004,2016-02-16,F,496,37.41,39716.0,D,,,,,,
10456,2016-02-18,BAX,Bufalino Sebastian J,,0001570527-16-000006,2016-02-16,A,714,0.0,20368.0,D,,,,,,
10456,2016-02-18,BAX,Bufalino Sebastian J,,0001570527-16-000006,2016-02-16,F,793,37.41,19575.0,D,,,,,,
10456,2016-02-18,BAX,HELLMAN PETER S,,0001107468-16-000003,2016-02-17,M,5660,20.96,23180.0,D,,,,,,
10456,2016-02-18,BAX,Lawrence Timothy P,,0001645482-16-000003,2016-02-16,A,441,0.0,35691.0,D,,,,,,
10456,2016-03-03,BAX,Schaaf Jill M,,0001645280-16-000004,2016-03-01,F,844,39.98,49649.0,D,,,,,,
