cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
12927,2018-10-31,BA,Sands Diana L,,0001225208-18-015008,2018-10-29,S,5000.0,350.07,18755.72,D,,,,,,
12927,2018-11-13,BA,RAMOS JENETTE E,,0001225208-18-015470,2018-11-09,M,1640.0,75.965,10729.35,D,,,,,,
12927,2018-11-13,BA,RAMOS JENETTE E,,0001225208-18-015470,2018-11-09,S,1640.0,367.52,9089.35,D,,,,,,
12927,2018-11-26,BA,McAllister Kevin G,,0001225208-18-015876,2018-11-21,F,8199.01,321.23,135100.68,D,,,,,,
12927,2019-02-06,BA,KEATING TIMOTHY JOHN,,0001225208-19-001880,2019-02-04,M,26557.0,75.965,96392.45,D,,,,,,
12927,2019-02-06,BA,KEATING TIMOTHY JOHN,,0001225208-19-001880,2019-02-04,S,7927.0,396.12,88465.45,D,,,,,,
12927,2019-02-06,BA,Muilenburg Dennis A,,0001225208-19-001879,2019-02-04,G,7740.0,0.0,122900.35,D,,,,,,
12927,2019-02-12,BA,COLBERT THEODORE III,,0001225208-19-002328,2019-02-11,S,2137.0,408.85,56138.29,D,,,,,,
12927,2019-02-12,BA,LUTTIG J MICHAEL,,0001225208-19-002329,2018-10-29,G,12346.0,0.0,15959.67,D,,,,,,
12927,2019-02-12,BA,COLBERT THEODORE III,,0001225208-19-002328,2019-02-11,M,2137.0,75.965,58275.29,D,,,,,,
12927,2019-02-12,BA,LUTTIG J MICHAEL,,0001225208-19-002329,2019-02-12,S,1400.0,410.95,10946.0,I,,,,,,
12927,2019-02-12,BA,COLBERT THEODORE III,,0001225208-19-002328,2019-02-12,G,830.0,0.0,55308.29,D,,,,,,
12927,2019-02-12,BA,Smith Gregory D,,0001225208-19-002319,2019-02-08,M,19500.0,75.965,160197.85,D,,,,,,
12927,2019-02-12,BA,Smith Gregory D,,0001225208-19-002319,2019-02-08,S,19500.0,401.38,140697.85,D,,,,,,
12927,2019-02-12,BA,McAllister Kevin G,,0001225208-19-002320,2019-02-08,S,12637.0,398.27,123207.35,D,,,,,,
12927,2019-02-15,BA,CAPOZZI HEIDI B,,0001225208-19-002799,2019-02-13,M,2916.0,75.965,27706.53,D,,,,,,
12927,2019-02-15,BA,CAPOZZI HEIDI B,,0001225208-19-002799,2019-02-13,S,2916.0,410.84,24790.53,D,,,,,,
12927,2019-02-26,BA,Smith Gregory D,,0001225208-19-003811,2019-02-24,A,9034.84,0.0,146294.31,D,,,,,,
12927,2019-02-26,BA,Smith Gregory D,,0001225208-19-003811,2019-02-24,F,4002.84,421.81,142291.47,D,,,,,,
12927,2019-02-26,BA,Sands Diana L,,0001225208-19-003810,2019-02-22,F,849.53,421.81,17963.64,D,,,,,,
12927,2019-02-26,BA,Verbeck Robert E,,0001225208-19-003812,2019-02-22,F,2961.5,421.81,6663.46,D,,,,,,
12927,2019-02-26,BA,Verbeck Robert E,,0001225208-19-003812,2019-02-24,A,2466.01,0.0,9129.47,D,,,,,,
12927,2019-02-26,BA,Verbeck Robert E,,0001225208-19-003812,2019-02-24,F,1093.01,421.81,8036.46,D,,,,,,
12927,2019-02-26,BA,Smith Gregory D,,0001225208-19-003811,2019-02-22,F,3438.38,421.81,137259.47,D,,,,,,
12927,2019-02-26,BA,Sands Diana L,,0001225208-19-003810,2019-02-24,F,1398.48,421.81,19720.64,D,,,,,,
12927,2019-02-26,BA,KEATING TIMOTHY JOHN,,0001225208-19-003806,2019-02-22,F,1790.87,421.81,68044.58,D,,,,,,
12927,2019-02-26,BA,RAMOS JENETTE E,,0001225208-19-003809,2019-02-24,A,1586.95,0.0,10366.29,D,,,,,,
12927,2019-02-26,BA,RAMOS JENETTE E,,0001225208-19-003809,2019-02-24,F,473.95,421.81,9892.34,D,,,,,,
12927,2019-02-26,BA,Muilenburg Dennis A,,0001225208-19-003808,2019-02-24,A,27635.92,0.0,140377.15,D,,,,,,
