cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
10795,2017-05-26,BDX,SHERMAN JEFFREY S,,0001543407-17-000023,2017-05-25,M,48727,76.18,70821,D,,,,,,
10795,2017-05-26,BDX,SHERMAN JEFFREY S,,0001543407-17-000023,2017-05-25,D,19962,185.98,50859,D,,,,,,
10795,2017-05-26,BDX,SHERMAN JEFFREY S,,0001543407-17-000023,2017-05-25,S,28765,185.98,22094,D,,,,,,
10795,2017-08-10,BDX,Polen Thomas E Jr,,0001543407-17-000027,2017-08-09,M,3652,76.18,12861,D,,,,,,
10795,2017-08-10,BDX,Polen Thomas E Jr,,0001543407-17-000027,2017-08-09,D,1410,197.41,11451,D,,,,,,
10795,2017-08-10,BDX,Polen Thomas E Jr,,0001543407-17-000027,2017-08-09,S,2242,197.41,9209,D,,,,,,
10795,2017-08-11,BDX,Strahlman Ellen R,,0001543407-17-000028,2017-08-10,M,20601,108.89,26638,D,,,,,,
10795,2017-08-11,BDX,Strahlman Ellen R,,0001543407-17-000028,2017-08-10,D,11318,198.21,15320,D,,,,,,
10795,2017-08-11,BDX,Strahlman Ellen R,,0001543407-17-000028,2017-08-10,S,9283,198.21,6037,D,,,,,,
10795,2017-08-14,BDX,Mas Ribo Alberto,,0001543407-17-000029,2017-08-14,M,12003,76.18,29323,D,,,,,,
10795,2017-08-14,BDX,Mas Ribo Alberto,,0001543407-17-000029,2017-08-14,D,4540,201.41,24783,D,,,,,,
10795,2017-08-14,BDX,Mas Ribo Alberto,,0001543407-17-000029,2017-08-14,S,7463,201.41,17320,D,,,,,,
10795,2017-08-16,BDX,Shabshab Nabil,,0001543407-17-000030,2017-08-14,D,4650,201.22,10998,D,,,,,,
10795,2017-08-16,BDX,Shabshab Nabil,,0001543407-17-000030,2017-08-14,M,6944,134.73,15648,D,,,,,,
10795,2017-08-16,BDX,Shabshab Nabil,,0001543407-17-000030,2017-08-15,S,2865,202.37,5839,D,,,,,,
10795,2017-08-16,BDX,Shabshab Nabil,,0001543407-17-000030,2017-08-14,S,2294,201.22,8704,D,,,,,,
10795,2017-08-23,BDX,Tharby Linda M,,0001543407-17-000032,2017-08-22,M,7333,72.12,18670,D,,,,,,
10795,2017-08-23,BDX,Tharby Linda M,,0001543407-17-000032,2017-08-22,D,2638,200.48,16032,D,,,,,,
10795,2017-08-23,BDX,Tharby Linda M,,0001543407-17-000032,2017-08-22,S,4695,200.48,11337,D,,,,,,
10795,2017-08-23,BDX,COHEN GARY M,,0001543407-17-000031,2017-08-22,M,23500,72.12,95270,D,,,,,,
10795,2017-08-23,BDX,COHEN GARY M,,0001543407-17-000031,2017-08-22,D,8456,200.43,86814,D,,,,,,
10795,2017-08-23,BDX,COHEN GARY M,,0001543407-17-000031,2017-08-22,S,15044,200.43,71770,D,,,,,,
10795,2017-09-11,BDX,COHEN GARY M,,0001543407-17-000035,2017-09-11,D,8499,203.77,87282,D,,,,,,
10795,2017-09-11,BDX,COHEN GARY M,,0001543407-17-000035,2017-09-11,M,24011,72.12,95781,D,,,,,,
10795,2017-09-11,BDX,COHEN GARY M,,0001543407-17-000035,2017-09-11,S,15512,203.77,71770,D,,,,,,
10795,2017-09-11,BDX,Sichak Stephen,,0001543407-17-000034,2017-09-08,M,6085,76.18,14038,D,,,,,,
10795,2017-09-11,BDX,Sichak Stephen,,0001543407-17-000034,2017-09-08,D,2313,200.46,11725,D,,,,,,
10795,2017-09-11,BDX,Lim James C,,0001543407-17-000033,2017-09-08,S,3500,204.06,14135,D,,,,,,
10795,2017-09-11,BDX,Sichak Stephen,,0001543407-17-000034,2017-09-08,S,3772,200.46,7953,D,,,,,,
10795,2017-11-27,BDX,Gallagher John E,,0001543407-17-000044,2017-11-25,A,1483,0.0,4144,D,,,,,,
