cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1996862,2023-12-05,BG,Hees Bernardo,,0001996862-23-000047,2023-12-01,A,13,109.6875,10867.0,D,,,,,,
1996862,2023-12-05,BG,McGurk Monica Houle,,0001996862-23-000044,2023-12-01,A,13,109.6875,2269.0,D,non_derivative,Common Stock,,,,
1996862,2023-12-05,BG,Neppl John W,,0001996862-23-000043,2023-12-01,A,183,109.6875,81570.0,D,non_derivative,Common Stock,,,,
1996862,2023-12-05,BG,Simmons Jerry Matthews JR,,0001996862-23-000042,2023-12-01,A,59,109.6875,43002.0,D,non_derivative,Common Stock,,,,
1996862,2023-12-05,BG,Bair Sheila Colleen,,0001996862-23-000041,2023-12-01,A,13,109.6875,11367.0,D,non_derivative,Common Stock,,,,
1996862,2023-12-05,BG,Bair Sheila Colleen,,0001996862-23-000041,2023-12-01,A,13,109.6875,11367.0,D,,,,,,
1996862,2023-12-05,BG,Neppl John W,,0001996862-23-000043,2023-12-01,A,183,109.6875,81570.0,D,,,,,,
1996862,2023-12-05,BG,Dimopoulos Christos,,0001996862-23-000045,2023-12-01,A,127,109.6875,73538.808,D,non_derivative,Common Stock,,,,
1996862,2023-12-05,BG,McGurk Monica Houle,,0001996862-23-000044,2023-12-01,A,13,109.6875,2269.0,D,,,,,,
1996862,2023-12-05,BG,Hees Bernardo,,0001996862-23-000047,2023-12-01,A,13,109.6875,10867.0,D,non_derivative,Common Stock,,,,
1996862,2023-12-05,BG,WINSHIP HENRY WARD IV,,0001996862-23-000040,2023-12-01,A,13,109.6875,29653.7968,D,non_derivative,Common Stock,,,,
1996862,2023-12-05,BG,Browner Carol M.,,0001996862-23-000034,2023-12-01,A,13,109.6875,25796.0,D,non_derivative,Common Stock,,,,
1996862,2023-12-05,BG,Simril Kenneth,,0001996862-23-000033,2023-12-01,A,13,109.6875,4995.0,D,non_derivative,Common Stock,,,,
1996862,2023-12-05,BG,Lustosa de Andrade Eliane Aleixo,,0001996862-23-000032,2023-12-01,A,13,109.6875,2904.0,D,non_derivative,Common Stock,,,,
1996862,2023-12-05,BG,Garros Julio,,0001996862-23-000031,2023-12-01,A,114,109.6875,72402.321,D,non_derivative,Common Stock,,,,
1996862,2023-12-05,BG,Buettner Aaron,,0001996862-23-000037,2023-12-01,A,84,109.6875,46220.288,D,non_derivative,Common Stock,,,,
1996862,2023-12-05,BG,Podwika Joseph,,0001996862-23-000039,2023-12-01,A,112,109.6875,52197.0,D,,,,,,
1996862,2023-12-05,BG,Podwika Joseph,,0001996862-23-000039,2023-12-01,A,112,109.6875,52197.0,D,non_derivative,Common Stock,,,,
1996862,2023-12-05,BG,WINSHIP HENRY WARD IV,,0001996862-23-000040,2023-12-01,A,13,109.6875,29653.7968,D,,,,,,
1996862,2023-12-05,BG,Simril Kenneth,,0001996862-23-000033,2023-12-01,A,13,109.6875,4995.0,D,,,,,,
1996862,2023-12-05,BG,Browner Carol M.,,0001996862-23-000034,2023-12-01,A,13,109.6875,25796.0,D,,,,,,
1996862,2023-12-05,BG,HECKMAN GREGORY A,,0001996862-23-000035,2023-12-01,A,828,109.6875,249301.0,D,,,,,,
1996862,2023-12-05,BG,Kobori Michael,,0001996862-23-000036,2023-12-01,A,13,109.6875,4995.0,D,,,,,,
