cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
875045,2016-02-02,BIIB,DiPietro Kenneth,,0001127602-16-039046,2016-02-01,M,2466,273.45,2466.0,D,,,,,,
875045,2016-02-02,BIIB,DiPietro Kenneth,,0001127602-16-039046,2016-02-01,F,812,273.45,1654.0,D,,,,,,
875045,2016-02-09,BIIB,ALEXANDER SUSAN H,,0001127602-16-040242,2016-02-08,M,2498,0.0,30365.0,D,,,,,,
875045,2016-02-09,BIIB,ALEXANDER SUSAN H,,0001127602-16-040242,2016-02-08,F,822,250.77,29543.0,D,,,,,,
875045,2016-02-09,BIIB,Clancy Paul J,,0001127602-16-040240,2016-02-08,M,3194,0.0,25451.0,D,,,,,,
875045,2016-02-09,BIIB,Clancy Paul J,,0001127602-16-040240,2016-02-08,F,1047,250.77,24404.0,D,,,,,,
875045,2016-02-09,BIIB,Cox John,,0001127602-16-040239,2016-02-08,M,4026,0.0,29666.3895,D,,,,,,
875045,2016-02-09,BIIB,Cox John,,0001127602-16-040239,2016-02-08,F,1324,250.77,28342.3895,D,,,,,,
875045,2016-02-09,BIIB,Holtzman Steven H,,0001127602-16-040238,2016-02-08,M,2709,0.0,7030.0,D,,,,,,
875045,2016-02-09,BIIB,Holtzman Steven H,,0001127602-16-040238,2016-02-08,F,890,250.77,6140.0,D,,,,,,
875045,2016-02-10,BIIB,Sandrock Alfred,,0001127602-16-040394,2016-02-09,S,852,246.54,7740.0,D,,,,,,
875045,2016-02-10,BIIB,Sandrock Alfred,,0001127602-16-040394,2016-02-08,F,426,250.77,8592.0,D,,,,,,
875045,2016-02-10,BIIB,SCANGOS GEORGE A,,0001127602-16-040395,2016-02-09,F,5305,249.99,47059.0,D,,,,,,
875045,2016-02-10,BIIB,SCANGOS GEORGE A,,0001127602-16-040395,2016-02-09,M,11274,0.0,52364.0,D,,,,,,
875045,2016-02-10,BIIB,Sandrock Alfred,,0001127602-16-040394,2016-02-08,M,1278,0.0,9018.0,D,,,,,,
875045,2016-02-17,BIIB,Artavanis-Tsakonas Spyridon,,0001127602-16-041950,2016-02-12,M,343,0.0,2090.112,D,,,,,,
875045,2016-02-17,BIIB,Holtzman Steven H,,0001127602-16-041954,2016-02-12,F,495,247.22,6697.0,D,,,,,,
875045,2016-02-17,BIIB,ALEXANDER SUSAN H,,0001127602-16-041952,2016-02-12,M,1147,0.0,30690.0,D,,,,,,
875045,2016-02-17,BIIB,Sandrock Alfred,,0001127602-16-041955,2016-02-12,M,1434,0.0,8546.0,D,,,,,,
