cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
14272,2019-02-05,BMY,BOERNER CHRISTOPHER S.,,0000014272-19-000041,2019-02-02,M,4465.0,0.0,4465.0,D,,,,,,
14272,2019-02-05,BMY,BOERNER CHRISTOPHER S.,,0000014272-19-000041,2019-02-02,F,1591.0,49.89,2874.0,D,,,,,,
14272,2019-03-04,BMY,LEUNG SANDRA,,0000014272-19-000051,2019-02-28,M,169893.0,17.51,634478.333,D,,,,,,
14272,2019-03-04,BMY,LEUNG SANDRA,,0000014272-19-000051,2019-02-28,F,109854.0,51.86,524624.333,D,,,,,,
14272,2019-03-04,BMY,Bancroft Charles A,,0000014272-19-000050,2019-02-28,M,52884.0,17.51,392690.283,D,,,,,,
14272,2019-03-04,BMY,Bancroft Charles A,,0000014272-19-000050,2019-02-28,F,29813.0,51.93,362877.283,D,,,,,,
14272,2019-03-13,BMY,Dubow Adam,,0000014272-19-000081,2019-03-10,J,61.0,0.0,15465.152,D,,,,,,
14272,2019-03-13,BMY,Dubow Adam,,0000014272-19-000081,2019-03-10,F,84.0,51.39,15381.152,D,,,,,,
14272,2019-03-13,BMY,BOERNER CHRISTOPHER S.,,0000014272-19-000080,2019-03-10,M,1247.0,0.0,4121.0,D,,,,,,
14272,2019-03-13,BMY,BOERNER CHRISTOPHER S.,,0000014272-19-000080,2019-03-10,J,303.0,0.0,3818.0,D,,,,,,
14272,2019-03-13,BMY,Caforio Giovanni,,0000014272-19-000079,2019-03-10,F,3006.0,51.39,292317.333,D,,,,,,
14272,2019-03-13,BMY,Biondi Paul,,0000014272-19-000078,2019-03-10,J,129.0,0.0,1560.0,D,,,,,,
14272,2019-03-13,BMY,Bancroft Charles A,,0000014272-19-000077,2019-03-10,M,5890.0,0.0,368767.283,D,,,,,,
14272,2019-03-13,BMY,Bancroft Charles A,,0000014272-19-000077,2019-03-10,F,2001.0,51.39,365592.283,D,,,,,,
14272,2019-03-13,BMY,Biondi Paul,,0000014272-19-000078,2019-03-10,M,648.0,0.0,1689.0,D,,,,,,
14272,2019-03-13,BMY,Dubow Adam,,0000014272-19-000081,2019-03-10,M,304.0,0.0,15526.152,D,,,,,,
14272,2019-03-13,BMY,Biondi Paul,,0000014272-19-000078,2019-03-10,F,208.0,51.39,1352.0,D,,,,,,
14272,2019-03-13,BMY,Caforio Giovanni,,0000014272-19-000079,2019-03-10,M,7052.0,0.0,296728.333,D,,,,,,
14272,2019-03-13,BMY,BOERNER CHRISTOPHER S.,,0000014272-19-000080,2019-03-10,F,519.0,51.39,3299.0,D,,,,,,
14272,2019-03-13,BMY,Elicker John E,,0000014272-19-000082,2019-03-10,M,1277.0,0.0,82244.583,D,,,,,,
14272,2019-03-13,BMY,Caforio Giovanni,,0000014272-19-000079,2019-03-10,J,1405.0,0.0,295323.333,D,,,,,,
14272,2019-03-13,BMY,Elicker John E,,0000014272-19-000082,2019-03-10,J,255.0,0.0,81989.583,D,,,,,,
14272,2019-03-13,BMY,Bancroft Charles A,,0000014272-19-000077,2019-03-10,J,1174.0,0.0,367593.283,D,,,,,,
14272,2019-03-13,BMY,Elicker John E,,0000014272-19-000082,2019-03-10,F,281.0,51.39,81708.583,D,,,,,,
14272,2019-03-13,BMY,von Autenried Paul,,0000014272-19-000076,2019-03-10,M,2053.0,0.0,127317.066,D,,,,,,
