cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1067983,2016-05-03,VRSN,BERKSHIRE HATHAWAY INC,,0001209191-16-117169,2016-04-29,S,12900,87.587,12972100,I,,,,,,
1067983,2016-05-23,PSX,BERKSHIRE HATHAWAY INC,,0001209191-16-122758,2016-05-19,P,181789,77.4561,75732534,I,,,,,,
1067983,2016-05-23,PSX,BERKSHIRE HATHAWAY INC,,0001209191-16-122758,2016-05-20,P,257248,77.9169,75997182,I,,,,,,
1067983,2016-05-23,PSX,BERKSHIRE HATHAWAY INC,,0001209191-16-122758,2016-05-23,P,369778,77.8526,76366960,I,,,,,,
1067983,2016-05-26,PSX,BERKSHIRE HATHAWAY INC,,0001209191-16-123807,2016-05-24,P,70639,79.1015,76446014,I,,,,,,
1067983,2016-05-26,PSX,BERKSHIRE HATHAWAY INC,,0001209191-16-123807,2016-05-25,P,203613,79.9719,76649627,I,,,,,,
1067983,2016-05-26,PSX,BERKSHIRE HATHAWAY INC,,0001209191-16-123807,2016-05-26,P,368021,79.7626,77017648,I,,,,,,
1067983,2016-06-01,PSX,BERKSHIRE HATHAWAY INC,,0001209191-16-124866,2016-05-27,P,45716,80.1583,77063364,I,,,,,,
1067983,2016-06-01,PSX,BERKSHIRE HATHAWAY INC,,0001209191-16-124866,2016-05-31,P,362792,80.1445,77426156,I,,,,,,
1067983,2016-06-01,PSX,BERKSHIRE HATHAWAY INC,,0001209191-16-124866,2016-06-01,P,129460,79.7444,77555616,I,,,,,,
1067983,2016-06-07,PSX,BERKSHIRE HATHAWAY INC,,0001209191-16-126374,2016-06-03,P,281608,79.9059,77837224,I,,,,,,
1067983,2016-06-07,PSX,BERKSHIRE HATHAWAY INC,,0001209191-16-126374,2016-06-06,P,180486,80.5919,78017710,I,,,,,,
1067983,2016-06-07,PSX,BERKSHIRE HATHAWAY INC,,0001209191-16-126374,2016-06-07,P,7510,80.7135,78025220,I,,,,,,
1067983,2016-06-14,PSX,BERKSHIRE HATHAWAY INC,,0001209191-16-127872,2016-06-10,P,339627,80.0437,78364847,I,,,,,,
1067983,2016-06-14,PSX,BERKSHIRE HATHAWAY INC,,0001209191-16-127872,2016-06-13,P,353222,79.1319,78718069,I,,,,,,
1067983,2016-07-14,BRK.A,BUFFETT WARREN E,,0001209191-16-132807,2016-07-13,G,14968423,0.0,4785103,D,,,,,,
1067983,2016-07-14,BRK.A,BUFFETT WARREN E,,0001209191-16-132807,2016-03-21,G,7035,0.0,121812,D,,,,,,
1067983,2016-07-14,BRK.A,BUFFETT WARREN E,,0001209191-16-132807,2016-05-09,G,6915,0.0,103526,D,,,,,,
1067983,2016-07-14,BRK.A,BUFFETT WARREN E,,0001209191-16-132807,2016-03-28,G,707,0.0,121105,D,,,,,,
1067983,2016-07-14,BRK.A,BUFFETT WARREN E,,0001209191-16-132807,2016-01-26,G,100,0.0,164785,D,,,,,,
1067983,2016-07-14,BRK.A,BUFFETT WARREN E,,0001209191-16-132807,2016-04-26,G,10464,0.0,110441,D,,,,,,
1067983,2016-07-14,BRK.A,BUFFETT WARREN E,,0001209191-16-132807,2016-04-12,G,200,0.0,120905,D,,,,,,
1067983,2016-07-14,BRK.A,BUFFETT WARREN E,,0001209191-16-132807,2016-03-10,G,35938,0.0,128847,D,,,,,,
1067983,2016-07-14,BRK.A,BUFFETT WARREN E,,0001209191-16-132807,2016-07-13,C,19650000,0.0,19753526,D,,,,,,
