cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1383312,2019-12-04,BR,Markus Maura A.,,0001225208-19-015259,2019-12-03,M,10841.0,36.35,21620.0,D,,,,,,
1383312,2019-12-04,BR,Markus Maura A.,,0001225208-19-015259,2019-12-03,S,6140.0,121.149,25582.0,D,,,,,,
1383312,2019-12-05,BR,DESCHUTTER DOUGLAS RICHARD,,0001225208-19-015288,2019-12-04,S,15000.0,121.3594,20340.8948,D,,,,,,
1383312,2019-12-16,BR,Zavery Amit,,0001225208-19-015825,2019-12-12,A,207.0,0.0,1052.0,D,,,,,,
1383312,2019-12-16,BR,WEBER ALAN J,,0001225208-19-015824,2019-12-12,A,270.0,0.0,63834.0,D,,,,,,
1383312,2019-12-16,BR,Markus Maura A.,,0001225208-19-015823,2019-12-12,A,238.0,0.0,18766.0,D,,,,,,
1383312,2020-01-06,BR,Zavery Amit,,0001225208-20-000459,2020-01-03,A,2.0,0.0,1054.0,D,,,,,,
1383312,2020-01-06,BR,WEBER ALAN J,,0001225208-20-000458,2020-01-03,A,69.0,0.0,63903.0,D,,,,,,
1383312,2020-01-06,BR,PERNA THOMAS J,,0001225208-20-000457,2020-01-03,A,69.0,0.0,28516.0,D,,,,,,
1383312,2020-01-06,BR,Markus Maura A.,,0001225208-20-000456,2020-01-03,A,43.0,0.0,18809.0,D,,,,,,
1383312,2020-01-06,BR,KELLER BRETT,,0001225208-20-000455,2020-01-03,A,22.0,0.0,5142.0,D,,,,,,
1383312,2020-01-06,BR,Duelks Robert N,,0001225208-20-000454,2020-01-03,A,69.0,0.0,18096.0,D,,,,,,
1383312,2020-01-06,BR,BRUN LESLIE A,,0001225208-20-000452,2020-01-03,A,100.0,0.0,31260.0,D,,,,,,
1383312,2020-01-06,BR,Carter Pamela L,,0001225208-20-000453,2020-01-03,A,9.0,0.0,2184.0,D,,,,,,
1383312,2020-02-07,BR,Taylor Julie R.,,0001225208-20-001796,2020-02-05,M,14789.0,51.95,26383.327,D,,,,,,
1383312,2020-02-07,BR,Taylor Julie R.,,0001225208-20-001796,2020-02-05,S,12700.0,120.4656,13683.327,D,,,,,,
1383312,2020-02-12,BR,PERRY CHRISTOPHER JOHN,,0001225208-20-002004,2020-02-11,M,10246.0,0.0,48251.528,D,,,,,,
1383312,2020-02-12,BR,PERRY CHRISTOPHER JOHN,,0001225208-20-002004,2020-02-11,F,3799.0,119.81,44452.528,D,,,,,,
1383312,2020-03-02,BR,BRUN LESLIE A,,0001225208-20-003861,2020-03-02,M,15100.0,21.94,46360.0,D,,,,,,
1383312,2020-03-02,BR,BRUN LESLIE A,,0001225208-20-003861,2020-03-02,S,4500.0,105.9176,41860.0,D,,,,,,
1383312,2020-03-03,BR,BRUN LESLIE A,,0001225208-20-004053,2020-03-03,S,6000.0,104.7697,35860.0,D,,,,,,
1383312,2020-03-06,BR,Duelks Robert N,,0001225208-20-004535,2020-03-05,S,7658.0,101.0,25538.0,D,,,,,,
1383312,2020-03-06,BR,Duelks Robert N,,0001225208-20-004535,2020-03-05,M,15100.0,21.94,33196.0,D,,,,,,
1383312,2020-03-24,BR,Zavery Amit,,0001225208-20-005519,2020-03-20,A,288.0,0.0,1343.0,D,,,,,,
1383312,2020-03-24,BR,WEBER ALAN J,,0001225208-20-005518,2020-03-20,A,345.0,0.0,64252.0,D,,,,,,
1383312,2020-03-24,BR,Markus Maura A.,,0001225208-20-005517,2020-03-20,A,305.0,0.0,19118.0,D,,,,,,
1383312,2020-03-24,BR,KELLER BRETT,,0001225208-20-005516,2020-03-20,A,305.0,0.0,5447.0,D,,,,,,
1383312,2020-04-02,BR,Young James M,,0001225208-20-005870,2020-04-01,F,6367.0,91.32,22617.0,D,,,,,,
1383312,2020-04-02,BR,Liberatore Michael,,0001225208-20-005863,2020-04-01,F,1269.0,91.32,9847.91,D,,,,,,
1383312,2020-04-02,BR,Tae Michael S,,0001225208-20-005868,2020-04-01,F,947.0,91.32,1811.0,D,,,,,,
1383312,2020-04-02,BR,Taylor Julie R.,,0001225208-20-005869,2020-04-01,F,1931.0,91.32,11752.327,D,,,,,,
1383312,2020-04-02,BR,AMSTERDAM ADAM D,,0001225208-20-005858,2020-04-01,F,2938.0,91.32,17199.3989,D,,,,,,
1383312,2020-04-02,BR,Mayadas Vijay,,0001225208-20-005865,2020-04-01,F,693.0,91.32,15258.756,D,,,,,,
1383312,2020-04-02,BR,SCHIFELLITE ROBERT,,0001225208-20-005867,2020-04-01,F,3858.0,91.32,62444.6729,D,,,,,,
1383312,2020-04-02,BR,Matlin Laura,,0001225208-20-005864,2020-04-01,F,657.0,91.32,6708.696,D,,,,,,
1383312,2020-04-02,BR,DESCHUTTER DOUGLAS RICHARD,,0001225208-20-005860,2020-04-01,F,1361.0,91.32,18979.8948,D,,,,,,
1383312,2020-04-02,BR,DALY RICHARD J,,0001225208-20-005859,2020-04-01,F,22057.0,91.32,220734.9949,D,,,,,,
1383312,2020-04-02,BR,PERRY CHRISTOPHER JOHN,,0001225208-20-005866,2020-04-01,F,2703.0,91.32,41749.528,D,,,,,,
1383312,2020-04-02,BR,Gokey Timothy C,,0001225208-20-005861,2020-04-01,F,7530.0,91.32,65082.0271,D,,,,,,
1383312,2020-04-02,BR,KALENKA ROBERT F,,0001225208-20-005862,2020-04-01,F,1366.0,91.32,26871.4097,D,,,,,,
1383312,2020-04-06,BR,KELLER BRETT,,0001225208-20-006119,2020-04-03,A,30.0,0.0,5477.0,D,,,,,,
1383312,2020-04-06,BR,BRUN LESLIE A,,0001225208-20-006116,2020-04-03,A,135.0,0.0,35995.0,D,,,,,,
1383312,2020-04-06,BR,Carter Pamela L,,0001225208-20-006117,2020-04-03,A,12.0,0.0,2196.0,D,,,,,,
1383312,2020-04-06,BR,WEBER ALAN J,,0001225208-20-006122,2020-04-03,A,94.0,0.0,64346.0,D,,,,,,
1383312,2020-04-06,BR,PERNA THOMAS J,,0001225208-20-006121,2020-04-03,A,94.0,0.0,28610.0,D,,,,,,
1383312,2020-04-06,BR,Duelks Robert N,,0001225208-20-006118,2020-04-03,A,94.0,0.0,25632.0,D,,,,,,
1383312,2020-04-06,BR,Zavery Amit,,0001225208-20-006123,2020-04-03,A,3.0,0.0,1346.0,D,,,,,,
1383312,2020-04-06,BR,Markus Maura A.,,0001225208-20-006120,2020-04-03,A,58.0,0.0,19176.0,D,,,,,,
1383312,2020-04-07,BR,Carey Thomas P,,0001225208-20-006166,2020-04-06,S,1089.0,97.1087,1952.0,D,,,,,,
1383312,2020-04-07,BR,Carey Thomas P,,0001225208-20-006166,2020-04-06,M,1051.0,0.0,3041.0,D,,,,,,
1383312,2020-05-12,BR,SCHIFELLITE ROBERT,,0001225208-20-007480,2020-05-12,S,10000.0,119.139,52444.6729,D,,,,,,
1383312,2020-05-13,BR,Young James M,,0001225208-20-007549,2020-05-12,S,15025.0,119.4565,103610.0,D,,,,,,
1383312,2020-05-13,BR,Young James M,,0001225208-20-007549,2020-05-12,M,46012.0,51.95,68629.0,D,,,,,,
1383312,2020-05-19,BR,Matlin Laura,,0001225208-20-007994,2020-05-19,M,7230.0,51.95,13938.696,D,,,,,,
1383312,2020-05-19,BR,Matlin Laura,,0001225208-20-007994,2020-05-19,S,1529.0,119.9067,14215.696,D,,,,,,
1383312,2020-05-20,BR,KALENKA ROBERT F,,0001225208-20-008051,2020-05-20,S,4000.0,121.7008,33607.4097,D,,,,,,
1383312,2020-05-20,BR,Matlin Laura,,0001225208-20-008044,2020-05-20,S,862.0,122.16,7215.696,D,,,,,,
1383312,2020-05-20,BR,Taylor Julie R.,,0001225208-20-008042,2020-05-19,S,3443.0,120.2174,8309.327,D,,,,,,
1383312,2020-05-20,BR,KALENKA ROBERT F,,0001225208-20-008051,2020-05-20,M,10736.0,51.95,37607.4097,D,,,,,,
1383312,2020-06-02,BR,Mayadas Vijay,,0001225208-20-008416,2020-06-01,S,11191.0,121.2819,17773.756,D,,,,,,
1383312,2020-06-02,BR,Mayadas Vijay,,0001225208-20-008416,2020-06-01,M,13706.0,26.0,28964.756,D,,,,,,
1383312,2020-06-02,BR,DESCHUTTER DOUGLAS RICHARD,,0001225208-20-008419,2020-06-01,S,13530.0,122.2375,22449.8948,D,,,,,,
1383312,2020-06-02,BR,DESCHUTTER DOUGLAS RICHARD,,0001225208-20-008419,2020-06-01,M,17000.0,24.25,35979.8948,D,,,,,,
1383312,2020-06-04,BR,Taylor Julie R.,,0001225208-20-008618,2020-06-03,M,12148.0,67.32,20457.327,D,,,,,,
