cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
885725,2020-02-26,BSX,Pierce David A,,0001225208-20-003570,2020-02-25,S,4122.0,41.15,32540.0,D,,,,,,
885725,2020-02-26,BSX,Ballinger Kevin J.,,0001225208-20-003559,2020-02-25,S,5658.0,41.15,95868.0,D,,,,,,
885725,2020-03-03,BSX,Scanlon Meghan,,0001225208-20-004165,2020-02-28,M,1018.0,0.0,10549.0,D,,,,,,
885725,2020-03-03,BSX,Nanavaty Maulik,,0001225208-20-004163,2020-02-28,F,808.0,37.39,266731.0,D,,,,,,
885725,2020-03-03,BSX,Mirviss Jeffrey B.,,0001225208-20-004161,2020-02-28,F,929.0,37.39,115787.0,D,,,,,,
885725,2020-03-03,BSX,Nanavaty Maulik,,0001225208-20-004163,2020-03-02,S,16763.0,37.4744,259591.0,D,,,,,,
885725,2020-03-03,BSX,Thepaut Eric Francis Yves,,0001225208-20-004167,2020-02-28,M,1833.0,0.0,92816.99,D,,,,,,
885725,2020-03-03,BSX,Monson Jonathan,,0001225208-20-004162,2020-02-28,F,241.0,37.39,33873.0,D,,,,,,
885725,2020-03-03,BSX,Pierce David A,,0001225208-20-004164,2020-02-28,M,2444.0,0.0,34984.0,D,,,,,,
885725,2020-03-03,BSX,Thepaut Eric Francis Yves,,0001225208-20-004167,2020-02-28,F,1021.0,37.39,91795.99,D,,,,,,
885725,2020-03-03,BSX,Nanavaty Maulik,,0001225208-20-004163,2020-02-28,M,1629.0,0.0,267539.0,D,,,,,,
885725,2020-03-03,BSX,Sorenson John Bradley,,0001225208-20-004166,2020-02-28,F,374.0,37.39,45671.0,D,,,,,,
885725,2020-03-03,BSX,Nanavaty Maulik,,0001225208-20-004163,2020-03-02,M,9623.0,16.31,276354.0,D,,,,,,
885725,2020-03-03,BSX,Scanlon Meghan,,0001225208-20-004165,2020-02-28,F,309.0,37.39,10240.0,D,,,,,,
885725,2020-03-03,BSX,Monson Jonathan,,0001225208-20-004162,2020-02-28,M,815.0,0.0,34114.0,D,,,,,,
885725,2020-03-03,BSX,Pierce David A,,0001225208-20-004164,2020-02-28,F,1109.0,37.39,33875.0,D,,,,,,
885725,2020-03-03,BSX,Pierce David A,,0001225208-20-004164,2020-03-02,S,3485.0,38.0,30390.0,D,,,,,,
885725,2020-03-03,BSX,Mirviss Jeffrey B.,,0001225208-20-004161,2020-02-28,M,2037.0,0.0,116716.0,D,,,,,,
885725,2020-03-03,BSX,Sorenson John Bradley,,0001225208-20-004166,2020-02-28,M,1222.0,0.0,46045.0,D,,,,,,
885725,2020-03-03,BSX,Meredith Ian T,,0001225208-20-004160,2020-02-28,M,1018.0,0.0,20254.0,D,,,,,,
885725,2020-03-03,BSX,Mackey Edward F,,0001225208-20-004158,2020-02-28,F,1109.0,37.39,55202.0,D,,,,,,
885725,2020-03-03,BSX,Carruthers Wendy,,0001225208-20-004155,2020-02-28,F,739.0,37.39,189173.0,D,,,,,,
885725,2020-03-03,BSX,Mackey Edward F,,0001225208-20-004158,2020-03-02,F,8720.0,38.27,65709.0,D,,,,,,
885725,2020-03-03,BSX,Butcher Arthur C,,0001225208-20-004154,2020-02-28,F,694.0,37.39,28345.0,D,,,,,,
885725,2020-03-03,BSX,Meredith Ian T,,0001225208-20-004160,2020-02-28,F,309.0,37.39,19945.0,D,,,,,,
