cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
23217,2015-12-29,CAG,Johri Rajive,,0001209191-15-087304,2015-12-24,M,6750.0,16.8,38319.0,D,,,,,,
23217,2015-12-29,CAG,Johri Rajive,,0001209191-15-087304,2015-12-24,S,6750.0,42.207,31918.0,D,,,,,,
23217,2015-12-29,CAG,Ross Andrew George,,0001209191-15-087289,2015-12-24,M,36000.0,24.74,79281.0,D,,,,,,
23217,2015-12-29,CAG,Ross Andrew George,,0001209191-15-087289,2015-12-24,S,155292.0,42.2158,43281.0,D,,,,,,
23217,2015-12-29,CAG,MESSEL SCOTT E,,0001209191-15-087286,2015-12-24,M,30000.0,26.15,135549.0,D,,,,,,
23217,2015-12-29,CAG,MESSEL SCOTT E,,0001209191-15-087286,2015-12-24,S,30000.0,42.3207,105549.0,D,,,,,,
23217,2016-01-06,CAG,Alford Bradley A,,0001209191-16-090136,2016-01-04,A,540.0,42.16,27872.0,D,,,,,,
23217,2016-01-06,CAG,MCLEVISH TIMOTHY R,,0001209191-16-090135,2016-01-04,A,540.0,42.16,1372.0,D,,,,,,
23217,2016-01-06,CAG,BUTLER STEPHEN G,,0001209191-16-090134,2016-01-04,A,636.0,42.16,75512.0,D,,,,,,
23217,2016-01-07,CAG,MESSEL SCOTT E,,0001209191-16-090370,2016-01-05,M,10000.0,24.74,115549.0,D,,,,,,
23217,2016-01-07,CAG,MESSEL SCOTT E,,0001209191-16-090370,2016-01-05,S,10000.0,41.75,105549.0,D,,,,,,
23217,2016-01-07,CAG,MESSEL SCOTT E,,0001209191-16-090370,2016-01-06,M,40000.0,24.74,145549.0,D,,,,,,
23217,2016-01-07,CAG,MESSEL SCOTT E,,0001209191-16-090370,2016-01-06,S,40000.0,41.8956,105549.0,D,,,,,,
23217,2016-01-08,CAG,Wise Robert G,,0001209191-16-090529,2016-01-06,M,22992.0,30.89,41610.0,D,,,,,,
23217,2016-01-08,CAG,Wise Robert G,,0001209191-16-090529,2016-01-06,S,22992.0,41.9715,18618.0,D,,,,,,
