cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1639438,2023-06-22,CAVA,Amouyal Philippe,,0001628280-23-023150,2023-06-20,A,5000,0.0,5000,D,,,,,,
1639438,2023-06-22,CAVA,Xenohristos Theodoros,,0001628280-23-023139,2023-06-20,P,4500,22.0,4500,I,,,,,,
1639438,2023-06-22,CAVA,Bertram Kenneth Robert,,0001628280-23-023138,2023-01-20,J,1062,9.58,40614,D,,,,,,
1639438,2023-06-22,CAVA,SHAICH RONALD M,,0001628280-23-023141,2023-06-20,A,5000,0.0,5000,D,,,,,,
1639438,2023-06-22,CAVA,Xenohristos Theodoros,,0001628280-23-023139,2023-06-20,A,50268,0.0,50268,D,derivative,Stock Options (right to buy),Common Stock,50268.0,22.0,2033-06-14
1639438,2023-06-22,CAVA,Amouyal Philippe,,0001628280-23-023150,2023-06-20,A,5000,0.0,5000,D,non_derivative,Common Stock,,,,
1639438,2023-06-22,CAVA,SHAICH RONALD M,,0001628280-23-023141,2023-06-20,M,135462,,135462,I,,,,,,
1639438,2023-06-22,CAVA,KOCHEVAR KAREN,,0001628280-23-023140,2023-06-20,A,5000,0.0,9722,D,,,,,,
1639438,2023-06-22,CAVA,Bertram Kenneth Robert,,0001628280-23-023138,2023-04-03,A,9279,0.0,49893,D,,,,,,
1639438,2023-06-22,CAVA,Xenohristos Theodoros,,0001628280-23-023139,2023-04-03,A,6993,0.0,15612,D,,,,,,
1639438,2023-06-22,CAVA,Xenohristos Theodoros,,0001628280-23-023139,2023-05-22,A,78342,0.0,93954,D,,,,,,
1639438,2023-06-22,CAVA,Xenohristos Theodoros,,0001628280-23-023139,2023-06-20,M,455775,,549729,D,,,,,,
1639438,2023-06-22,CAVA,Xenohristos Theodoros,,0001628280-23-023139,2023-06-20,A,25568,0.0,575297,D,,,,,,
1639438,2023-06-22,CAVA,Tolivar Tricia K.,,0001628280-23-023135,2023-04-03,A,29115,0.0,29115,D,derivative,Stock Options (right to buy),Common Stock,29115.0,9.58,2033-04-03
1639438,2023-06-22,CAVA,Somers Jennifer,,0001628280-23-023136,2023-04-03,A,13317,0.0,140970,D,non_derivative,Common Stock,,,,
1639438,2023-06-22,CAVA,Tolivar Tricia K.,,0001628280-23-023135,2023-06-20,A,46022,0.0,347993,D,non_derivative,Common Stock,,,,
1639438,2023-06-22,CAVA,Tolivar Tricia K.,,0001628280-23-023135,2023-04-03,A,14121,0.0,301971,D,non_derivative,Common Stock,,,,
1639438,2023-06-22,CAVA,Tolivar Tricia K.,,0001628280-23-023135,2023-01-20,J,1857,9.58,287850,D,non_derivative,Common Stock,,,,
1639438,2023-06-22,CAVA,WHITE JAMES D,,0001628280-23-023144,2023-06-20,A,5000,0.0,5000,D,,,,,,
1639438,2023-06-22,CAVA,Bosserman David,,0001628280-23-023143,2023-06-20,A,5000,0.0,65000,D,,,,,,
1639438,2023-06-22,CAVA,SWaN Hospitality LLC,,0001209191-23-039075,2023-06-20,C,748386,0.0,0,D,derivative,Series A Preferred Stock,Common Stock,748386.0,,
1639438,2023-06-22,CAVA,Somers Jennifer,,0001628280-23-023136,2023-06-20,A,50268,0.0,50268,D,derivative,Stock Options (right to buy),Common Stock,50268.0,22.0,2033-06-14
1639438,2023-06-22,CAVA,SWaN Hospitality LLC,,0001209191-23-039075,2023-06-20,C,176979,0.0,0,D,derivative,Series D Preferred Stock,Common Stock,176979.0,,
1639438,2023-06-22,CAVA,SWaN Hospitality LLC,,0001209191-23-039075,2023-06-20,C,198912,0.0,0,D,derivative,Series C Preferred Stock,Common Stock,198912.0,,
