cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1374310,2015-12-23,CBOE,Tilly Edward T,,0001179110-15-016684,2015-12-21,S,6250,65.11,90599,D,,,,,,
1374310,2016-02-09,CBOE,Dean Alan J,,0001179110-16-018866,2016-02-05,F,2326,60.65,58995,D,,,,,,
1374310,2016-02-09,CBOE,Dean Alan J,,0001179110-16-018866,2016-02-08,S,7500,58.57,51495,D,,,,,,
1374310,2016-02-09,CBOE,Provost Edward L,,0001179110-16-018865,2016-02-05,F,2348,60.65,67590,D,,,,,,
1374310,2016-02-09,CBOE,O'Connell Gerald T,,0001179110-16-018864,2016-02-05,F,2121,60.65,69427,D,,,,,,
1374310,2016-02-09,CBOE,REYNOLDS DAVID S,,0001179110-16-018863,2016-02-05,F,574,60.65,7633,D,,,,,,
1374310,2016-02-09,CBOE,Tilly Edward T,,0001179110-16-018862,2016-02-05,F,4411,60.65,86188,D,,,,,,
1374310,2016-02-09,CBOE,Moffic-Silver Joanne,,0001179110-16-018861,2016-02-05,F,1546,60.65,60884,D,,,,,,
1374310,2016-02-23,CBOE,Tilly Edward T,,0001179110-16-019928,2016-02-19,M,5374,62.74,91562,D,,,,,,
1374310,2016-02-23,CBOE,Tilly Edward T,,0001179110-16-019928,2016-02-19,F,2122,62.74,94820,D,,,,,,
1374310,2016-02-23,CBOE,Moffic-Silver Joanne,,0001179110-16-019926,2016-02-19,M,1476,62.74,62360,D,,,,,,
1374310,2016-02-23,CBOE,Moffic-Silver Joanne,,0001179110-16-019926,2016-02-19,F,460,62.74,63218,D,,,,,,
1374310,2016-02-23,CBOE,O'Connell Gerald T,,0001179110-16-019922,2016-02-19,M,2048,62.74,71475,D,,,,,,
1374310,2016-02-23,CBOE,O'Connell Gerald T,,0001179110-16-019922,2016-02-19,F,637,62.74,72667,D,,,,,,
1374310,2016-02-23,CBOE,Dean Alan J,,0001179110-16-019920,2016-02-19,M,2337,62.74,53832,D,,,,,,
1374310,2016-02-23,CBOE,Dean Alan J,,0001179110-16-019920,2016-02-19,F,727,62.74,55192,D,,,,,,
1374310,2016-02-23,CBOE,Provost Edward L,,0001179110-16-019918,2016-02-19,M,3323,62.74,70913,D,,,,,,
1374310,2016-02-23,CBOE,Provost Edward L,,0001179110-16-019918,2016-02-19,F,1034,62.74,73443,D,,,,,,
1374310,2016-02-23,CBOE,REYNOLDS DAVID S,,0001179110-16-019914,2016-02-19,M,979,62.74,8612,D,,,,,,
1374310,2016-02-23,CBOE,REYNOLDS DAVID S,,0001179110-16-019914,2016-02-19,F,296,62.74,9220,D,,,,,,
1374310,2016-03-11,CBOE,Tilly Edward T,,0001179110-16-021581,2016-03-09,S,6250,65.39,86111,D,,,,,,
1374310,2016-03-30,CBOE,Provost Edward L,,0001179110-16-022401,2016-03-28,S,5047,65.0,67287,D,,,,,,
1374310,2016-04-05,CBOE,Dean Alan J,,0001179110-16-022771,2016-04-01,S,3047,65.12,51495,D,,,,,,
1374310,2016-04-07,CBOE,REYNOLDS DAVID S,,0001179110-16-022909,2016-04-05,S,1000,65.89,7939,D,,,,,,
1374310,2016-04-07,CBOE,REYNOLDS DAVID S,,0001179110-16-022909,2016-04-07,S,300,65.64,7636,D,,,,,,
1374310,2016-04-14,CBOE,REYNOLDS DAVID S,,0001179110-16-023065,2016-04-12,S,2500,63.93,5139,D,,,,,,
1374310,2016-04-20,CBOE,BRODSKY WILLIAM J,,0001179110-16-023233,2016-04-18,S,5000,63.87,227154,D,,,,,,
1374310,2016-05-20,CBOE,BRODSKY WILLIAM J,,0001179110-16-025249,2016-05-18,S,5000,62.71,222154,D,,,,,,
1374310,2016-05-23,CBOE,SKINNER SAMUEL K,,0001179110-16-025409,2016-05-19,A,1581,0.0,16876,D,,,,,,
