cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1138118,2016-05-17,CBG,Boze Brandon,,0001418812-16-000147,2016-05-13,A,5230.0,0.0,9119.0,D,,,,,,
1138118,2016-05-17,CBG,Boze Brandon,,0001418812-16-000147,2016-05-16,J,3889.0,0.0,5230.0,D,,,,,,
1138118,2016-05-17,CBG,FEENY CURTIS F,,0001225208-16-033573,2016-05-13,A,5230.0,0.0,42971.0,D,,,,,,
1138118,2016-05-17,CBG,FREEMAN BRADFORD M,,0001225208-16-033572,2016-05-13,A,5230.0,0.0,9119.0,D,,,,,,
1138118,2016-05-17,CBG,FREEMAN BRADFORD M,,0001225208-16-033572,2016-05-13,G,3889.0,0.0,5230.0,D,,,,,,
1138118,2016-05-17,CBG,Jenny Christopher T,,0001225208-16-033571,2016-05-13,A,5230.0,0.0,35892.0,D,,,,,,
1138118,2016-05-17,CBG,LOPEZ GERARDO I,,0001225208-16-033569,2016-05-13,A,5230.0,0.0,7624.0,D,,,,,,
1138118,2016-05-17,CBG,MALEK FREDERIC V,,0001225208-16-033568,2016-05-13,A,5230.0,0.0,262993.0,D,,,,,,
1138118,2016-05-17,CBG,Reynolds Paula Rosput,,0001225208-16-033567,2016-05-13,A,5230.0,0.0,7233.0,D,,,,,,
1138118,2016-05-17,CBG,TYSON LAURA D,,0001225208-16-033566,2016-05-13,A,5230.0,0.0,26918.0,D,,,,,,
1138118,2016-05-17,CBG,WIRTA RAYMOND E,,0001225208-16-033565,2016-05-13,A,5230.0,0.0,9119.0,D,,,,,,
1138118,2016-05-17,CBG,WIRTA RAYMOND E,,0001225208-16-033565,2016-05-13,G,3889.0,0.0,5230.0,D,,,,,,
1138118,2016-05-27,CBG,GROCH JAMES R,,0001225208-16-034138,2016-05-25,S,5000.0,30.0,10000.0,I,,,,,,
1138118,2016-06-14,CBG,GROCH JAMES R,,0001225208-16-035056,2016-06-10,S,5000.0,30.2,5000.0,I,,,,,,
