cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
896159,2017-03-02,CB,Lupica John J,,0001209191-17-016458,2017-02-28,F,1263.0,138.17,189973.2,D,,,,,,
896159,2017-03-02,CB,Lupica John J,,0001209191-17-016458,2017-03-01,M,8972.0,60.28,198945.2,D,,,,,,
896159,2017-03-02,CB,Lupica John J,,0001209191-17-016458,2017-03-01,S,8972.0,138.67,207549.2,D,,,,,,
896159,2017-03-02,CB,MEDINI PAUL BENNETT,,0001209191-17-016456,2017-02-28,F,520.0,138.17,86595.035,D,,,,,,
896159,2017-03-02,CB,Keogh John W,,0001209191-17-016451,2017-02-28,F,2163.0,138.17,243147.0,D,,,,,,
896159,2017-03-02,CB,GREENBERG EVAN G,,0001209191-17-016447,2017-02-28,F,5016.0,138.17,1438117.0,D,,,,,,
896159,2017-03-02,CB,BOROUGHS TIMOTHY ALAN,,0001209191-17-016442,2017-02-28,F,1684.0,138.17,185628.0,D,,,,,,
896159,2017-03-02,CB,BANCROFT PHILIP V,,0001209191-17-016438,2017-02-28,F,976.0,138.17,330050.0,D,,,,,,
896159,2017-03-02,CB,Andrade Juan C,,0001209191-17-016433,2017-02-28,F,1043.0,138.17,108309.0,D,,,,,,
896159,2017-03-08,CB,Lupica John J,,0001209191-17-019114,2017-03-07,M,1658.0,60.28,193207.2,D,,,,,,
896159,2017-03-15,CB,BOROUGHS TIMOTHY ALAN,,0001209191-17-020776,2017-03-15,M,19480.0,38.51,205108.0,D,,,,,,
896159,2017-03-15,CB,BOROUGHS TIMOTHY ALAN,,0001209191-17-020776,2017-03-15,S,16884.0,137.49,188224.0,D,,,,,,
896159,2017-05-22,CB,Wayland Joseph F,,0001209191-17-034184,2017-05-18,F,2662.0,138.56,71183.354,D,,,,,,
896159,2017-05-22,CB,Keogh John W,,0001209191-17-034177,2017-05-18,F,14181.0,138.56,237778.0,D,,,,,,
896159,2017-05-22,CB,BOROUGHS TIMOTHY ALAN,,0001209191-17-034175,2017-05-18,F,3074.0,138.56,182554.0,D,,,,,,
896159,2017-05-22,CB,BANCROFT PHILIP V,,0001209191-17-034172,2017-05-18,A,5290.0,,335340.0,D,,,,,,
896159,2017-05-22,CB,BANCROFT PHILIP V,,0001209191-17-034172,2017-05-18,F,7418.0,138.56,327922.0,D,,,,,,
896159,2017-05-22,CB,Andrade Juan C,,0001209191-17-034170,2017-05-18,F,3037.0,138.56,105822.0,D,,,,,,
896159,2017-05-22,CB,Lupica John J,,0001209191-17-034182,2017-05-18,F,9430.0,138.56,191124.2,D,,,,,,
896159,2017-05-22,CB,SIDWELL DAVID H,,0001209191-17-034160,2017-05-18,A,1227.0,,8613.0,D,,,,,,
896159,2017-05-22,CB,Keogh John W,,0001209191-17-034177,2017-05-18,A,8812.0,,251959.0,D,,,,,,
896159,2017-05-22,CB,SCULLY ROBERT W,,0001209191-17-034158,2017-05-18,A,2093.0,,7872.0,D,,,,,,
896159,2017-05-22,CB,Steimer Olivier,,0001209191-17-034164,2017-05-18,A,1227.0,,18798.21,D,,,,,,
896159,2017-05-22,CB,Steimer Olivier,,0001209191-17-034164,2017-05-18,F,87.0,138.56,18782.62,D,,,,,,
896159,2017-05-22,CB,Lupica John J,,0001209191-17-034182,2017-05-18,A,5362.0,,200554.2,D,,,,,,
896159,2017-05-22,CB,SIDWELL DAVID H,,0001209191-17-034160,2017-05-18,F,321.0,138.56,8292.0,D,,,,,,
896159,2017-05-22,CB,KRUMP PAUL J,,0001209191-17-034179,2017-05-18,F,1102.0,138.56,93426.0,D,,,,,,
896159,2017-05-22,CB,GREENBERG EVAN G,,0001209191-17-034168,2017-05-18,A,39964.0,,1478081.0,D,,,,,,
896159,2017-05-22,CB,GREENBERG EVAN G,,0001209191-17-034168,2017-05-18,F,57699.0,138.56,1420382.0,D,,,,,,
896159,2017-05-22,CB,ZIMMERMAN JAMES M,,0001209191-17-034166,2017-05-18,A,1227.0,,5780.0,D,,,,,,
896159,2017-05-22,CB,ZIMMERMAN JAMES M,,0001209191-17-034166,2017-05-18,F,321.0,138.56,5459.0,D,,,,,,
896159,2017-05-22,CB,SCULLY ROBERT W,,0001209191-17-034158,2017-05-18,F,521.0,138.56,7351.0,D,,,,,,
896159,2017-05-22,CB,Shasta Theodore,,0001209191-17-034156,2017-05-18,A,1227.0,,10819.0,D,,,,,,
896159,2017-05-22,CB,Shasta Theodore,,0001209191-17-034156,2017-05-18,F,321.0,138.56,10498.0,D,,,,,,
896159,2017-05-22,CB,Shanks Eugene B. JR,,0001209191-17-034154,2017-05-18,A,1227.0,,8832.0,D,,,,,,
896159,2017-05-22,CB,MULLIN LEO F,,0001209191-17-034147,2017-05-18,F,321.0,138.56,19908.2,D,,,,,,
896159,2017-05-22,CB,Ross Kimberly A.,,0001209191-17-034152,2017-05-18,A,2093.0,,7883.336,D,,,,,,
896159,2017-05-22,CB,HERNANDEZ ROBERT M,,0001209191-17-034144,2017-05-18,F,321.0,138.56,26671.344,D,,,,,,
896159,2017-05-22,CB,EDWARDSON JOHN A,,0001209191-17-034141,2017-05-18,A,2093.0,,7872.0,D,,,,,,
896159,2017-05-22,CB,EDWARDSON JOHN A,,0001209191-17-034141,2017-05-18,F,521.0,138.56,7351.0,D,,,,,,
896159,2017-05-22,CB,CONNORS MICHAEL P,,0001209191-17-034138,2017-05-18,A,1227.0,,11742.0,D,,,,,,
896159,2017-05-22,CB,BURKE SHEILA P,,0001209191-17-034128,2017-05-18,A,1227.0,,2707.0,D,,,,,,
896159,2017-05-22,CB,MULLIN LEO F,,0001209191-17-034147,2017-05-18,A,1227.0,,20113.67,D,,,,,,
896159,2017-05-22,CB,ATIEH MICHAEL G,,0001209191-17-034126,2017-05-18,A,1227.0,,39847.24,D,,,,,,
896159,2017-05-22,CB,HERNANDEZ ROBERT M,,0001209191-17-034144,2017-05-18,A,1227.0,,26475.074,D,,,,,,
896159,2017-05-22,CB,CASH JAMES I,,0001209191-17-034131,2017-05-18,F,321.0,138.56,2188.0,D,,,,,,
896159,2017-05-22,CB,Shanks Eugene B. JR,,0001209191-17-034154,2017-05-18,F,321.0,138.56,8511.0,D,,,,,,
896159,2017-05-22,CB,BURKE SHEILA P,,0001209191-17-034128,2017-05-18,F,321.0,138.56,2386.0,D,,,,,,
896159,2017-05-22,CB,Ross Kimberly A.,,0001209191-17-034152,2017-05-18,F,521.0,138.56,7362.336,D,,,,,,
896159,2017-05-22,CB,ATIEH MICHAEL G,,0001209191-17-034126,2017-05-18,F,321.0,138.56,39870.14,D,,,,,,
