cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1051470,2015-12-18,CCI,Young James D,,0001051470-15-000139,2015-12-18,G,3000,0.0,176652,D,,,,,,
1051470,2016-02-22,CCI,CHRISTY LANGENFELD CYNTHIA K,,0001051470-16-000172,2016-02-18,A,1801,0.0,21361,D,,,,,,
1051470,2016-02-22,CCI,GARRISON ROBERT E II,,0001051470-16-000176,2016-02-18,A,1801,0.0,24801,D,,,,,,
1051470,2016-02-22,CCI,MARTIN J LANDIS,,0001051470-16-000178,2016-02-18,A,2673,0.0,70518,D,,,,,,
1051470,2016-02-22,CCI,MCKENZIE ROBERT F,,0001051470-16-000177,2016-02-18,A,1801,0.0,30041,D,,,,,,
1051470,2016-02-22,CCI,HUTCHESON EDWARD C JR,,0001051470-16-000171,2016-02-18,A,1801,0.0,56024,D,,,,,,
1051470,2016-02-22,CCI,Melone Anthony J.,,0001051470-16-000180,2016-02-18,A,1801,0.0,2905,D,,,,,,
1051470,2016-02-22,CCI,FITZGERALD ARI Q,,0001051470-16-000174,2016-02-18,A,1801,0.0,27186,D,,,,,,
1051470,2016-02-22,CCI,HOGAN LEE W,,0001051470-16-000173,2016-02-18,A,1801,0.0,46386,D,,,,,,
1051470,2016-02-22,CCI,Bartolo P Robert,,0001051470-16-000170,2016-02-18,A,1801,0.0,24066,D,,,,,,
1051470,2016-02-22,CCI,KELLY JOHN P,,0001051470-16-000175,2016-02-18,A,689,0.0,706083,D,,,,,,
1051470,2016-02-22,CCI,HATFIELD DALE N,,0001051470-16-000179,2016-02-18,A,1801,0.0,21494,I,,,,,,
1051470,2016-02-23,CCI,Slowey Patrick,,0001051470-16-000202,2016-02-19,F,7478,86.02,70261,D,,,,,,
1051470,2016-02-23,CCI,Slowey Patrick,,0001051470-16-000202,2016-02-19,M,1619,0.0,76237,D,,,,,,
1051470,2016-02-23,CCI,Fisher Rob A,,0001051470-16-000203,2016-02-19,D,2960,0.0,15843,D,,,,,,
1051470,2016-02-23,CCI,MORELAND W BENJAMIN,,0001051470-16-000206,2016-02-19,M,8398,0.0,649985,D,,,,,,
1051470,2016-02-23,CCI,MORELAND W BENJAMIN,,0001051470-16-000206,2016-02-19,F,40633,86.02,617943,D,,,,,,
1051470,2016-02-23,CCI,MORELAND W BENJAMIN,,0001051470-16-000206,2016-02-19,D,33971,0.0,583972,D,,,,,,
1051470,2016-02-23,CCI,Kelley Philip M,,0001051470-16-000204,2016-02-19,F,4755,86.02,147159,D,,,,,,
1051470,2016-02-23,CCI,Fisher Rob A,,0001051470-16-000203,2016-02-19,F,2756,86.02,18803,D,,,,,,
1051470,2016-02-23,CCI,Brown Jay A.,,0001051470-16-000205,2016-02-19,D,13630,0.0,144532,D,,,,,,
1051470,2016-02-23,CCI,Young James D,,0001051470-16-000201,2016-02-19,F,17464,86.02,165490,D,,,,,,
1051470,2016-02-23,CCI,Kelley Philip M,,0001051470-16-000204,2016-02-19,D,5198,0.0,141961,D,,,,,,
1051470,2016-02-23,CCI,Slowey Patrick,,0001051470-16-000202,2016-02-19,D,6721,0.0,63540,D,,,,,,
1051470,2016-02-23,CCI,Young James D,,0001051470-16-000201,2016-02-19,M,3186,0.0,179838,D,,,,,,
1051470,2016-02-23,CCI,Fisher Rob A,,0001051470-16-000203,2016-02-19,M,671,0.0,20944,D,,,,,,
1051470,2016-02-23,CCI,Brown Jay A.,,0001051470-16-000205,2016-02-19,F,15103,86.02,158162,D,,,,,,
1051470,2016-02-23,CCI,Brown Jay A.,,0001051470-16-000205,2016-02-19,M,3202,0.0,170134,D,,,,,,
1051470,2016-02-23,CCI,Kelley Philip M,,0001051470-16-000204,2016-02-19,M,1205,0.0,150652,D,,,,,,
1051470,2016-02-23,CCI,Young James D,,0001051470-16-000201,2016-02-19,D,13561,0.0,151929,D,,,,,,
1051470,2016-04-28,CCI,Kelley Philip M,,0001051470-16-000225,2016-04-27,S,46951,87.686,95010,D,,,,,,
1051470,2016-05-06,CCI,Simon Kenneth Jay,,0001051470-16-000230,2016-05-05,P,113,87.88,113,I,,,,,,
