cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
815097,2015-12-23,CCL,PEREZ ARNALDO,,0001127602-15-034846,2015-12-22,S,7355.0,53.6522,61617.5022,D,,,,,,
815097,2016-01-13,CCL,PEREZ ARNALDO,,0001127602-16-036851,2016-01-11,A,8898.0,0.0,70515.5022,D,,,,,,
815097,2016-01-13,CCL,leibowitz joshua chad,,0001127602-16-036849,2016-01-11,A,6488.0,0.0,22478.0,D,,,,,,
815097,2016-01-13,CCL,KRUSE STEIN,,0001127602-16-036848,2016-01-11,A,18539.0,0.0,99742.8654,D,,,,,,
815097,2016-01-13,CCL,Freedman Larry R.,,0001127602-16-036847,2016-01-11,A,5839.0,0.0,28458.21,D,,,,,,
815097,2016-01-13,CCL,Freedman Larry R.,,0001127602-16-036847,2016-01-11,F,1688.0,53.94,26770.21,D,,,,,,
815097,2016-01-13,CCL,DONALD ARNOLD W,,0001127602-16-036846,2016-01-11,A,38932.0,0.0,157045.732,D,,,,,,
815097,2016-01-13,CCL,BUCKELEW ALAN,,0001127602-16-036845,2016-01-11,A,18539.0,0.0,131659.5171,D,,,,,,
815097,2016-01-13,CCL,BUCKELEW ALAN,,0001127602-16-036845,2016-01-11,F,7039.0,53.94,124620.5171,D,,,,,,
815097,2016-01-13,CCL,Bernstein David,,0001127602-16-036844,2016-01-11,A,14831.0,0.0,67418.291,D,,,,,,
815097,2016-01-19,CCL,KRUSE STEIN,,0001127602-16-037141,2016-01-15,S,26560.0,49.9183,73182.8654,D,,,,,,
815097,2016-01-19,CCL,PEREZ ARNALDO,,0001127602-16-037140,2016-01-15,S,12749.0,49.9183,57766.5022,D,,,,,,
815097,2016-01-19,CCL,Bernstein David,,0001127602-16-037139,2016-01-15,S,16467.0,49.9183,50951.291,D,,,,,,
815097,2016-02-11,CCL,ARISON MICKY MEIR,,0000950142-16-003047,2016-02-09,F,4854.0,40.79,3251154.0,I,,,,,,
815097,2016-02-11,CCL,DONALD ARNOLD W,,0001127602-16-040594,2016-02-09,A,54834.0,0.0,211879.732,D,,,,,,
815097,2016-02-11,CCL,Freedman Larry R.,,0001127602-16-040595,2016-02-09,S,407.0,40.79,27826.21,D,,,,,,
815097,2016-02-11,CCL,Freedman Larry R.,,0001127602-16-040595,2016-02-09,A,1463.0,0.0,28233.21,D,,,,,,
815097,2016-02-11,CCL,Bernstein David,,0001127602-16-040591,2016-02-09,A,10802.0,0.0,61753.291,D,,,,,,
815097,2016-02-11,CCL,PEREZ ARNALDO,,0001127602-16-040598,2016-02-09,A,8362.0,0.0,66128.5022,D,,,,,,
815097,2016-02-11,CCL,BUCKELEW ALAN,,0001127602-16-040592,2016-02-09,A,5808.0,0.0,130428.5171,D,,,,,,
815097,2016-02-11,CCL,BUCKELEW ALAN,,0001127602-16-040592,2016-02-09,S,5808.0,40.79,124620.5171,D,,,,,,
815097,2016-02-11,CCL,KRUSE STEIN,,0001127602-16-040597,2016-02-09,S,12196.0,40.79,73182.8654,D,,,,,,
815097,2016-02-11,CCL,ARISON MICKY MEIR,,0000950142-16-003047,2016-02-09,M,17798.0,,3256008.0,I,,,,,,
815097,2016-02-11,CCL,KRUSE STEIN,,0001127602-16-040597,2016-02-09,A,12196.0,0.0,85378.8654,D,,,,,,
815097,2016-02-11,CCL,PEREZ ARNALDO,,0001127602-16-040598,2016-02-09,S,8362.0,40.79,57766.5022,D,,,,,,
815097,2016-02-11,CCL,DONALD ARNOLD W,,0001127602-16-040594,2016-02-09,S,23281.0,40.79,188598.732,D,,,,,,
815097,2016-02-11,CCL,Bernstein David,,0001127602-16-040591,2016-02-09,S,4588.0,40.79,57165.291,D,,,,,,
815097,2016-02-19,CCL,BUCKELEW ALAN,,0001127602-16-042305,2016-02-17,S,7029.0,46.0133,117591.5171,D,,,,,,
815097,2016-02-25,CCL,Bernstein David,,0001127602-16-043291,2016-02-23,S,6214.0,48.1099,50951.291,D,,,,,,
815097,2016-04-05,CCL,GLASIER RICHARD,,0001127602-16-048666,2016-04-01,M,10000.0,47.83,34686.0,D,,,,,,
815097,2016-04-05,CCL,GLASIER RICHARD,,0001127602-16-048666,2016-04-01,S,10000.0,52.43,24686.0,D,,,,,,
815097,2016-04-18,CCL,WEISENBURGER RANDALL J,,0001127602-16-049301,2016-04-14,A,3102.0,0.0,90850.602,D,,,,,,
815097,2016-04-18,CCL,WEIL LAURA A,,0001127602-16-049300,2016-04-14,A,3102.0,0.0,37037.046,D,,,,,,
815097,2016-04-18,CCL,SUBOTNICK STUART,,0001127602-16-049299,2016-04-14,A,3102.0,0.0,40617.0388,D,,,,,,
815097,2016-04-18,CCL,PARKER SIR JOHN,,0001127602-16-049298,2016-04-14,A,3102.0,0.0,39753.8663,D,,,,,,
815097,2016-04-18,CCL,KELLY ENNIS DEBRA J,,0001127602-16-049296,2016-04-14,A,3102.0,0.0,14031.0315,D,,,,,,
815097,2016-04-18,CCL,GLASIER RICHARD,,0001127602-16-049295,2016-04-14,A,3102.0,0.0,27788.0,D,,,,,,
815097,2016-04-18,CCL,BAND SIR JONATHON,,0001127602-16-049293,2016-04-14,A,3102.0,0.0,23898.937,D,,,,,,
815097,2016-10-05,CCL,Bernstein David,,0001127602-16-064226,2016-10-03,S,3819.0,49.1708,47255.801,D,,,,,,
815097,2016-10-05,CCL,Bernstein David,,0001127602-16-064226,2016-10-04,S,210.801,49.4303,47045.0,D,,,,,,
815097,2016-10-20,CCL,DONALD ARNOLD W,,0001127602-16-065069,2016-10-18,A,432518.0,0.0,609597.118,D,,,,,,
815097,2016-10-20,CCL,DONALD ARNOLD W,,0001127602-16-065069,2016-10-18,S,91813.0,46.6725,517784.118,D,,,,,,
815097,2017-01-03,CCL,PEREZ ARNALDO,,0001127602-17-000028,2016-12-29,A,30331.0,0.0,88789.2362,D,,,,,,
815097,2017-01-03,CCL,PEREZ ARNALDO,,0001127602-17-000028,2016-12-29,S,15165.0,52.11,73624.2362,D,,,,,,
815097,2017-01-03,CCL,KRUSE STEIN,,0001127602-17-000027,2016-12-29,A,121329.0,0.0,194762.0284,D,,,,,,
815097,2017-01-03,CCL,KRUSE STEIN,,0001127602-17-000027,2016-12-29,S,60664.0,52.11,134098.0284,D,,,,,,
815097,2017-01-03,CCL,BUCKELEW ALAN,,0001127602-17-000026,2016-12-29,A,121329.0,0.0,241430.3084,D,,,,,,
815097,2017-01-03,CCL,BUCKELEW ALAN,,0001127602-17-000026,2016-12-29,S,60664.0,52.11,180766.3084,D,,,,,,
815097,2017-01-03,CCL,Bernstein David,,0001127602-17-000025,2016-12-29,A,121329.0,0.0,168374.0,D,,,,,,
815097,2017-01-03,CCL,Bernstein David,,0001127602-17-000025,2016-12-29,S,60664.0,52.11,107710.0,D,,,,,,
815097,2017-01-19,CCL,DONALD ARNOLD W,,0001127602-17-002010,2017-01-17,S,24186.0,52.9511,524050.04,D,,,,,,
815097,2017-01-19,CCL,KRUSE STEIN,,0001127602-17-002012,2017-01-17,A,14164.0,0.0,148262.0284,D,,,,,,
815097,2017-01-19,CCL,BUCKELEW ALAN,,0001127602-17-002009,2017-01-17,F,5493.0,53.09,189635.3084,D,,,,,,
815097,2017-01-19,CCL,Bernstein David,,0001127602-17-002008,2017-01-17,S,14932.0,52.9511,104267.0,D,,,,,,
815097,2017-01-19,CCL,DONALD ARNOLD W,,0001127602-17-002010,2017-01-17,A,30161.0,0.0,548236.04,D,,,,,,
815097,2017-01-19,CCL,BUCKELEW ALAN,,0001127602-17-002009,2017-01-17,S,9273.0,52.9511,180362.3084,D,,,,,,
815097,2017-01-19,CCL,BUCKELEW ALAN,,0001127602-17-002009,2017-01-17,A,14362.0,0.0,195128.3084,D,,,,,,
815097,2017-01-19,CCL,PEREZ ARNALDO,,0001127602-17-002013,2017-01-17,S,11560.0,52.9511,68957.2362,D,,,,,,
815097,2017-01-19,CCL,PEREZ ARNALDO,,0001127602-17-002013,2017-01-17,A,6893.0,0.0,80517.2362,D,,,,,,
815097,2017-01-19,CCL,KRUSE STEIN,,0001127602-17-002012,2017-01-17,S,24084.0,52.9511,124178.0284,D,,,,,,
815097,2017-01-19,CCL,Bernstein David,,0001127602-17-002008,2017-01-17,A,11489.0,0.0,119199.0,D,,,,,,
815097,2017-01-20,CCL,BAND SIR JONATHON,,0001127602-17-002167,2017-01-18,S,6276.0,53.4751,17931.778,D,,,,,,
815097,2017-02-17,CCL,PEREZ ARNALDO,,0001127602-17-006834,2017-02-15,A,13004.0,0.0,81961.2362,D,,,,,,
815097,2017-02-17,CCL,PEREZ ARNALDO,,0001127602-17-006834,2017-02-15,S,13004.0,55.8836,68957.2362,D,,,,,,
815097,2017-02-17,CCL,KRUSE STEIN,,0001127602-17-006833,2017-02-15,A,31158.0,0.0,155336.0284,D,,,,,,
815097,2017-02-17,CCL,KRUSE STEIN,,0001127602-17-006833,2017-02-15,S,31158.0,55.8836,124178.0284,D,,,,,,
815097,2017-02-17,CCL,DONALD ARNOLD W,,0001127602-17-006830,2017-02-15,A,75863.0,0.0,599913.04,D,,,,,,
815097,2017-02-17,CCL,DONALD ARNOLD W,,0001127602-17-006830,2017-02-15,S,32049.0,55.8836,567864.04,D,,,,,,
815097,2017-02-17,CCL,BUCKELEW ALAN,,0001127602-17-006829,2017-02-15,A,31158.0,0.0,211520.3084,D,,,,,,
815097,2017-02-17,CCL,BUCKELEW ALAN,,0001127602-17-006829,2017-02-15,S,31158.0,55.8836,180362.3084,D,,,,,,
