cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
813672,2019-02-06,CDNS,SHOVEN JOHN B,,0001209191-19-007710,2019-02-04,M,228,6.51,152120,D,,,,,,
813672,2019-02-06,CDNS,SHOVEN JOHN B,,0001209191-19-007710,2019-02-04,S,228,50.0,151892,D,,,,,,
813672,2019-02-06,CDNS,SHOVEN JOHN B,,0001209191-19-007710,2019-02-05,M,49772,6.51,201664,D,,,,,,
813672,2019-02-06,CDNS,SHOVEN JOHN B,,0001209191-19-007710,2019-02-05,S,49772,50.0019,151892,D,,,,,,
813672,2019-02-08,CDNS,Cowie James J,,0001209191-19-008741,2018-12-31,G,1150,0.0,30529,I,,,,,,
813672,2019-02-08,CDNS,ZAMAN ANEEL,,0001209191-19-008703,2019-02-06,F,1712,50.48,201215,D,,,,,,
813672,2019-02-08,CDNS,Cowie James J,,0001209191-19-008741,2019-02-06,F,1484,50.48,75465,D,,,,,,
813672,2019-02-08,CDNS,Cowie James J,,0001209191-19-008741,2019-02-06,Z,1156,0.0,74309,D,,,,,,
813672,2019-02-08,CDNS,DEVGAN ANIRUDH,,0001209191-19-008694,2019-02-06,F,3574,50.48,308425,D,,,,,,
813672,2019-02-08,CDNS,BECKLEY THOMAS P,,0001209191-19-008689,2019-02-06,F,1204,50.48,223527,D,,,,,,
813672,2019-02-08,CDNS,WALL JOHN M,,0001209191-19-008698,2019-02-06,F,1915,50.48,109211,D,,,,,,
813672,2019-02-08,CDNS,MANDAVA SURENDRA BABU,,0001209191-19-008696,2019-02-06,F,1547,50.48,225183,D,,,,,,
813672,2019-02-12,CDNS,Cowie James J,,0001209191-19-009461,2019-02-08,F,1962,50.91,72347,D,,,,,,
813672,2019-02-12,CDNS,Cowie James J,,0001209191-19-009461,2019-02-08,Z,1788,0.0,70559,D,,,,,,
813672,2019-02-12,CDNS,ZAMAN ANEEL,,0001209191-19-009457,2019-02-08,F,2305,50.91,198910,D,,,,,,
813672,2019-02-12,CDNS,DEVGAN ANIRUDH,,0001209191-19-009454,2019-02-08,F,3902,50.91,304523,D,,,,,,
813672,2019-02-12,CDNS,BECKLEY THOMAS P,,0001209191-19-009447,2019-02-08,F,1894,50.91,221633,D,,,,,,
813672,2019-02-19,CDNS,WALL JOHN M,,0001209191-19-011355,2019-02-15,F,306,52.58,108905,D,,,,,,
813672,2019-02-19,CDNS,TENG CHIN-CHI,,0001209191-19-011348,2019-02-15,F,937,52.58,93480,D,,,,,,
813672,2019-02-19,CDNS,MANDAVA SURENDRA BABU,,0001209191-19-011342,2019-02-15,F,8293,52.58,216890,D,,,,,,
813672,2019-02-21,CDNS,WALL JOHN M,,0001209191-19-012095,2019-02-19,F,1579,52.64,107326,D,,,,,,
813672,2019-02-21,CDNS,TENG CHIN-CHI,,0001209191-19-012091,2019-02-19,F,967,52.64,92513,D,,,,,,
813672,2019-02-25,CDNS,ZAMAN ANEEL,,0001209191-19-013076,2019-02-21,F,2305,55.4,196605,D,,,,,,
813672,2019-02-25,CDNS,DEVGAN ANIRUDH,,0001209191-19-013070,2019-02-21,F,3989,55.4,300534,D,,,,,,
813672,2019-02-25,CDNS,Cowie James J,,0001209191-19-013061,2019-02-21,F,1754,55.4,68805,D,,,,,,
813672,2019-02-25,CDNS,Cowie James J,,0001209191-19-013061,2019-02-21,Z,1579,0.0,67226,D,,,,,,
813672,2019-02-25,CDNS,BECKLEY THOMAS P,,0001209191-19-013054,2019-02-21,F,2094,55.4,219539,D,,,,,,
813672,2019-02-26,CDNS,TENG CHIN-CHI,,0001209191-19-013838,2019-02-22,A,18667,0.0,111447,D,,,,,,
813672,2019-02-26,CDNS,MANDAVA SURENDRA BABU,,0001209191-19-013834,2019-02-22,A,18667,0.0,235824,D,,,,,,
813672,2019-02-26,CDNS,WALL JOHN M,,0001209191-19-013841,2019-02-22,A,18667,0.0,126260,D,,,,,,
813672,2019-02-26,CDNS,Cowie James J,,0001209191-19-013828,2019-02-22,A,13417,0.0,80643,D,,,,,,
813672,2019-02-26,CDNS,TAN LIP BU,,0001209191-19-013836,2019-02-14,Z,11580,0.0,400486,D,,,,,,
813672,2019-02-26,CDNS,TAN LIP BU,,0001209191-19-013836,2019-02-22,A,53032,0.0,436852,D,,,,,,
813672,2019-02-26,CDNS,TAN LIP BU,,0001209191-19-013836,2019-02-06,Z,267,0.0,412066,D,,,,,,
813672,2019-02-26,CDNS,TAN LIP BU,,0001209191-19-013836,2019-02-15,Z,16666,0.0,383820,D,,,,,,
813672,2019-02-26,CDNS,DEVGAN ANIRUDH,,0001209191-19-013832,2019-02-22,A,46668,0.0,347469,D,,,,,,
813672,2019-02-26,CDNS,ZAMAN ANEEL,,0001209191-19-013845,2019-02-22,A,21001,0.0,217873,D,,,,,,
813672,2019-02-26,CDNS,BECKLEY THOMAS P,,0001209191-19-013825,2019-02-22,A,18667,0.0,238473,D,,,,,,
813672,2019-02-26,CDNS,SIBONI ROGER S,,0001209191-19-013415,2019-02-22,A,3359,0.0,42479,D,,,,,,
813672,2019-02-26,CDNS,SANGIOVANNI VINCENTELLI ALBERTO,,0001209191-19-013408,2019-02-22,A,3359,0.0,77878,D,,,,,,
813672,2019-02-26,CDNS,SOHN YOUNG,,0001209191-19-013418,2019-02-22,A,3359,0.0,47385,D,,,,,,
813672,2019-02-26,CDNS,SHOVEN JOHN B,,0001209191-19-013410,2019-02-22,A,3889,0.0,155781,D,,,,,,
813672,2019-02-26,CDNS,BOSTROM SUSAN L,,0001209191-19-013401,2019-02-22,A,3359,0.0,34385,D,,,,,,
813672,2019-02-26,CDNS,Wilderotter Mary Agnes,,0001209191-19-013421,2019-02-22,A,3359,0.0,10823,D,,,,,,
813672,2019-02-26,CDNS,PLUMMER JAMES D,,0001209191-19-013404,2019-02-22,A,3359,0.0,24885,D,,,,,,
813672,2019-02-26,CDNS,Adams Mark,,0001209191-19-013397,2019-02-22,A,3359,0.0,32339,D,,,,,,
813672,2019-03-01,CDNS,SIBONI ROGER S,,0001209191-19-015057,2019-02-27,M,5000,9.66,47479,D,,,,,,
813672,2019-03-01,CDNS,SIBONI ROGER S,,0001209191-19-015057,2019-02-27,S,13500,57.1,42479,D,,,,,,
813672,2019-03-04,CDNS,PLUMMER JAMES D,,0001209191-19-015568,2019-02-28,S,12500,57.47,24885,D,,,,,,
813672,2019-03-04,CDNS,PLUMMER JAMES D,,0001209191-19-015568,2019-02-28,M,12500,9.99,37385,D,,,,,,
813672,2019-03-05,CDNS,BOSTROM SUSAN L,,0001209191-19-016921,2019-03-01,S,35000,57.66,9026,I,,,,,,
813672,2019-03-05,CDNS,BOSTROM SUSAN L,,0001209191-19-016921,2019-02-07,Z,29026,0.0,5359,D,,,,,,
813672,2019-03-06,CDNS,TENG CHIN-CHI,,0001209191-19-017337,2019-03-04,S,5084,57.92,106363,D,,,,,,
813672,2019-03-06,CDNS,TENG CHIN-CHI,,0001209191-19-017337,2019-03-04,F,803,58.54,105560,D,,,,,,
813672,2019-03-07,CDNS,BECKLEY THOMAS P,,0001209191-19-017806,2019-03-06,S,17855,58.89,220618,D,,,,,,
813672,2019-03-07,CDNS,BECKLEY THOMAS P,,0001209191-19-017806,2019-03-06,M,20000,17.16,240618,D,,,,,,
813672,2019-03-08,CDNS,MANDAVA SURENDRA BABU,,0001209191-19-018200,2019-03-07,S,3306,58.46,232518,D,,,,,,
813672,2019-03-19,CDNS,BECKLEY THOMAS P,,0001209191-19-020455,2019-03-15,F,21492,60.99,199126,D,,,,,,
813672,2019-03-19,CDNS,BECKLEY THOMAS P,,0001209191-19-020455,2019-03-15,A,90000,0.0,289126,D,,,,,,
