cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1868275,2022-03-03,CEG,Koehler Michael,,0001567619-22-006223,2022-03-01,M,22208,,27501,D,,,,,,
1868275,2022-03-03,CEG,Koehler Michael,,0001567619-22-006223,2022-03-01,F,8878,47.79,18623,D,,,,,,
1868275,2022-04-04,CEG,Halverson Bradley M,,0001567619-22-008037,2022-03-31,A,495,51.32,495,D,,,,,,
1868275,2022-04-04,CEG,DE BALMANN YVES C,isDirector,0001140361-22-013012,2022-03-31,A,835,51.32,44186,D,,,,,,
1868275,2022-04-04,CEG,Richardson John M,isDirector,0001140361-22-013011,2022-03-31,A,835,51.32,10324,D,,,,,,
1868275,2022-04-04,CEG,LAWLESS ROBERT J,isDirector,0001140361-22-013010,2022-03-31,A,835,51.32,44187,D,,,,,,
1868275,2022-04-04,CEG,Ashish Khandpur K,isDirector,0001140361-22-013009,2022-03-31,A,495,51.32,495,D,,,,,,
1868275,2022-04-04,CEG,Ferguson Rhonda S,isDirector,0001140361-22-013008,2022-03-31,A,495,51.32,495,D,,,,,,
1868275,2022-04-04,CEG,BRLAS LAURIE,isDirector,0001140361-22-013007,2022-03-31,A,835,51.32,13863,D,,,,,,
1868275,2022-04-04,CEG,Harrington Charles L.,isDirector,0001140361-22-013005,2022-03-31,A,495,51.32,495,D,,,,,,
1868275,2022-04-04,CEG,Holzrichter Julie,isDirector,0001140361-22-013004,2022-03-31,A,495,51.32,495,D,,,,,,
1868275,2022-07-05,CEG,Harrington Charles L.,isDirector,0001140361-22-025079,2022-06-30,A,648,59.79,1144,D,,,,,,
1868275,2022-07-05,CEG,Ashish Khandpur K,isDirector,0001140361-22-025078,2022-06-30,A,648,59.79,1144,D,,,,,,
1868275,2022-07-05,CEG,Holzrichter Julie,isDirector,0001140361-22-025077,2022-06-30,A,648,59.79,1144,D,,,,,,
1868275,2022-07-05,CEG,Richardson John M,isDirector,0001140361-22-025076,2022-06-30,A,648,59.79,10997,D,,,,,,
1868275,2022-07-05,CEG,DE BALMANN YVES C,isDirector,0001140361-22-025075,2022-06-30,A,648,59.79,44939,D,,,,,,
1868275,2022-07-05,CEG,LAWLESS ROBERT J,isDirector,0001140361-22-025074,2022-06-30,A,648,59.79,44939,D,,,,,,
1868275,2022-07-05,CEG,Halverson Bradley M,isDirector,0001140361-22-025073,2022-06-30,A,648,59.79,1144,D,,,,,,
1868275,2022-07-05,CEG,BRLAS LAURIE,isDirector,0001140361-22-025072,2022-06-30,A,648,59.79,14544,D,,,,,,
1868275,2022-08-03,CEG,Dominguez Joseph,,0001567619-22-014890,2022-08-01,M,33313,,44570,D,,,,,,
1868275,2022-08-03,CEG,Dominguez Joseph,,0001567619-22-014890,2022-08-01,F,14715,65.3,29855,D,,,,,,
1868275,2022-10-04,CEG,Ashish Khandpur K,isDirector,0001140361-22-036142,2022-09-30,A,443,87.51,1589,D,,,,,,
1868275,2022-10-04,CEG,Harrington Charles L.,isDirector,0001140361-22-036138,2022-09-30,A,443,87.51,1589,D,,,,,,
1868275,2022-10-04,CEG,BRLAS LAURIE,isDirector,0001140361-22-036140,2022-09-30,A,443,87.51,15010,D,,,,,,
1868275,2022-10-04,CEG,DE BALMANN YVES C,isDirector,0001140361-22-036139,2022-09-30,A,443,87.51,45454,D,,,,,,
1868275,2022-10-04,CEG,LAWLESS ROBERT J,isDirector,0001140361-22-036136,2022-09-30,A,443,87.51,45454,D,,,,,,
1868275,2022-10-04,CEG,Holzrichter Julie,isDirector,0001140361-22-036135,2022-09-30,A,443,87.51,1589,D,,,,,,
1868275,2022-10-04,CEG,Halverson Bradley M,isDirector,0001140361-22-036141,2022-09-30,A,443,87.51,1589,D,,,,,,
1868275,2022-10-04,CEG,Richardson John M,isDirector,0001140361-22-036137,2022-09-30,A,443,87.51,11457,D,,,,,,
1868275,2023-01-04,CEG,BRLAS LAURIE,isDirector,0001140361-23-000488,2022-12-31,A,432,89.72,15465,D,,,,,,
1868275,2023-01-04,CEG,Ashish Khandpur K,isDirector,0001140361-23-000487,2022-12-31,A,432,89.72,2023,D,,,,,,
1868275,2023-01-04,CEG,Richardson John M,isDirector,0001140361-23-000491,2022-12-31,A,432,89.72,11907,D,,,,,,
1868275,2023-01-04,CEG,Harrington Charles L.,isDirector,0001140361-23-000493,2022-12-31,A,432,89.72,2023,D,,,,,,
1868275,2023-01-04,CEG,Halverson Bradley M,isDirector,0001140361-23-000490,2022-12-31,A,432,89.72,2023,D,,,,,,
1868275,2023-01-04,CEG,Rimmer Nneka Louise,isDirector,0001140361-23-000486,2022-12-31,A,286,89.72,286,D,,,,,,
1868275,2023-01-04,CEG,LAWLESS ROBERT J,isDirector,0001140361-23-000492,2022-12-31,A,432,89.72,45957,D,,,,,,
1868275,2023-01-04,CEG,DE BALMANN YVES C,isDirector,0001140361-23-000489,2022-12-31,A,432,89.72,45957,D,,,,,,
1868275,2023-01-04,CEG,Holzrichter Julie,isDirector,0001140361-23-000494,2022-12-31,A,432,89.72,2023,D,,,,,,
1868275,2023-02-01,CEG,Hanson Bryan Craig,isOfficer,0001140361-23-003960,2023-01-30,M,39450,,55843,D,,,,,,
1868275,2023-02-01,CEG,Bauer Matthew N,isOfficer,0001140361-23-003961,2023-01-30,D,930,82.4,5748,D,,,,,,
1868275,2023-02-01,CEG,Bauer Matthew N,isOfficer,0001140361-23-003961,2023-01-30,F,1898,82.4,6678,D,,,,,,
1868275,2023-02-01,CEG,Bauer Matthew N,isOfficer,0001140361-23-003961,2023-01-30,M,5453,,8576,D,,,,,,
1868275,2023-02-01,CEG,Dominguez Joseph,"isDirector,isOfficer",0001140361-23-003962,2023-01-30,D,5221,82.4,49684,D,,,,,,
1868275,2023-02-01,CEG,Dominguez Joseph,"isDirector,isOfficer",0001140361-23-003962,2023-01-30,F,16423,82.4,54906,D,,,,,,
1868275,2023-02-01,CEG,Dominguez Joseph,"isDirector,isOfficer",0001140361-23-003962,2023-01-30,M,41474,,71329,D,,,,,,
1868275,2023-02-01,CEG,Koehler Michael,isOfficer,0001140361-23-003967,2023-01-30,M,24255,,42878,D,,,,,,
1868275,2023-02-01,CEG,Koehler Michael,isOfficer,0001140361-23-003967,2023-01-30,F,7936,82.4,34942,D,,,,,,
1868275,2023-02-01,CEG,Koehler Michael,isOfficer,0001140361-23-003967,2023-01-30,D,5123,82.4,29818,D,,,,,,
1868275,2023-02-01,CEG,Dardis David O.,isOfficer,0001140361-23-003966,2023-01-30,M,10149,,18805,D,,,,,,
1868275,2023-02-01,CEG,Dardis David O.,isOfficer,0001140361-23-003966,2023-01-30,F,3450,82.4,15355,D,,,,,,
1868275,2023-02-01,CEG,Hanson Bryan Craig,isOfficer,0001140361-23-003960,2023-01-30,F,15727,82.4,40116,D,,,,,,
1868275,2023-02-01,CEG,Hanson Bryan Craig,isOfficer,0001140361-23-003960,2023-01-30,D,13353,82.4,26763,D,,,,,,
1868275,2023-02-01,CEG,MCHUGH JAMES,isOfficer,0001140361-23-003959,2023-01-30,M,40900,,52460,D,,,,,,
1868275,2023-02-01,CEG,MCHUGH JAMES,isOfficer,0001140361-23-003959,2023-01-30,F,16013,82.4,36447,D,,,,,,
1868275,2023-02-01,CEG,Barron Kathleen,isOfficer,0001140361-23-003964,2023-01-30,D,3206,82.4,11663,D,,,,,,
1868275,2023-02-01,CEG,Barron Kathleen,isOfficer,0001140361-23-003964,2023-01-30,F,6677,82.4,14869,D,,,,,,
1868275,2023-02-01,CEG,Barron Kathleen,isOfficer,0001140361-23-003964,2023-01-30,M,17552,,21546,D,,,,,,
1868275,2023-02-01,CEG,Eggers Daniel L.,isOfficer,0001140361-23-003965,2023-01-30,D,2620,82.4,12138,D,,,,,,
1868275,2023-02-01,CEG,Eggers Daniel L.,isOfficer,0001140361-23-003965,2023-01-30,F,5808,82.4,14758,D,,,,,,
1868275,2023-02-01,CEG,Eggers Daniel L.,isOfficer,0001140361-23-003965,2023-01-30,M,15582,,20566,D,,,,,,
1868275,2023-02-01,CEG,Dardis David O.,isOfficer,0001140361-23-003966,2023-01-30,D,1879,82.4,13476,D,,,,,,
1868275,2023-02-01,CEG,MCHUGH JAMES,isOfficer,0001140361-23-003959,2023-01-30,D,7824,82.4,28623,D,,,,,,
1868275,2023-04-04,CEG,DE BALMANN YVES C,isDirector,0001140361-23-016292,2023-03-31,A,500,77.55,46623,D,,,,,,
1868275,2023-04-04,CEG,Holzrichter Julie,isDirector,0001140361-23-016286,2023-03-31,A,500,77.55,2530,D,,,,,,
1868275,2023-04-04,CEG,Harrington Charles L.,isDirector,0001140361-23-016290,2023-03-31,A,500,77.55,2530,D,,,,,,
1868275,2023-04-04,CEG,Ashish Khandpur K,isDirector,0001140361-23-016289,2023-03-31,A,500,77.55,2530,D,,,,,,
1868275,2023-04-04,CEG,BRLAS LAURIE,isDirector,0001140361-23-016287,2023-03-31,A,500,77.55,16021,D,,,,,,
1868275,2023-04-04,CEG,Halverson Bradley M,isDirector,0001140361-23-016288,2023-03-31,A,500,77.55,2530,D,,,,,,
1868275,2023-04-04,CEG,LAWLESS ROBERT J,isDirector,0001140361-23-016291,2023-03-31,A,500,77.55,46623,D,,,,,,
1868275,2023-04-04,CEG,Richardson John M,isDirector,0001140361-23-016293,2023-03-31,A,500,77.55,12450,D,,,,,,
1868275,2023-04-04,CEG,Rimmer Nneka Louise,isDirector,0001140361-23-016285,2023-03-31,A,500,77.55,787,D,,,,,,
1868275,2023-07-05,CEG,Harrington Charles L.,isDirector,0001140361-23-033153,2023-06-30,A,456,93.29,2993,D,,,,,,
1868275,2023-07-05,CEG,BRLAS LAURIE,isDirector,0001140361-23-033151,2023-06-30,A,456,93.29,16525,D,,,,,,
1868275,2023-07-05,CEG,Richardson John M,isDirector,0001140361-23-033156,2023-06-30,A,456,93.29,12943,D,,,,,,
1868275,2023-07-05,CEG,Ashish Khandpur K,isDirector,0001140361-23-033152,2023-06-30,A,456,93.29,2993,D,,,,,,
1868275,2023-07-05,CEG,DE BALMANN YVES C,isDirector,0001140361-23-033155,2023-06-30,A,456,93.29,47219,D,,,,,,
1868275,2023-07-05,CEG,LAWLESS ROBERT J,isDirector,0001140361-23-033150,2023-06-30,A,456,93.29,47219,D,,,,,,
1868275,2023-07-05,CEG,Jamil Dhiaa M.,isDirector,0001140361-23-033154,2023-06-30,A,95,93.29,95,D,,,,,,
1868275,2023-07-05,CEG,Holzrichter Julie,isDirector,0001140361-23-033149,2023-06-30,A,456,93.29,2993,D,,,,,,
1868275,2023-07-05,CEG,Rimmer Nneka Louise,isDirector,0001140361-23-033148,2023-06-30,A,456,93.29,1245,D,,,,,,
1868275,2023-07-05,CEG,Halverson Bradley M,isDirector,0001140361-23-033147,2023-06-30,A,456,93.29,2993,D,,,,,,
1868275,2023-10-03,CEG,Rimmer Nneka Louise,isDirector,0000905148-23-001078,2023-09-30,A,391,108.64,1639,D,,,,,,
1868275,2023-10-03,CEG,Richardson John M,isDirector,0000905148-23-001077,2023-09-30,A,391,108.64,13367,D,,,,,,
1868275,2023-10-03,CEG,Holzrichter Julie,isDirector,0000905148-23-001087,2023-09-30,A,391,108.64,3392,D,,,,,,
1868275,2023-10-03,CEG,Ashish Khandpur K,isDirector,0000905148-23-001086,2023-09-30,A,391,108.64,3392,D,,,,,,
1868275,2023-10-03,CEG,LAWLESS ROBERT J,isDirector,0000905148-23-001076,2023-09-30,A,391,108.64,47731,D,,,,,,
1868275,2023-10-03,CEG,Jamil Dhiaa M.,isDirector,0000905148-23-001075,2023-09-30,A,391,108.64,487,D,,,,,,
1868275,2023-10-03,CEG,DE BALMANN YVES C,isDirector,0000905148-23-001071,2023-09-30,A,391,108.64,47731,D,,,,,,
1868275,2023-10-03,CEG,BRLAS LAURIE,isDirector,0000905148-23-001070,2023-09-30,A,391,108.64,16958,D,,,,,,
1868275,2023-10-03,CEG,Harrington Charles L.,isDirector,0000905148-23-001073,2023-09-30,A,391,108.64,3392,D,,,,,,
1868275,2023-10-03,CEG,Halverson Bradley M,isDirector,0000905148-23-001072,2023-09-30,A,391,108.64,3392,D,,,,,,
1868275,2024-01-03,CEG,Rimmer Nneka Louise,isDirector,0000905148-24-000055,2023-12-31,A,349,121.69,1992,D,,,,,,
1868275,2024-01-03,CEG,Richardson John M,isDirector,0000905148-24-000054,2023-12-31,A,349,121.69,13747,D,,,,,,
1868275,2024-01-03,CEG,Jamil Dhiaa M.,isDirector,0000905148-24-000053,2023-12-31,A,349,121.69,837,D,,,,,,
1868275,2024-01-03,CEG,Holzrichter Julie,isDirector,0000905148-24-000052,2023-12-31,A,349,121.69,3749,D,,,,,,
1868275,2024-01-03,CEG,Halverson Bradley M,isDirector,0000905148-24-000051,2023-12-31,A,349,121.69,3749,D,,,,,,
1868275,2024-01-03,CEG,DE BALMANN YVES C,isDirector,0000905148-24-000050,2023-12-31,A,349,121.69,48191,D,,,,,,
1868275,2024-01-03,CEG,Ashish Khandpur K,isDirector,0000905148-24-000048,2023-12-31,A,349,121.69,3749,D,,,,,,
1868275,2024-01-03,CEG,Harrington Charles L.,isDirector,0000905148-24-000046,2023-12-31,A,349,121.69,3749,D,,,,,,
1868275,2024-01-03,CEG,LAWLESS ROBERT J,isDirector,0000905148-24-000047,2023-12-31,A,349,121.69,48191,D,,,,,,
1868275,2024-01-03,CEG,BRLAS LAURIE,isDirector,0000905148-24-000049,2023-12-31,A,349,121.69,17347,D,,,,,,
1868275,2024-02-07,CEG,Hanson Bryan Craig,isOfficer,0000905148-24-000472,2024-02-05,D,52003,127.03,36465,D,,,,,,
1868275,2024-02-07,CEG,Eggers Daniel L.,isOfficer,0000905148-24-000471,2024-02-05,M,31832,,43970,D,,,,,,
1868275,2024-02-07,CEG,Eggers Daniel L.,isOfficer,0000905148-24-000471,2024-02-05,F,14271,127.03,29699,D,,,,,,
1868275,2024-02-07,CEG,Eggers Daniel L.,isOfficer,0000905148-24-000471,2024-02-05,D,5996,127.03,23703,D,,,,,,
