cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
759944,2018-07-25,CFG,Read Craig Jack,,0000759944-18-000063,2018-07-23,A,10830.0,0.0,10830.0,D,,,,,,
759944,2018-08-16,CFG,DI IORIO ANTHONY M,,0000759944-18-000078,2018-08-15,A,23.222,0.0,28437.029,D,,,,,,
759944,2018-08-16,CFG,Casady Mark S,,0000759944-18-000077,2018-08-15,A,23.222,0.0,20137.029,D,,,,,,
759944,2018-08-16,CFG,Hanna Howard W. III,,0000759944-18-000076,2018-08-15,A,23.222,0.0,24937.029,D,,,,,,
759944,2018-08-16,CFG,Subramaniam Shivan S.,,0000759944-18-000075,2018-08-15,A,23.222,0.0,35937.029,D,,,,,,
759944,2018-08-16,CFG,KOCH CHARLES JOHN,,0000759944-18-000074,2018-08-15,A,23.222,0.0,35937.029,D,,,,,,
759944,2018-08-16,CFG,Watson Wendy A.,,0000759944-18-000073,2018-08-15,A,23.222,0.0,15937.029,D,,,,,,
759944,2018-08-16,CFG,HIGDON LEO I JR,,0000759944-18-000072,2018-08-15,A,23.222,0.0,17980.029,D,,,,,,
759944,2018-08-16,CFG,ZURAITIS MARITA,,0000759944-18-000071,2018-08-15,A,23.222,0.0,17937.029,D,,,,,,
759944,2018-08-16,CFG,HANKOWSKY WILLIAM P,,0000759944-18-000070,2018-08-15,A,23.222,0.0,30937.029,D,,,,,,
759944,2018-08-16,CFG,RYAN ARTHUR F,,0000759944-18-000069,2018-08-15,A,23.222,0.0,60937.029,D,,,,,,
759944,2018-08-16,CFG,Cumming Christine M,,0000759944-18-000068,2018-08-15,A,23.222,0.0,12808.029,D,,,,,,
759944,2018-10-25,CFG,KOCH CHARLES JOHN,,0000759944-18-000080,2018-10-23,P,14000.0,36.32,49937.029,D,,,,,,
759944,2018-11-16,CFG,RYAN ARTHUR F,,0000759944-18-000096,2018-11-14,A,25.665,0.0,60962.694,D,,,,,,
