cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1324404,2016-02-24,CF,Frost Bert A,,0001104659-16-099596,2016-02-24,P,8000.0,31.3099,51037.0,D,,,,,,
1324404,2016-02-24,CF,Will W Anthony,,0001104659-16-099514,2016-02-23,P,25000.0,32.761,129420.0,D,,,,,,
1324404,2016-03-02,CF,Noonan Anne P,,0001104659-16-101849,2016-03-01,P,3000.0,36.2539,4898.0,D,,,,,,
1324404,2016-03-07,CF,Jablow Wendy S,,0001104659-16-103002,2016-03-03,A,5530.0,0.0,43339.0,D,,,,,,
1324404,2016-03-07,CF,Hoker Richard A,,0001104659-16-103001,2016-03-03,A,2210.0,0.0,42989.0,D,,,,,,
1324404,2016-03-07,CF,Bohn Christopher D,,0001104659-16-103000,2016-03-03,A,4140.0,0.0,19218.0,D,,,,,,
1324404,2016-03-07,CF,Hall Adam L,,0001104659-16-102998,2016-03-03,A,3320.0,0.0,20452.0,D,,,,,,
1324404,2016-03-07,CF,Will W Anthony,,0001104659-16-102997,2016-03-03,A,28180.0,0.0,157600.0,D,,,,,,
1324404,2016-03-07,CF,Barnard Douglas C,,0001104659-16-102996,2016-03-03,A,4970.0,0.0,61891.0,D,,,,,,
1324404,2016-03-07,CF,Kelleher Dennis P.,,0001104659-16-102995,2016-03-03,A,7740.0,0.0,48367.0,D,,,,,,
1324404,2016-03-07,CF,Frost Bert A,,0001104659-16-102994,2016-03-03,A,5530.0,0.0,56567.0,D,,,,,,
1324404,2016-05-13,CF,JOHNSON JOHN D,,0001104659-16-120979,2016-05-12,A,4308.0,0.0,71938.0,D,,,,,,
1324404,2016-05-13,CF,SCHMITT EDWARD A,,0001104659-16-120972,2016-05-12,A,4308.0,0.0,54223.0,D,,,,,,
1324404,2016-05-13,CF,KUHBACH ROBERT G,,0001104659-16-120980,2016-05-12,A,4308.0,0.0,25703.0,D,,,,,,
1324404,2016-05-13,CF,Davisson William,,0001104659-16-120975,2016-05-12,A,4308.0,0.0,30578.0,D,,,,,,
1324404,2016-05-13,CF,Wagler Theresa E,,0001104659-16-120971,2016-05-12,A,4308.0,0.0,8618.0,D,,,,,,
1324404,2016-05-13,CF,FURBACHER STEPHEN A,,0001104659-16-120977,2016-05-12,A,7181.0,0.0,46886.0,D,,,,,,
