cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1043277,2016-01-05,CHRW,WIEHOFF JOHN,,0001209191-16-089105,2015-11-20,G,10000.0,0.0,801315.0,D,,,,,,
1043277,2016-01-05,CHRW,WIEHOFF JOHN,,0001209191-16-089105,2015-12-31,A,2944.0,62.02,804259.0,D,,,,,,
1043277,2016-01-05,CHRW,GUILFOILE MARY,,0001209191-16-089079,2015-12-31,A,161.0,62.02,1916.0,D,,,,,,
1043277,2016-02-03,CHRW,Freeman Angela K.,,0001209191-16-095326,2016-02-01,S,2225.0,64.88,30521.0,D,,,,,,
1043277,2016-02-04,CHRW,WIEHOFF JOHN,,0001209191-16-095878,2016-02-02,A,30853.0,63.58,835112.0,D,,,,,,
1043277,2016-02-04,CHRW,WIEHOFF JOHN,,0001209191-16-095878,2016-02-03,F,29846.0,64.77,805266.0,D,,,,,,
1043277,2016-02-04,CHRW,Short Michael John,,0001209191-16-095877,2016-02-02,A,1041.0,0.0,10991.0,D,,,,,,
1043277,2016-02-04,CHRW,OBRIEN CHRIS,,0001209191-16-095876,2016-02-02,A,4599.0,0.0,66137.0,D,,,,,,
1043277,2016-02-04,CHRW,OBRIEN CHRIS,,0001209191-16-095876,2016-02-03,A,7402.0,64.77,57426.0,D,,,,,,
1043277,2016-02-04,CHRW,LINDBLOOM CHAD,,0001209191-16-095874,2016-02-02,A,8178.0,0.0,143573.0,D,,,,,,
1043277,2016-02-04,CHRW,LINDBLOOM CHAD,,0001209191-16-095874,2016-02-03,F,9929.0,64.77,133644.0,D,,,,,,
1043277,2016-02-04,CHRW,LEMKE JAMES,,0001209191-16-095872,2016-02-02,A,7191.0,0.0,220377.0,D,,,,,,
1043277,2016-02-04,CHRW,LEMKE JAMES,,0001209191-16-095872,2016-02-03,F,9804.0,64.77,210573.0,D,,,,,,
1043277,2016-02-04,CHRW,Kass Jordan T,,0001209191-16-095871,2016-02-02,A,608.0,0.0,32398.0,D,,,,,,
1043277,2016-02-04,CHRW,Kass Jordan T,,0001209191-16-095871,2016-02-03,F,2624.0,64.77,29774.0,D,,,,,,
1043277,2016-02-04,CHRW,Freeman Angela K.,,0001209191-16-095869,2016-02-02,A,3484.0,0.0,34005.0,D,,,,,,
1043277,2016-02-04,CHRW,Freeman Angela K.,,0001209191-16-095869,2016-02-03,F,4810.0,64.77,29195.0,D,,,,,,
1043277,2016-02-04,CHRW,Campbell Ben G,,0001209191-16-095866,2016-02-02,A,6061.0,0.0,44912.0,D,,,,,,
1043277,2016-02-04,CHRW,Campbell Ben G,,0001209191-16-095866,2016-02-03,F,6026.0,64.77,38886.0,D,,,,,,
1043277,2016-02-04,CHRW,Biesterfeld Robert C Jr,,0001209191-16-095865,2016-02-02,A,2477.0,0.0,13641.0,D,,,,,,
1043277,2016-02-04,CHRW,Biesterfeld Robert C Jr,,0001209191-16-095865,2016-02-03,F,1217.0,64.77,12424.0,D,,,,,,
