cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1091667,2016-12-28,CHTR,Newhouse Michael A,,0001091667-16-000588,2016-12-28,C,1852832.0,289.8266,1852832.0,I,,,,,,
1091667,2016-12-28,CHTR,ADVANCE/NEWHOUSE PARTNERSHIP,,0001140361-16-090948,2016-12-28,C,1852832.0,289.8266,1852832.0,I,,,,,,
1091667,2017-01-04,CHTR,Dykhouse Richard R,,0001091667-17-000005,2016-12-30,M,867.0,289.02,3885.344,D,,,,,,
1091667,2017-01-04,CHTR,Dykhouse Richard R,,0001091667-17-000005,2016-12-30,F,425.0,289.02,3460.344,D,,,,,,
1091667,2017-01-04,CHTR,Howard Kevin D,,0001091667-17-000002,2016-12-30,M,378.0,289.02,1997.0,D,,,,,,
1091667,2017-01-04,CHTR,Howard Kevin D,,0001091667-17-000002,2016-12-30,F,127.0,289.02,1870.0,D,,,,,,
1091667,2017-01-18,CHTR,Rutledge Thomas,,0001091667-17-000019,2017-01-15,M,6627.0,298.48,282953.0,D,,,,,,
1091667,2017-01-18,CHTR,Rutledge Thomas,,0001091667-17-000019,2017-01-15,F,2763.0,298.48,280190.0,D,,,,,,
1091667,2017-01-18,CHTR,Winfrey Christopher L,,0001091667-17-000017,2017-01-15,M,1657.0,298.48,47401.0,D,,,,,,
1091667,2017-01-18,CHTR,Winfrey Christopher L,,0001091667-17-000017,2017-01-15,F,585.0,298.48,46816.0,D,,,,,,
1091667,2017-01-18,CHTR,Howard Kevin D,,0001091667-17-000015,2017-01-15,M,844.0,298.48,2714.0,D,,,,,,
1091667,2017-01-18,CHTR,Howard Kevin D,,0001091667-17-000015,2017-01-15,F,300.0,298.48,2414.0,D,,,,,,
1091667,2017-01-18,CHTR,Bickham John,,0001091667-17-000013,2017-01-15,M,3313.0,298.48,36638.0,D,,,,,,
1091667,2017-01-18,CHTR,Bickham John,,0001091667-17-000013,2017-01-15,F,1149.0,298.48,35489.0,D,,,,,,
1091667,2017-01-18,CHTR,Hargis Jonathan,,0001091667-17-000011,2017-01-15,M,1657.0,298.48,7679.0,D,,,,,,
1091667,2017-01-18,CHTR,Hargis Jonathan,,0001091667-17-000011,2017-01-15,F,630.0,298.48,7049.0,D,,,,,,
1091667,2017-01-18,CHTR,Dykhouse Richard R,,0001091667-17-000009,2017-01-15,M,994.0,298.48,4454.344,D,,,,,,
1091667,2017-01-18,CHTR,Dykhouse Richard R,,0001091667-17-000009,2017-01-15,F,359.0,298.48,4095.344,D,,,,,,
1091667,2017-02-23,CHTR,Hargis Jonathan,,0001091667-17-000032,2017-02-21,M,20000.0,150.88,27049.0,D,,,,,,
1091667,2017-02-23,CHTR,Hargis Jonathan,,0001091667-17-000032,2017-02-21,S,20000.0,324.3,7049.0,D,,,,,,
1091667,2017-03-16,CHTR,Dykhouse Richard R,,0001091667-17-000036,2017-03-15,G,1713.244,0.0,2382.1,D,,,,,,
1091667,2017-04-27,CHTR,Zinterhofer Eric Louis,,0001091667-17-000060,2017-04-25,A,961.0,0.0,14224.0,D,,,,,,
1091667,2017-04-27,CHTR,Newhouse Michael A,,0001091667-17-000058,2017-04-25,A,524.0,0.0,1088.0,D,,,,,,
1091667,2017-04-27,CHTR,Miron Steven A,,0001091667-17-000056,2017-04-25,A,524.0,0.0,2786.0,D,,,,,,
1091667,2017-04-27,CHTR,Ramos Mauricio,,0001091667-17-000054,2017-04-25,A,524.0,0.0,2521.0,D,,,,,,
1091667,2017-04-27,CHTR,Nair Balan,,0001091667-17-000052,2017-04-25,A,524.0,0.0,4665.0,D,,,,,,
1091667,2017-04-27,CHTR,MERRITT DAVID C,,0001091667-17-000050,2017-04-25,A,524.0,0.0,9374.0,D,,,,,,
1091667,2017-04-27,CHTR,Markley John D Jr,,0001091667-17-000048,2017-04-25,A,524.0,0.0,13862.0,D,,,,,,
1091667,2017-04-27,CHTR,MALONE JOHN C,,0001091667-17-000046,2017-04-25,A,524.0,0.0,1088.0,D,,,,,,
1091667,2017-04-27,CHTR,Jacobson Craig A,,0001091667-17-000044,2017-04-25,A,524.0,0.0,14087.0,D,,,,,,
1091667,2017-04-27,CHTR,MAFFEI GREGORY B,,0001091667-17-000042,2017-04-25,A,524.0,0.0,1521.0,D,,,,,,
1091667,2017-04-27,CHTR,Goodman Kim C,,0001091667-17-000040,2017-04-25,A,524.0,0.0,932.0,D,,,,,,
1091667,2017-04-28,CHTR,Conn Lance,,0001091667-17-000063,2017-04-25,A,524.0,0.0,9374.0,D,,,,,,
1091667,2017-05-10,CHTR,Jacobson Craig A,,0001091667-17-000081,2017-05-10,S,1000.0,323.6166,13436.0,D,,,,,,
