cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1766502,2019-06-18,CHWY,Chang Michael Chia-Hao,,0000899243-19-017314,2019-06-18,P,10000,22.0,10000,D,,,,,,
1766502,2019-06-18,CHWY,Marte Mario Jesus,,0000899243-19-017313,2019-06-18,P,15000,22.0,15000,D,,,,,,
1766502,2019-06-18,CHWY,Marte Mario Jesus,,0000899243-19-017313,2019-06-18,A,159324,0.0,159324,D,,,,,,
1766502,2019-06-18,CHWY,Kim James Dongyoung,,0000899243-19-017311,2019-06-18,P,1500,22.0,1500,D,,,,,,
1766502,2019-06-18,CHWY,Bowman Stacy,,0000899243-19-017310,2019-06-18,P,35500,22.0,35500,D,,,,,,
1766502,2019-06-18,CHWY,Bowman Stacy,,0000899243-19-017310,2019-06-18,A,63730,0.0,63730,D,,,,,,
1766502,2019-06-18,CHWY,STAR JAMES A,,0000899243-19-017309,2019-06-18,P,50000,22.0,50000,D,,,,,,
1766502,2019-06-18,CHWY,Ahmed Fahim,,0000899243-19-017305,2019-06-18,P,10000,22.0,10000,D,,,,,,
1766502,2019-06-18,CHWY,Mehta Satish,,0000899243-19-017303,2019-06-18,A,119493,0.0,119493,D,,,,,,
1766502,2019-06-18,CHWY,Singh Sumit,,0000899243-19-017300,2019-06-18,P,11000,22.0,11000,D,,,,,,
1766502,2019-06-18,CHWY,Singh Sumit,,0000899243-19-017300,2019-06-18,A,995777,0.0,995777,D,,,,,,
1766502,2019-06-18,CHWY,Symancyk James Kevin,,0000899243-19-017298,2019-06-18,P,10000,22.0,10000,D,,,,,,
1766502,2019-06-18,CHWY,Symancyk James Kevin,,0000899243-19-017298,2019-06-18,A,82941,0.0,82941,D,,,,,,
1766502,2019-06-18,CHWY,Svider Raymond,,0000899243-19-017297,2019-06-18,P,60000,22.0,60000,D,,,,,,
1766502,2019-06-18,CHWY,Sibenac Lisa Marie,,0000899243-19-017296,2019-06-18,P,1000,22.0,1000,D,,,,,,
1766502,2019-06-18,CHWY,Helfrick Susan,,0000899243-19-017294,2019-06-18,P,90000,22.0,90000,D,,,,,,
1766502,2019-06-18,CHWY,Helfrick Susan,,0000899243-19-017294,2019-06-18,A,79662,0.0,79662,D,,,,,,
1766502,2019-06-19,CHWY,Argos Holdings GP LLC,,0000899243-19-017512,2019-06-18,C,47875000,,47875000,I,,,,,,
1766502,2019-06-19,CHWY,Argos Holdings GP LLC,,0000899243-19-017512,2019-06-18,S,47875000,20.9,0,I,,,,,,
1766502,2019-06-19,CHWY,Argos Holdings GP LLC,,0000899243-19-017511,2019-06-18,C,47875000,,47875000,I,,,,,,
1766502,2019-06-19,CHWY,Argos Holdings GP LLC,,0000899243-19-017511,2019-06-18,S,47875000,20.9,0,I,,,,,,
1766502,2019-09-24,CHWY,MCCOLLAM SHARON,,0000899243-19-024173,2019-09-20,P,3500,27.5,3500,D,,,,,,
1766502,2019-10-02,CHWY,STAR JAMES A,,0000899243-19-024689,2019-09-30,P,20121,24.7367,70121,D,,,,,,
1766502,2019-10-02,CHWY,STAR JAMES A,,0000899243-19-024689,2019-10-01,P,21400,23.1838,91521,D,,,,,,
1766502,2019-12-20,CHWY,Singh Sumit,,0000899243-19-029849,2019-12-18,S,195888,28.035,810889,D,,,,,,
1766502,2019-12-20,CHWY,Marte Mario Jesus,,0000899243-19-029857,2019-12-18,S,28831,28.035,145493,D,,,,,,
1766502,2019-12-20,CHWY,Marte Mario Jesus,,0000899243-19-029857,2019-12-19,S,30854,28.48,114639,D,,,,,,
