cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
827876,2016-07-08,SRTN,Bradford Zachary,,0001663577-16-000197,2015-04-16,A,100000,0.0,100000,D,,,,,,
827876,2016-07-08,SRTN,Bradford Zachary,,0001663577-16-000197,2016-06-30,A,150000,0.0,250000,D,,,,,,
827876,2016-07-11,SRTN,Schultz S. Matthew,,0001663577-16-000209,2015-03-05,J,409956,0.0,4800000,I,,,,,,
827876,2016-07-11,SRTN,Schultz S. Matthew,,0001663577-16-000209,2015-04-16,A,100000,0.0,100000,D,,,,,,
827876,2016-07-11,SRTN,Schultz S. Matthew,,0001663577-16-000209,2016-06-30,A,150000,0.0,250000,D,,,,,,
827876,2016-07-18,SRTN,McNeill Larry,,0001663577-16-000235,2015-04-16,A,100000,0.0,100000,D,,,,,,
827876,2016-07-18,SRTN,McNeill Larry,,0001663577-16-000235,2016-06-30,A,150000,0.0,250000,D,,,,,,
827876,2016-07-18,SRTN,Lybbert Bruce,,0001663577-16-000229,2015-03-05,J,2145960,0.0,4800000,I,,,,,,
827876,2016-07-18,SRTN,Lybbert Bruce,,0001663577-16-000229,2015-04-16,A,100000,0.0,100000,D,,,,,,
827876,2016-07-18,SRTN,Lybbert Bruce,,0001663577-16-000229,2015-05-12,G,1531483,0.0,3268463,I,,,,,,
827876,2016-07-18,SRTN,Lybbert Bruce,,0001663577-16-000229,2016-06-30,A,150000,0.0,250000,D,,,,,,
827876,2016-11-08,SRTN,Schultz S. Matthew,,0001663577-16-000378,2016-11-04,C,1466352,0.083,6266352,D,,,,,,
827876,2016-11-08,SRTN,Bradford Zachary,,0001663577-16-000376,2016-11-04,C,1466352,0.083,3358632,I,,,,,,
827876,2016-12-29,CLSK,Lybbert Bruce,,0001663577-16-000431,2016-07-06,G,308820,0.0,2979643,I,,,,,,
827876,2016-12-29,CLSK,Schultz S. Matthew,,0001663577-16-000428,2016-12-21,G,225000,0.0,6451308,I,,,,,,
827876,2018-01-17,CLSK,McNeill Larry,,0001663577-18-000025,2016-12-31,F,1500000,0.083,1086352,D,,,,,,
827876,2018-01-17,CLSK,McNeill Larry,,0001663577-18-000025,2017-04-12,G,200000,0.0,1686352,D,,,,,,
827876,2018-01-17,CLSK,McNeill Larry,,0001663577-18-000025,2017-04-26,G,600000,0.0,1086352,D,,,,,,
827876,2018-02-22,CLSK,Schultz S. Matthew,,0001663577-18-000100,2018-02-15,G,16352,0.0,6434956,I,,,,,,
827876,2018-02-22,CLSK,Schultz S. Matthew,,0001663577-18-000100,2018-02-15,S,450000,0.2,5984956,I,,,,,,
827876,2018-04-17,CLSK,Huber Brian,,0001663577-18-000187,2018-03-14,J,22138,0.966,22138,D,,,,,,
827876,2018-05-11,CLSK,Huber Brian,,0001663577-18-000219,2018-05-10,C,1353,1.5,23491,D,,,,,,
827876,2019-03-06,CLSK,Schultz S. Matthew,,0001663577-19-000096,2019-03-05,G,250000,0.0,5734956,D,,,,,,
827876,2020-02-06,CLSK,Tadayon Amer,,0001663577-20-000030,2020-01-31,A,31183,4.65,31183,D,,,,,,
827876,2020-06-25,CLSK,Bradford Zachary,,0001663577-20-000184,2020-06-23,A,4831,2.07,340694,D,,,,,,
827876,2020-06-25,CLSK,Love Lori,,0001663577-20-000182,2020-06-23,A,4831,2.07,4831,D,,,,,,
827876,2020-06-25,CLSK,Beynon Roger Paul,,0001663577-20-000180,2020-06-23,A,8274,2.72,8274,D,,,,,,
827876,2020-06-25,CLSK,Wood Thomas Leigh,,0001663577-20-000178,2020-06-23,A,7083,2.12,52279,D,,,,,,
827876,2020-09-30,CLSK,Beynon Roger Paul,,0001663577-20-000358,2020-09-28,A,1681,4.46,9955,D,,,,,,
827876,2020-09-30,CLSK,Wood Thomas Leigh,,0001663577-20-000357,2020-09-28,A,1681,4.46,53960,D,,,,,,
827876,2020-10-28,CLSK,Kabak Amanda,,0001663577-20-000397,2020-10-26,A,13000,,13000,D,,,,,,
827876,2020-10-28,CLSK,Schultz S. Matthew,,0001663577-20-000395,2020-10-26,A,60000,,605996,D,,,,,,
827876,2020-10-28,CLSK,Love Lori,,0001663577-20-000393,2020-10-26,A,38000,,42831,D,,,,,,
827876,2020-10-28,CLSK,Bradford Zachary,,0001663577-20-000391,2020-10-26,A,75000,,415695,D,,,,,,
827876,2020-12-28,CLSK,Wood Thomas Leigh,,0001663577-20-000512,2020-12-22,A,740,10.13,54700,D,,,,,,
827876,2020-12-28,CLSK,Beynon Roger Paul,,0001663577-20-000510,2020-12-22,A,740,10.13,10695,D,,,,,,
827876,2021-01-05,CLSK,Bradford Zachary,,0001663577-21-000012,2020-12-31,F,715,29.05,538980,D,,,,,,
827876,2021-01-05,CLSK,Bradford Zachary,,0001663577-21-000012,2020-12-31,M,25000,0.83,539695,D,,,,,,
