cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership
28412,2017-05-02,CMA,RITCHIE MICHAEL T,,0000028412-17-000078,2017-04-28,S,2500,70.861,19493,D
28412,2017-05-02,CMA,MICHALAK MICHAEL H,,0000028412-17-000077,2017-04-28,S,6572,70.8,37563,D
28412,2017-05-02,CMA,MICHALAK MICHAEL H,,0000028412-17-000077,2017-04-28,S,400,70.805,37163,D
28412,2017-05-02,CMA,MICHALAK MICHAEL H,,0000028412-17-000077,2017-04-28,S,310,70.81,36853,D
28412,2017-05-02,CMA,MICHALAK MICHAEL H,,0000028412-17-000077,2017-04-28,S,300,70.815,36553,D
28412,2017-05-02,CMA,MICHALAK MICHAEL H,,0000028412-17-000077,2017-04-28,S,875,70.793,35378,D
28412,2017-05-02,CMA,FARMER CURTIS C,,0000028412-17-000076,2017-04-28,M,21000,39.16,93191,D
28412,2017-05-02,CMA,FARMER CURTIS C,,0000028412-17-000076,2017-04-28,S,21000,71.013,72191,D
28412,2017-05-02,CMA,FARMER CURTIS C,,0000028412-17-000076,2017-04-28,M,22000,39.1,94191,D
28412,2017-05-02,CMA,FARMER CURTIS C,,0000028412-17-000076,2017-04-28,S,22000,70.885,72191,D
28412,2017-05-02,CMA,FARMER CURTIS C,,0000028412-17-000076,2017-04-28,M,15750,29.6,87941,D
28412,2017-05-02,CMA,FARMER CURTIS C,,0000028412-17-000076,2017-04-28,S,15650,70.843,72291,D
28412,2017-05-02,CMA,FARMER CURTIS C,,0000028412-17-000076,2017-04-28,S,100,71.64,72191,D
28412,2017-05-02,CMA,FARMER CURTIS C,,0000028412-17-000076,2017-04-28,M,5500,33.79,77691,D
28412,2017-05-02,CMA,FARMER CURTIS C,,0000028412-17-000076,2017-04-28,S,5500,70.85,72191,D
28412,2017-05-02,CMA,BABB RALPH W JR,,0000028412-17-000075,2017-04-28,M,41800,17.32,636555,D
28412,2017-05-02,CMA,BABB RALPH W JR,,0000028412-17-000075,2017-04-28,S,300,70.69,636255,D
28412,2017-05-02,CMA,BABB RALPH W JR,,0000028412-17-000075,2017-04-28,S,500,70.73,635755,D
28412,2017-05-02,CMA,BABB RALPH W JR,,0000028412-17-000075,2017-04-28,S,41000,70.735,594755,D
28412,2017-05-02,CMA,BABB RALPH W JR,,0000028412-17-000075,2017-05-01,M,41800,17.32,636555,D
28412,2017-05-02,CMA,BABB RALPH W JR,,0000028412-17-000075,2017-05-01,S,41800,71.14,594755,D
28412,2017-07-11,CMA,KANE JACQUELINE P,,0000028412-17-000090,2017-07-07,A,187,74.67,22999,D
28412,2017-07-11,CMA,LINDNER RICHARD G,,0000028412-17-000089,2017-07-07,A,342,74.67,46576,D
28412,2017-07-11,CMA,CREGG ROGER A,,0000028412-17-000088,2017-07-07,A,268,74.67,38133,D
28412,2017-07-27,CMA,Van de Ven Michael G,,0000028412-17-000102,2017-07-25,A,1350,0.0,1350,D
28412,2017-07-27,CMA,Humrichouse Ximena G,,0000028412-17-000101,2017-07-25,A,1350,0.0,22089,D
28412,2017-07-27,CMA,Turner Reginald M JR,,0000028412-17-000100,2017-07-25,A,1350,0.0,25263,D
28412,2017-07-27,CMA,TAUBMAN ROBERT S,,0000028412-17-000099,2017-07-25,A,1350,0.0,38361,D
28412,2017-07-27,CMA,PIERGALLINI ALFRED A,,0000028412-17-000098,2017-07-25,A,1350,0.0,74151,D
28412,2017-07-27,CMA,LINDNER RICHARD G,,0000028412-17-000097,2017-07-25,A,1350,0.0,47926,D
28412,2017-07-27,CMA,KANE JACQUELINE P,,0000028412-17-000096,2017-07-25,A,1350,0.0,24349,D
28412,2017-07-27,CMA,DENICOLA T KEVIN,,0000028412-17-000095,2017-07-25,A,1350,0.0,21099,D
28412,2017-07-27,CMA,CREGG ROGER A,,0000028412-17-000094,2017-07-25,A,1350,0.0,39483,D
28412,2017-07-27,CMA,Collins Michael E.,,0000028412-17-000093,2017-07-25,A,1350,0.0,1350,D
28412,2017-08-24,CMA,Love Judith S,,0000028412-17-000105,2017-08-22,M,14000,29.6,36992,D
