cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1156375,2017-12-04,CME,TAYLOR KIMBERLY S,,0001156375-17-000117,2017-11-30,M,8125.0,83.88,120590.0,D,,,,,,
1156375,2017-12-04,CME,TAYLOR KIMBERLY S,,0001156375-17-000117,2017-11-30,S,8125.0,150.0,112465.0,D,,,,,,
1156375,2017-12-11,CME,Winkler Julie,,0001156375-17-000118,2017-12-07,S,2457.0,150.41,16318.0,D,,,,,,
1156375,2017-12-19,CME,Tobin Jack J,,0001156375-17-000119,2017-12-18,M,2325.0,83.88,17574.0,D,,,,,,
1156375,2017-12-19,CME,Tobin Jack J,,0001156375-17-000119,2017-12-18,S,2325.0,152.28,15249.0,D,,,,,,
1156375,2018-01-02,CME,DUFFY TERRENCE A,,0001156375-18-000001,2017-12-31,F,411.0,146.05,123519.0,D,,,,,,
1156375,2018-01-10,CME,Pietrowicz John W.,,0001156375-18-000002,2018-01-09,S,7500.0,151.5,32376.0,D,,,,,,
1156375,2018-02-06,CME,Sammann Derek,,0001156375-18-000006,2018-02-02,M,2400.0,83.88,40153.0,D,,,,,,
1156375,2018-02-06,CME,Sammann Derek,,0001156375-18-000006,2018-02-02,S,2400.0,161.655,37753.0,D,,,,,,
1156375,2018-02-06,CME,Kometer Kevin,,0001156375-18-000007,2018-02-02,M,7180.0,56.87,61012.0,D,,,,,,
1156375,2018-02-06,CME,Kometer Kevin,,0001156375-18-000007,2018-02-02,S,7180.0,162.0181,53832.0,D,,,,,,
1156375,2018-02-07,CME,MELAMED LEO,,0001156375-18-000012,2018-02-05,S,7300.0,155.78,10537.0,D,,,,,,
1156375,2018-02-08,CME,DUFFY TERRENCE A,,0001156375-18-000013,2018-02-06,S,20000.0,151.66,99239.0,D,,,,,,
1156375,2018-02-15,CME,Pankau Ronald A.,,0001156375-18-000021,2018-02-14,S,200.0,159.91,3809.0,D,,,,,,
1156375,2018-02-16,CME,GEPSMAN MARTIN J,,0001156375-18-000022,2018-02-15,S,300.0,164.29,43011.0,D,,,,,,
1156375,2018-02-22,CME,Piell Hilda Harris,,0001156375-18-000023,2018-02-20,S,3299.0,163.52,26850.0,D,,,,,,
1156375,2018-03-19,CME,Winkler Julie,,0001156375-18-000040,2018-03-15,A,4822.0,0.0,21140.0,D,,,,,,
1156375,2018-03-19,CME,Winkler Julie,,0001156375-18-000040,2018-03-15,F,1513.0,165.66,19627.0,D,,,,,,
1156375,2018-03-19,CME,Tully Sean,,0001156375-18-000039,2018-03-15,A,2405.0,0.0,33327.0,D,,,,,,
1156375,2018-03-19,CME,Tully Sean,,0001156375-18-000039,2018-03-15,F,1179.0,165.66,37171.0,D,,,,,,
1156375,2018-03-19,CME,Tully Sean,,0001156375-18-000039,2018-03-16,F,144.0,165.12,34933.0,D,,,,,,
1156375,2018-03-19,CME,Tobin Jack J,,0001156375-18-000038,2018-03-15,A,1012.0,0.0,16051.0,D,,,,,,
1156375,2018-03-19,CME,Tobin Jack J,,0001156375-18-000038,2018-03-15,F,297.0,165.66,15754.0,D,,,,,,
1156375,2018-03-19,CME,Sammann Derek,,0001156375-18-000037,2018-03-15,A,2405.0,0.0,16339.0,D,,,,,,
1156375,2018-03-19,CME,Sammann Derek,,0001156375-18-000037,2018-03-15,F,1067.0,165.66,20295.0,D,,,,,,
1156375,2018-03-19,CME,Sammann Derek,,0001156375-18-000037,2018-03-16,F,127.0,165.12,18179.0,D,,,,,,
1156375,2018-03-19,CME,Pietrowicz John W.,,0001156375-18-000036,2018-03-15,A,2497.0,0.0,34873.0,D,,,,,,
1156375,2018-03-19,CME,Pietrowicz John W.,,0001156375-18-000036,2018-03-15,F,1107.0,165.66,39926.0,D,,,,,,
1156375,2018-03-19,CME,Pietrowicz John W.,,0001156375-18-000036,2018-03-16,F,132.0,165.12,37457.0,D,,,,,,
1156375,2018-03-19,CME,Kometer Kevin,,0001156375-18-000035,2018-03-15,A,10050.0,0.0,63882.0,D,,,,,,
1156375,2018-03-19,CME,Kometer Kevin,,0001156375-18-000035,2018-03-15,F,4453.0,165.66,59429.0,D,,,,,,
1156375,2018-03-19,CME,Holzrichter Julie,,0001156375-18-000034,2018-03-15,A,10050.0,0.0,51033.0,D,,,,,,
1156375,2018-03-19,CME,Holzrichter Julie,,0001156375-18-000034,2018-03-15,F,4088.0,165.66,46945.0,D,,,,,,
1156375,2018-03-19,CME,Piell Hilda Harris,,0001156375-18-000033,2018-03-15,A,8037.0,0.0,34887.0,D,,,,,,
1156375,2018-03-19,CME,Piell Hilda Harris,,0001156375-18-000033,2018-03-15,F,2888.0,165.66,31999.0,D,,,,,,
1156375,2018-03-19,CME,Durkin Bryan T,,0001156375-18-000032,2018-03-15,A,16078.0,0.0,83495.0,D,,,,,,
1156375,2018-03-19,CME,Durkin Bryan T,,0001156375-18-000032,2018-03-15,F,7124.0,165.66,76371.0,D,,,,,,
1156375,2018-03-19,CME,DUFFY TERRENCE A,,0001156375-18-000031,2018-03-15,A,28710.0,0.0,127949.0,D,,,,,,
1156375,2018-03-19,CME,DUFFY TERRENCE A,,0001156375-18-000031,2018-03-15,F,12720.0,165.66,115229.0,D,,,,,,
1156375,2018-03-19,CME,Cutinho Sunil,,0001156375-18-000030,2018-03-15,A,5449.0,0.0,27750.0,D,,,,,,
1156375,2018-03-19,CME,Cutinho Sunil,,0001156375-18-000030,2018-03-15,F,2226.0,165.66,26991.0,D,,,,,,
1156375,2018-03-19,CME,Cutinho Sunil,,0001156375-18-000030,2018-03-16,F,287.0,165.12,26273.0,D,,,,,,
1156375,2018-03-19,CME,CRONIN KATHLEEN M,,0001156375-18-000029,2018-03-15,A,8037.0,0.0,41739.0,D,,,,,,
1156375,2018-03-19,CME,CRONIN KATHLEEN M,,0001156375-18-000029,2018-03-15,F,3019.0,165.66,38720.0,D,,,,,,
1156375,2018-04-10,CME,Pietrowicz John W.,,0001156375-18-000041,2018-04-10,S,2500.0,161.02,34957.0,D,,,,,,
1156375,2018-05-22,CME,Bernacchi Jeffrey M.,,0001156375-18-000049,2018-05-21,S,1587.0,161.45,58607.0,D,,,,,,
1156375,2018-05-22,CME,Bernacchi Jeffrey M.,,0001156375-18-000049,2018-05-22,S,2228.0,160.75,56379.0,D,,,,,,
1156375,2018-05-23,CME,DUFFY TERRENCE A,,0001156375-18-000050,2018-05-22,S,20000.0,161.0,94686.0,D,,,,,,
1156375,2018-05-29,CME,GEPSMAN MARTIN J,,0001156375-18-000051,2018-05-25,S,600.0,159.77,42411.0,D,,,,,,
1156375,2018-06-01,CME,CRONIN KATHLEEN M,,0001156375-18-000053,2018-05-31,M,5320.0,56.87,44040.0,D,,,,,,
1156375,2018-06-01,CME,CRONIN KATHLEEN M,,0001156375-18-000053,2018-05-31,S,5320.0,164.7501,38720.0,D,,,,,,
1156375,2018-06-06,CME,Bitsberger Timothy S.,,0001156375-18-000054,2018-06-05,S,400.0,170.11,9433.0,D,,,,,,
1156375,2018-06-08,CME,Pankau Ronald A.,,0001156375-18-000055,2018-06-07,S,250.0,171.51,3559.0,D,,,,,,
1156375,2018-06-27,CME,WESCOTT DAVID J,,0001156375-18-000074,2018-06-25,A,601.0,0.0,75166.0,D,,,,,,
1156375,2018-06-27,CME,Suskind Dennis,,0001156375-18-000073,2018-06-25,A,601.0,0.0,5660.0,D,,,,,,
1156375,2018-06-27,CME,SIEGEL HOWARD J,,0001156375-18-000072,2018-06-25,A,961.0,0.0,84200.0,D,,,,,,
1156375,2018-06-27,CME,SHEPARD WILLIAM R,,0001156375-18-000071,2018-06-25,A,961.0,0.0,194691.695,I,,,,,,
1156375,2018-06-27,CME,SAVAGE TERRY L,,0001156375-18-000070,2018-06-25,A,601.0,0.0,16434.0,I,,,,,,
1156375,2018-06-27,CME,POLLOCK ALEX J,,0001156375-18-000069,2018-06-25,A,961.0,0.0,18667.0,D,,,,,,
1156375,2018-06-27,CME,Pankau Ronald A.,,0001156375-18-000068,2018-06-25,A,601.0,0.0,4160.0,D,,,,,,
1156375,2018-06-27,CME,Lucas Deborah J,,0001156375-18-000067,2018-06-25,A,601.0,0.0,601.0,D,,,,,,
1156375,2018-06-27,CME,Hobert William W,,0001156375-18-000066,2018-06-25,A,961.0,0.0,78634.0,D,,,,,,
1156375,2018-06-27,CME,Hertshten Gedon,,0001156375-18-000065,2018-06-25,A,961.0,0.0,34505.0,D,,,,,,
1156375,2018-06-27,CME,GLICKMAN DANIEL R,,0001156375-18-000064,2018-06-25,A,601.0,0.0,14400.0,D,,,,,,
1156375,2018-06-27,CME,GERDES LARRY G,,0001156375-18-000063,2018-06-25,A,961.0,0.0,33566.15,D,,,,,,
1156375,2018-06-27,CME,GEPSMAN MARTIN J,,0001156375-18-000062,2018-06-25,A,601.0,0.0,43012.0,D,,,,,,
1156375,2018-06-27,CME,Dutra Ana,,0001156375-18-000061,2018-06-25,A,961.0,0.0,4394.0,D,,,,,,
1156375,2018-06-27,CME,Cook Elizabeth A,,0001156375-18-000060,2018-06-25,A,601.0,0.0,21534.0,I,,,,,,
1156375,2018-06-27,CME,CHOOKASZIAN DENNIS,,0001156375-18-000059,2018-06-25,A,601.0,0.0,1410.0,D,,,,,,
1156375,2018-06-27,CME,Carey Charles P,,0001156375-18-000058,2018-06-25,A,961.0,0.0,4159.0,I,,,,,,
1156375,2018-06-27,CME,Bitsberger Timothy S.,,0001156375-18-000057,2018-06-25,A,601.0,0.0,10034.0,D,,,,,,
1156375,2018-06-27,CME,Bernacchi Jeffrey M.,,0001156375-18-000056,2018-06-25,A,601.0,0.0,56980.0,D,,,,,,
1156375,2018-07-11,CME,Pietrowicz John W.,,0001156375-18-000075,2018-07-10,S,2500.0,164.11,32457.0,D,,,,,,
1156375,2018-08-07,CME,Durkin Bryan T,,0001156375-18-000084,2018-08-06,S,11509.0,162.01,64862.0,D,,,,,,
1156375,2018-08-09,CME,Pankau Ronald A.,,0001156375-18-000085,2018-08-09,S,260.0,163.17,3900.0,D,,,,,,
1156375,2018-09-06,CME,Piell Hilda Harris,,0001156375-18-000087,2018-09-04,S,1823.0,175.0,30176.0,D,,,,,,
1156375,2018-09-06,CME,Bernacchi Jeffrey M.,,0001156375-18-000086,2018-09-04,S,4976.0,176.6,52004.0,D,,,,,,
1156375,2018-09-07,CME,Tobin Jack J,,0001156375-18-000088,2018-09-05,M,1780.0,56.87,17534.0,D,,,,,,
1156375,2018-09-07,CME,Tobin Jack J,,0001156375-18-000088,2018-09-05,S,1780.0,174.8653,15754.0,D,,,,,,
1156375,2018-09-14,CME,GEPSMAN MARTIN J,,0001156375-18-000089,2018-09-13,S,100.0,172.29,42912.0,D,,,,,,
1156375,2018-09-18,CME,Kometer Kevin,,0001156375-18-000101,2018-09-14,A,3900.0,0.0,63329.0,D,,,,,,
1156375,2018-09-18,CME,Tobin Jack J,,0001156375-18-000099,2018-09-14,A,1072.0,0.0,16727.0,D,,,,,,
1156375,2018-09-18,CME,CRONIN KATHLEEN M,,0001156375-18-000096,2018-09-15,F,357.0,173.15,41635.0,D,,,,,,
1156375,2018-09-18,CME,Holzrichter Julie,,0001156375-18-000100,2018-09-15,F,433.0,173.15,50628.0,D,,,,,,
1156375,2018-09-18,CME,Tobin Jack J,,0001156375-18-000099,2018-06-14,G,99.0,0.0,15655.0,D,,,,,,
1156375,2018-09-18,CME,Holzrichter Julie,,0001156375-18-000100,2018-09-14,A,4116.0,0.0,51061.0,D,,,,,,
1156375,2018-09-18,CME,Piell Hilda Harris,,0001156375-18-000097,2018-09-15,F,357.0,173.15,32048.0,D,,,,,,
1156375,2018-09-18,CME,Winkler Julie,,0001156375-18-000098,2018-09-15,F,221.0,173.15,22462.0,D,,,,,,
1156375,2018-09-18,CME,Piell Hilda Harris,,0001156375-18-000097,2018-06-14,G,1235.0,0.0,30764.0,D,,,,,,
1156375,2018-09-18,CME,CRONIN KATHLEEN M,,0001156375-18-000096,2018-06-01,G,408.0,0.0,38312.0,D,,,,,,
1156375,2018-09-18,CME,Piell Hilda Harris,,0001156375-18-000097,2018-09-14,A,3464.0,0.0,32405.0,D,,,,,,
1156375,2018-09-18,CME,Winkler Julie,,0001156375-18-000098,2018-09-14,A,3248.0,0.0,22683.0,D,,,,,,
1156375,2018-09-18,CME,CRONIN KATHLEEN M,,0001156375-18-000096,2018-09-14,A,3680.0,0.0,41992.0,D,,,,,,
1156375,2018-09-18,CME,Kometer Kevin,,0001156375-18-000101,2018-09-15,F,433.0,173.15,62896.0,D,,,,,,
1156375,2018-09-18,CME,DUFFY TERRENCE A,,0001156375-18-000090,2018-09-14,A,15160.0,0.0,109846.0,D,,,,,,
1156375,2018-09-18,CME,Cutinho Sunil,,0001156375-18-000095,2018-09-15,F,433.0,173.15,29520.0,D,,,,,,
1156375,2018-09-18,CME,Sammann Derek,,0001156375-18-000094,2018-05-02,G,1525.0,0.0,16654.0,D,,,,,,
1156375,2018-09-18,CME,Tully Sean,,0001156375-18-000093,2018-09-15,F,404.0,173.15,38429.0,D,,,,,,
1156375,2018-09-18,CME,Sammann Derek,,0001156375-18-000094,2018-08-29,G,528.0,0.0,16126.0,D,,,,,,
1156375,2018-09-18,CME,Sammann Derek,,0001156375-18-000094,2018-09-15,F,357.0,173.15,19449.0,D,,,,,,
1156375,2018-09-18,CME,Tully Sean,,0001156375-18-000093,2018-09-14,A,3900.0,0.0,38833.0,D,,,,,,
1156375,2018-09-18,CME,DUFFY TERRENCE A,,0001156375-18-000090,2018-09-15,F,2080.0,173.15,107766.0,D,,,,,,
1156375,2018-09-18,CME,Durkin Bryan T,,0001156375-18-000091,2018-09-15,F,712.0,173.15,71946.0,D,,,,,,
1156375,2018-09-18,CME,Pietrowicz John W.,,0001156375-18-000092,2018-09-15,F,458.0,173.15,36763.0,D,,,,,,
1156375,2018-09-18,CME,Durkin Bryan T,,0001156375-18-000091,2018-09-14,A,7796.0,0.0,72658.0,D,,,,,,
1156375,2018-09-18,CME,Cutinho Sunil,,0001156375-18-000095,2018-09-14,A,3680.0,0.0,29953.0,D,,,,,,
1156375,2018-09-18,CME,Pietrowicz John W.,,0001156375-18-000092,2018-09-14,A,4764.0,0.0,37221.0,D,,,,,,
1156375,2018-09-18,CME,Sammann Derek,,0001156375-18-000094,2018-09-14,A,3680.0,0.0,19806.0,D,,,,,,
1156375,2018-09-27,CME,SIEGEL HOWARD J,,0001156375-18-000118,2018-09-25,A,173.0,0.0,84373.0,D,,,,,,
1156375,2018-09-27,CME,SHEPARD WILLIAM R,,0001156375-18-000117,2018-09-25,A,173.0,0.0,194864.695,I,,,,,,
