cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
26172,2016-05-20,CMI,Padmanabhan Srikanth,,0001225208-16-033720,2016-05-18,M,2180.0,58.115,5321.777,D,,,,,,
26172,2016-05-20,CMI,Padmanabhan Srikanth,,0001225208-16-033720,2016-05-18,S,1463.0,112.5614,3858.777,D,,,,,,
26172,2016-05-20,CMI,NELSON GEORGIA R,,0001225208-16-033719,2016-05-19,A,1300.0,0.0,16127.2067,D,,,,,,
26172,2016-05-20,CMI,MILLER WILLIAM I,,0001225208-16-033718,2016-05-19,A,1300.0,0.0,39449.2722,D,,,,,,
26172,2016-05-20,CMI,LYNCH THOMAS J,,0001225208-16-033717,2016-05-19,A,1300.0,0.0,4386.0,D,,,,,,
26172,2016-05-20,CMI,HERMAN ALEXIS M,,0001225208-16-033716,2016-05-19,A,1300.0,0.0,30169.8568,D,,,,,,
26172,2016-05-20,CMI,HERDMAN ROBERT,,0001225208-16-033715,2016-05-19,A,1300.0,0.0,11934.1253,D,,,,,,
26172,2016-05-20,CMI,DOBBS STEPHEN B,,0001225208-16-033714,2016-05-19,A,1300.0,0.0,6928.0,D,,,,,,
26172,2016-05-20,CMI,Di Leo Allen Bruno V,,0001225208-16-033713,2016-05-19,A,1300.0,0.0,4103.0,D,,,,,,
26172,2016-05-20,CMI,ChangDiaz Franklin R,,0001225208-16-033712,2016-05-19,A,1300.0,0.0,6452.0,D,,,,,,
26172,2016-05-20,CMI,Bernhard Robert J,,0001225208-16-033711,2016-05-19,A,1300.0,0.0,11469.0,D,,,,,,
26172,2016-05-26,CMI,Talaulicar Anant,,0001225208-16-034026,2016-05-25,S,5100.0,111.5383,13009.0,D,,,,,,
26172,2016-05-31,CMI,HERMAN ALEXIS M,,0001225208-16-034181,2016-05-26,S,1086.0,113.67,29083.8568,D,,,,,,
26172,2016-06-06,CMI,ROSE MARYA M,,0001225208-16-034609,2016-05-25,S,848.0,112.1103,14743.0,D,,,,,,
26172,2016-07-27,CMI,Ward Pat,,0001225208-16-037050,2016-07-27,S,5000.0,122.5,8024.0,D,,,,,,
26172,2016-07-27,CMI,Cook Jill E,,0001225208-16-037049,2016-07-26,M,2895.0,19.42,24800.0,D,,,,,,
26172,2016-07-27,CMI,Cook Jill E,,0001225208-16-037049,2016-07-26,S,2895.0,120.2,21905.0,D,,,,,,
26172,2016-08-08,CMI,HUNT MARSHA L,,0001225208-16-037591,2016-08-08,S,500.0,126.2643,2582.0,D,,,,,,
26172,2016-08-08,CMI,Freeland Richard Joseph,,0001225208-16-037590,2016-08-05,S,2500.0,125.0,5808.0,D,,,,,,
26172,2016-08-08,CMI,CHAPMAN STEVEN M,,0001225208-16-037589,2016-08-05,S,3000.0,125.0,20270.0,D,,,,,,
26172,2016-08-08,CMI,Cook Jill E,,0001225208-16-037588,2016-08-05,M,2895.0,19.42,21714.0,D,,,,,,
26172,2016-08-08,CMI,Cook Jill E,,0001225208-16-037588,2016-08-05,S,2895.0,125.05,18819.0,D,,,,,,
26172,2016-08-12,CMI,Ewald Thaddeus B,,0001225208-16-037807,2016-08-11,M,820.0,78.575,3874.149,D,,,,,,
26172,2016-08-12,CMI,Ewald Thaddeus B,,0001225208-16-037807,2016-08-11,S,820.0,126.9502,3054.149,D,,,,,,
26172,2016-08-12,CMI,Ward Pat,,0001225208-16-037806,2016-08-12,S,5000.0,127.5,3024.0,D,,,,,,
26172,2016-08-24,CMI,Freeland Richard Joseph,,0001140361-16-077716,2016-08-22,G,8000.0,0.0,17206.0,I,,,,,,
26172,2016-11-08,CMI,HUNT MARSHA L,,0001140361-16-085332,2016-11-04,M,1800.0,111.84,4382.0,D,,,,,,
26172,2016-11-08,CMI,HUNT MARSHA L,,0001140361-16-085332,2016-11-04,S,1800.0,125.4628,2582.0,D,,,,,,
26172,2016-11-08,CMI,HUNT MARSHA L,,0001140361-16-085332,2016-11-07,M,1540.0,111.84,4122.0,D,,,,,,
26172,2016-11-08,CMI,HUNT MARSHA L,,0001140361-16-085332,2016-11-07,S,1540.0,127.5583,2582.0,D,,,,,,
26172,2016-11-14,CMI,ROSE MARYA M,,0001140361-16-086559,2016-11-11,M,5450.0,58.115,20193.0,D,,,,,,
26172,2016-11-14,CMI,ROSE MARYA M,,0001140361-16-086559,2016-11-11,S,5440.0,136.3964,14753.0,D,,,,,,
26172,2016-11-14,CMI,Freeland Richard Joseph,,0001140361-16-086059,2016-11-09,S,2500.0,135.0,3308.0,D,,,,,,
26172,2016-11-14,CMI,CHAPMAN STEVEN M,,0001140361-16-086055,2012-02-28,G,670.0,0.0,15369.0,D,,,,,,
26172,2016-11-14,CMI,CHAPMAN STEVEN M,,0001140361-16-086055,2016-11-09,S,3000.0,135.0,12369.0,D,,,,,,
26172,2016-11-28,CMI,HUNT MARSHA L,,0001140361-16-087955,2016-11-23,S,400.0,140.925,2182.0,D,,,,,,
26172,2016-11-30,CMI,Satterthwaite Tony,,0001140361-16-088188,2016-11-28,S,3607.0,138.0298,36116.0,D,,,,,,
26172,2016-11-30,CMI,HERDMAN ROBERT,,0001140361-16-088185,2016-11-28,S,1000.0,137.7734,11134.827,D,,,,,,
26172,2016-12-05,CMI,CHAPMAN STEVEN M,,0001140361-16-088801,2016-12-01,S,3000.0,145.0,9369.0,D,,,,,,
26172,2017-03-08,CMI,Freeland Richard Joseph,,0001225208-17-005848,2017-02-24,G,1500.0,0.0,15706.0,I,,,,,,
26172,2017-03-08,CMI,JACKSON DONALD G,,0001225208-17-005867,2017-03-06,F,38.0,152.85,72.941,D,,,,,,
26172,2017-03-08,CMI,Ewald Thaddeus B,,0001225208-17-005866,2017-03-06,A,462.0,0.0,3543.932,D,,,,,,
26172,2017-03-08,CMI,Ewald Thaddeus B,,0001225208-17-005866,2017-03-06,F,174.0,152.85,3369.932,D,,,,,,
26172,2017-03-08,CMI,Embree Tracy A,,0001225208-17-005865,2017-03-06,A,413.0,0.0,2633.0,D,,,,,,
26172,2017-03-08,CMI,Embree Tracy A,,0001225208-17-005865,2017-03-06,F,144.0,152.85,2489.0,D,,,,,,
26172,2017-03-08,CMI,Cook Jill E,,0001225208-17-005864,2017-03-06,A,1393.0,0.0,17127.0,D,,,,,,
26172,2017-03-08,CMI,Cook Jill E,,0001225208-17-005864,2017-03-06,F,456.0,152.85,16671.0,D,,,,,,
26172,2017-03-08,CMI,Clulow Christopher C,,0001225208-17-005863,2017-03-06,A,137.0,0.0,1801.532,D,,,,,,
26172,2017-03-08,CMI,Barner Sharon R,,0001225208-17-005861,2017-03-06,F,530.0,152.85,3673.0,D,,,,,,
26172,2017-03-08,CMI,CHAPMAN STEVEN M,,0001225208-17-005862,2017-03-06,A,2065.0,0.0,11434.0,D,,,,,,
26172,2017-03-08,CMI,CHAPMAN STEVEN M,,0001225208-17-005862,2017-03-06,F,932.0,152.85,10502.0,D,,,,,,
26172,2017-03-08,CMI,Barner Sharon R,,0001225208-17-005861,2017-03-06,A,1652.0,0.0,4203.0,D,,,,,,
26172,2017-03-08,CMI,Osowick Mark J,,0001225208-17-005852,2017-03-06,A,105.0,0.0,5310.353,D,,,,,,
26172,2017-03-08,CMI,Aaholm Sherry A,,0001225208-17-005860,2017-03-06,A,721.0,0.0,1383.0,D,,,,,,
26172,2017-03-08,CMI,Aaholm Sherry A,,0001225208-17-005860,2017-03-06,F,238.0,152.85,1145.0,D,,,,,,
