cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
811156,2016-01-22,CMS,RUSSELL JOHN G,"isDirector,isOfficer",0001246360-16-004174,2016-01-20,A,141824,0.0,905944,D,,,,,,
811156,2016-01-22,CMS,WEBB THOMAS J,isOfficer,0001246360-16-004173,2016-01-20,A,34761,0.0,357871,D,,,,,,
811156,2016-01-22,CMS,Poppe Patricia K,isOfficer,0001246360-16-004172,2016-01-20,A,44494,0.0,118365,D,,,,,,
811156,2016-01-22,CMS,Reynolds Catherine M,isOfficer,0001246360-16-004171,2016-01-20,A,20857,0.0,112733,D,,,,,,
811156,2016-01-22,CMS,Rochow Garrick J,isOfficer,0001246360-16-004170,2016-01-20,A,11680,0.0,58765,D,,,,,,
811156,2016-01-22,CMS,MENGEBIER DAVID G,isOfficer,0001246360-16-004169,2016-01-20,A,12514,0.0,130429,D,,,,,,
811156,2016-01-22,CMS,Malone Daniel J,isOfficer,0001246360-16-004168,2016-01-20,A,22525,0.0,154908,D,,,,,,
811156,2016-01-22,CMS,Butler John M,isOfficer,0001246360-16-004167,2016-01-20,A,22247,0.0,135509,D,,,,,,
811156,2016-01-22,CMS,BARBA GLENN P,isOfficer,0001246360-16-004166,2016-01-20,A,9455,0.0,48161,D,,,,,,
811156,2016-01-26,CMS,WEBB THOMAS J,isOfficer,0001246360-16-004213,2016-01-24,F,22471,36.55,355359,D,,,,,,
811156,2016-01-26,CMS,Reynolds Catherine M,isOfficer,0001246360-16-004212,2016-01-24,A,5402,0.0,118135,D,,,,,,
811156,2016-01-26,CMS,Rochow Garrick J,isOfficer,0001246360-16-004215,2016-01-24,A,3758,0.0,62523,D,,,,,,
811156,2016-01-26,CMS,Rochow Garrick J,isOfficer,0001246360-16-004215,2016-01-24,F,3545,36.55,58978,D,,,,,,
811156,2016-01-26,CMS,RUSSELL JOHN G,"isDirector,isOfficer",0001246360-16-004214,2016-01-24,A,72204,0.0,978148,D,,,,,,
811156,2016-01-26,CMS,RUSSELL JOHN G,"isDirector,isOfficer",0001246360-16-004214,2016-01-24,F,91432,36.55,886716,D,,,,,,
811156,2016-01-26,CMS,WEBB THOMAS J,isOfficer,0001246360-16-004213,2016-01-24,A,19959,0.0,377830,D,,,,,,
811156,2016-01-26,CMS,Reynolds Catherine M,isOfficer,0001246360-16-004212,2016-01-24,F,5028,36.55,113107,D,,,,,,
811156,2016-01-26,CMS,MENGEBIER DAVID G,isOfficer,0001246360-16-004211,2016-01-24,A,8219,0.0,138648,D,,,,,,
811156,2016-01-26,CMS,MENGEBIER DAVID G,isOfficer,0001246360-16-004211,2016-01-24,F,7589,36.55,131059,D,,,,,,
811156,2016-01-26,CMS,BARBA GLENN P,isOfficer,0001246360-16-004210,2016-01-24,A,6809,0.0,54970,D,,,,,,
811156,2016-01-26,CMS,Butler John M,isOfficer,0001246360-16-004209,2016-01-24,F,13183,36.55,135240,D,,,,,,
811156,2016-01-26,CMS,Poppe Patricia K,isOfficer,0001246360-16-004208,2016-01-24,A,3758,0.0,122123,D,,,,,,
811156,2016-01-26,CMS,Poppe Patricia K,isOfficer,0001246360-16-004208,2016-01-24,F,3536,36.55,118587,D,,,,,,
811156,2016-01-26,CMS,Malone Daniel J,isOfficer,0001246360-16-004207,2016-01-24,A,14089,0.0,168997,D,,,,,,
811156,2016-01-26,CMS,Malone Daniel J,isOfficer,0001246360-16-004207,2016-01-24,F,14734,36.55,154263,D,,,,,,
811156,2016-01-26,CMS,BARBA GLENN P,isOfficer,0001246360-16-004210,2016-01-24,F,6313,36.55,48657,D,,,,,,
811156,2016-01-26,CMS,Butler John M,isOfficer,0001246360-16-004209,2016-01-24,A,12914,0.0,148423,D,,,,,,
811156,2016-02-17,CMS,Butler John M,isOfficer,0001246360-16-004547,2016-02-16,S,20000,39.125,115240,D,,,,,,
811156,2016-03-03,CMS,Malone Daniel J,isOfficer,0001246360-16-004870,2016-03-01,S,2500,39.5604,152970,D,,,,,,
811156,2016-03-08,CMS,MENGEBIER DAVID G,isOfficer,0001246360-16-004906,2016-03-04,S,5125,39.861,126243,D,,,,,,
811156,2016-03-09,CMS,Soto Myrna,isDirector,0001246360-16-004968,2016-03-08,P,1000,40.742,5671,D,,,,,,
811156,2016-03-09,CMS,BARBA GLENN P,isOfficer,0001246360-16-004967,2016-03-08,S,9000,40.75,39839,D,,,,,,
811156,2016-03-10,CMS,MENGEBIER DAVID G,isOfficer,0001246360-16-005014,2016-03-09,S,5125,41.0586,121118,D,,,,,,
811156,2016-05-05,CMS,WEBB THOMAS J,isOfficer,0001246360-16-005705,2016-05-04,S,100000,41.52,256163,D,,,,,,
811156,2016-05-10,CMS,HARVEY WILLIAM D,isDirector,0001246360-16-005759,2016-05-06,A,2919,0.0,21434,D,,,,,,
811156,2016-05-10,CMS,Soto Myrna,isDirector,0001246360-16-005762,2016-05-06,A,2919,0.0,8590,D,,,,,,
811156,2016-05-10,CMS,EWING STEPHEN E,isDirector,0001246360-16-005761,2016-05-06,A,2919,0.0,32895,D,,,,,,
811156,2016-05-10,CMS,Butler Deborah H,isDirector,0001246360-16-005760,2016-05-06,A,2919,0.0,7413,D,,,,,,
811156,2016-05-10,CMS,Wright Laura,isDirector,0001246360-16-005763,2016-05-06,A,2919,0.0,16995,D,,,,,,
811156,2016-05-10,CMS,BARFIELD JON E,isDirector,0001246360-16-005754,2016-05-06,A,2919,0.0,33574,D,,,,,,
811156,2016-05-10,CMS,DARROW KURT L,isDirector,0001246360-16-005757,2016-05-06,A,2919,0.0,11803,D,,,,,,
811156,2016-05-10,CMS,Sznewajs John G,isDirector,0001246360-16-005756,2016-05-06,A,2919,0.0,5696,D,,,,,,
811156,2016-05-10,CMS,Gabrys Richard Marcel,isDirector,0001246360-16-005755,2016-05-06,A,2919,0.0,49607,D,,,,,,
811156,2016-05-10,CMS,LOCHNER PHILIP R,isDirector,0001246360-16-005758,2016-05-06,A,2919,0.0,49607,D,,,,,,
811156,2016-05-12,CMS,MENGEBIER DAVID G,isOfficer,0001246360-16-005796,2016-05-10,S,13420,41.66,107698,D,,,,,,
811156,2016-05-25,CMS,RUSSELL JOHN G,"isDirector,isOfficer",0001246360-16-005996,2016-05-24,S,196000,41.04,693186,D,,,,,,
