cik,filingDate,issuerTradingSymbol,reportingOwnerName,reportingOwnerRelationship,accessionNumber,transactionDate,transactionCode,transactionShares,transactionPricePerShare,sharesOwnedFollowingTransaction,directOrIndirectOwnership,transactionType,securityTitle,underlyingSecurityTitle,underlyingSecurityShares,exercisePrice,expirationDate
1130310,2016-02-11,CNP,ROGERS WILLIAM D,,0001209191-16-097590,2016-02-09,F,2938,18.55,43032,D,,,,,,
1130310,2016-02-19,ENBL,CENTERPOINT ENERGY INC,,0000899243-16-013885,2016-02-18,P,14520000,25.0,14520000,D,,,,,,
1130310,2016-02-23,CNP,Colvin Kristie,,0001209191-16-101362,2016-02-21,A,1000,0.0,29387,D,,,,,,
1130310,2016-02-23,CNP,Colvin Kristie,,0001209191-16-101362,2016-02-21,F,327,18.44,29060,D,,,,,,
1130310,2016-02-23,CNP,Prochazka Scott M,,0001209191-16-101359,2016-02-21,A,8500,0.0,120220,D,,,,,,
1130310,2016-02-23,CNP,Prochazka Scott M,,0001209191-16-101359,2016-02-21,F,2295,18.44,117925,D,,,,,,
1130310,2016-02-23,CNP,MCGOLDRICK JOSEPH B,,0001209191-16-101357,2016-02-21,A,3900,0.0,118016,D,,,,,,
1130310,2016-02-23,CNP,MCGOLDRICK JOSEPH B,,0001209191-16-101357,2016-02-21,F,1241,18.44,116775,D,,,,,,
1130310,2016-02-23,CNP,Bridge Tracy B,,0001209191-16-101355,2016-02-21,A,3200,0.0,66687,D,,,,,,
1130310,2016-02-23,CNP,Bridge Tracy B,,0001209191-16-101355,2016-02-21,F,1045,18.44,65642,D,,,,,,
1130310,2016-02-26,CNP,MCGOLDRICK JOSEPH B,,0001209191-16-102825,2016-02-24,A,12471,18.86,129246,D,,,,,,
1130310,2016-02-26,CNP,Prochazka Scott M,,0001209191-16-102821,2016-02-24,A,63258,18.86,181183,D,,,,,,
1130310,2016-02-26,CNP,ORTENSTONE SUSAN B,,0001209191-16-102829,2016-02-24,A,6562,18.86,15132,D,,,,,,
1130310,2016-02-26,CNP,O'Brien Dana C.,,0001209191-16-102827,2016-02-24,A,9719,18.86,21089,D,,,,,,
1130310,2016-02-26,CNP,ROGERS WILLIAM D,,0001209191-16-102814,2016-02-24,A,13791,18.86,56823,D,,,,,,
